croPor	Saltwater Crocodile	Crocodile
gavGan	Indian Gharial	Gharial
galGal	Red Junglefowl (Chicken)	Chicken
anoCar	Green Anole	Anole
melGal	Turkey	Turkey
taeGut	Zebra Finch	Finch
melUnd	Budgerigar	Budgerigar
chrPic	Painted Turtle	Turtle1
ficAlb	Collared Flycatcher	Flycatcher
allMis	American Alligator	Alligator1
pseHum	Tibetan Ground-tit	Ground-tit
colLiv	Rock Pigeon (domestic)	Pigeon
falPer	Peregrine Falcon	Falcon
cheMyd	Green Sea Turtle	Turtle2
anaPla	Mallard (domestic)	Mallard
allSin	Chinese Alligator	Alligator2
fulGla	Northern Fulmar	Fulmar
lepDis	Cuckoo Roller	Courol
corBra	American Crow	Crow
mesUni	Brown Mesite	Mesite
picPub	Downy Woodpecker	Woodpecker
calAnn	Annas Hummingbird	Hummingbird
pygAde	Adelie Penguin	Penguin2
aptFor	Emperor Penguin	Penguin1
tinGut	White throated tinamou	Tinamou2
chaVoc	Killdeer	Killdeer
nipNip	Crested Ibis	Ibis
cucCan	Common Cuckoo	Cuckoo
balReg	Grey Crowned Crane	Crane
halLeu	Bald Eagle	Eagle
chaPel	Chimney Swift	Swift
aptHaa	Great spotted kiwi	Kiwi1
aptOwe	Little spotted kiwi	Kiwi2
aptRow	Okarito brown kiwi	Kiwi3
casCas	Southern cassowary	Cassowary
cryCin	Thicket tinamou	Tinamou1
droNov	Emu	Emu
eudEle	Elegant crested tinamou	Tinamou3
notPer	Chilean tinamou	Tinamou4
rheAme	Greater rhea	Rhea1
rhePen	Lesser rhea	Rhea2
strCam	Ostrich	Ostrich
anoDid	Little Bush Moa	Moa
