No.	ID	loglik_NUll	loglik_RES	loglik_all	log_ratio	loglik_Max1	loglik_Max2	loglik_Max3
0	0	-3299.4194	-3240.9721	-3247.1813	58.447257	-3295.1451	-3243.2563	-3238.2276
1	1	-3291.6729	-3279.718	-3285.8374	11.954895	-3291.4373	-3285.6503	-3279.7535
2	2	-3218.2683	-3220.4714	-3226.9676	-2.2030976	-3218.7477	-3227.0624	-3221.1401
3	3	-4414.6626	-4416.2969	-4428.9428	-1.6342707	-4414.4173	-4422.7827	-4416.7556
4	4	-3989.3168	-3977.7323	-3983.8245	11.584442	-3988.8416	-3983.3967	-3977.4677
5	5	-3187.7175	-3189.7153	-3194.9784	-1.9977404	-3185.6407	-3191.7752	-3188.0534
6	6	-4240.8016	-4242.9632	-4254.4132	-2.1615841	-4239.2458	-4246.3571	-4240.2079
7	7	-2941.2572	-2942.9324	-2949.3205	-1.6752053	-2938.9769	-2947.2312	-2941.4944
8	8	-4386.0345	-4373.302	-4379.201	12.732566	-4386.4459	-4379.4137	-4373.5967
9	9	-3983.2728	-3981.8797	-3989.6983	1.3930881	-3981.7509	-3986.093	-3980.2441
10	10	-869.20495	-832.54891	-837.91841	36.656039	-856.13405	-829.1405	-824.45561
11	11	-2418.0882	-2312.8755	-2318.89	105.21268	-2409.606	-2310.3331	-2304.4747
12	12	-4244.6165	-4240.8743	-4246.4173	3.7422921	-4239.3188	-4241.296	-4235.3589
13	13	-4123.3394	-4106.7418	-4112.8002	16.597591	-4121.1152	-4110.7072	-4104.9803
14	14	-3181.4345	-3179.8065	-3186.3038	1.6280106	-3175.2804	-3180.3373	-3173.5306
15	15	-2887.6012	-2885.8243	-2891.5494	1.7768625	-2885.7463	-2889.2104	-2882.3474
16	16	-3428.3778	-3427.9698	-3434.4542	0.40807201	-3427.856	-3432.3912	-3426.2834
17	17	-3400.5424	-3400.6146	-3407.1818	-0.072232704	-3397.9409	-3403.1388	-3397.2556
18	18	-4115.9685	-4117.3938	-4128.7611	-1.4253695	-4115.5184	-4123.6714	-4117.1381
19	19	-2200.2923	-2191.4684	-2197.1161	8.8239665	-2198.6157	-2196.2193	-2190.0211
20	20	-3995.3797	-3989.0446	-3995.7987	6.3351051	-3995.8961	-3995.2849	-3989.4276
21	21	-2621.136	-2584.8627	-2590.4609	36.273308	-2612.1875	-2581.1718	-2573.8448
22	22	-2839.7119	-2824.1878	-2830.6706	15.52412	-2830.3394	-2823.6826	-2815.7946
23	23	-3464.6381	-3461.7485	-3468.0007	2.8896422	-3463.747	-3466.8333	-3460.8994
24	24	-3953.6741	-3903.8338	-3909.6847	49.840269	-3954.4614	-3909.8499	-3903.8832
25	25	-2071.0552	-2012.5664	-2018.1665	58.488792	-2068.5915	-2016.2002	-2010.2542
26	26	-2845.6851	-2840.5223	-2846.4003	5.1627419	-2839.827	-2839.0012	-2833.8102
27	27	-2079.465	-2080.3629	-2087.6961	-0.89795108	-2076.0678	-2084.24	-2078.7455
28	28	-2103.1132	-2072.234	-2078.3404	30.879193	-2102.4083	-2077.2003	-2071.2275
29	29	-1662.8077	-1657.1226	-1680.721	5.6851128	-1662.3185	-1674.4415	-1656.5685
30	30	-3139.4537	-3135.3619	-3141.9488	4.0917318	-3136.4149	-3136.7519	-3132.0421
31	31	-3899.8336	-3901.6656	-3912.7824	-1.8319836	-3895.8127	-3902.9888	-3897.9172
32	32	-2652.0087	-2638.5288	-2644.3366	13.479881	-2651.965	-2644.3408	-2638.4601
33	33	-3438.6423	-3439.6849	-3448.0136	-1.0426033	-3438.4773	-3446.4089	-3440.5216
34	34	-3221.1102	-3211.5336	-3217.8129	9.5766385	-3216.953	-3214.0297	-3207.7632
35	35	-2229.1189	-2179.9335	-2185.4774	49.185453	-2220.222	-2175.9226	-2169.7009
36	36	-2034.909	-2033.3239	-2038.0865	1.5851001	-2026.3492	-2029.4897	-2023.637
37	37	-1956.5598	-1928.6518	-1933.5752	27.907959	-1955.4428	-1933.609	-1927.7018
38	38	-3171.1605	-3141.4443	-3145.7461	29.716208	-3166.0272	-3141.7953	-3136.4963
39	39	-5152.3773	-5153.1137	-5162.3458	-0.73639437	-5151.5215	-5158.8838	-5152.6638
40	40	-3679.9784	-3658.2511	-3663.7283	21.727274	-3680.0735	-3664.1336	-3658.2496
41	41	-2784.5789	-2786.9671	-2792.5087	-2.3882374	-2779.8891	-2789.1339	-2783.0298
42	42	-2264.1807	-2262.98	-2268.5847	1.2007296	-2263.1658	-2267.3573	-2261.9189
43	43	-5196.8102	-5199.8354	-5211.2461	-3.0252117	-5197.0471	-5205.3774	-5199.6003
44	44	-4241.0079	-4228.2452	-4234.2235	12.76269	-4237.8182	-4231.3365	-4224.8377
45	45	-2348.0443	-2333.3415	-2339.2146	14.702733	-2342.558	-2333.5144	-2327.5747
46	46	-3723.8768	-3720.0197	-3726.0432	3.857116	-3723.1538	-3725.3957	-3719.5243
47	47	-4341.4819	-4342.0385	-4351.0001	-0.55666175	-4335.4615	-4343.264	-4333.6514
48	48	-4323.3807	-4320.3262	-4327.0735	3.0545712	-4323.0471	-4325.3682	-4319.8264
49	49	-4577.0912	-4578.826	-4590.1087	-1.7347833	-4576.6962	-4585.0182	-4579.0705
50	50	-3601.9139	-3563.3535	-3569.1475	38.560401	-3601.681	-3569.0317	-3563.2075
51	51	-3982.9007	-3957.1338	-3962.9183	25.76686	-3982.5352	-3963.2962	-3957.2787
52	52	-4186.7693	-4189.1211	-4198.3674	-2.3518783	-4186.1833	-4192.9087	-4188.5259
53	53	-3777.9529	-3754.678	-3760.3931	23.274898	-3779.1409	-3761.5853	-3755.7509
54	54	-3185.1	-3186.6924	-3192.8114	-1.592438	-3179.1452	-3187.9894	-3181.7311
55	55	-3708.9935	-3711.0236	-3717.9231	-2.0301808	-3708.1501	-3716.3704	-3710.4832
56	56	-4570.0982	-4572.2596	-4585.2894	-2.1614629	-4569.7138	-4578.1532	-4572.2406
57	57	-2870.6153	-2868.4427	-2875.0287	2.1726517	-2871.0209	-2874.3843	-2868.3025
58	58	-4483.1631	-4472.3722	-4478.4156	10.790853	-4483.3742	-4478.6175	-4472.6985
59	59	-3038.2247	-3030.3713	-3036.4886	7.8533706	-3038.1138	-3036.1911	-3030.2795
60	60	-2956.5431	-2919.7447	-2925.6401	36.798422	-2955.9675	-2925.3062	-2919.4338
61	61	-2984.4094	-2973.9538	-2979.9491	10.4556	-2985.5025	-2980.749	-2974.802
62	62	-3983.4916	-3983.5982	-3997.0793	-0.1066352	-3975.95	-3983.6822	-3976.0455
63	63	-3976.8693	-3979.7418	-3989.4134	-2.8724677	-3974.6125	-3981.9303	-3976.9546
64	64	-4229.1501	-4226.6321	-4232.6232	2.5179899	-4230.1766	-4232.9944	-4227.0463
65	65	-1967.1938	-1945.5418	-1952.3436	21.651998	-1964.2486	-1949.7729	-1943.4816
66	66	-5292.8772	-5289.1838	-5295.716	3.6934876	-5292.2393	-5294.6048	-5288.85
67	67	-4767.9013	-4761.7184	-4767.6057	6.1829383	-4767.9948	-4767.5797	-4761.672
68	68	-3497.3282	-3490.2461	-3496.6872	7.082083	-3495.9206	-3494.2981	-3488.6223
69	69	-2176.1678	-2159.3877	-2162.881	16.780056	-2164.8718	-2150.3817	-2149.0768
70	70	-3158.7547	-3160.7659	-3167.6724	-2.0111385	-3158.4271	-3166.3181	-3160.3742
71	71	-3318.3562	-3320.1386	-3328.8099	-1.782345	-3318.3901	-3325.7709	-3320.742
72	72	-3736.0682	-3734.0392	-3740.0736	2.0289686	-3733.7525	-3736.6338	-3731.5468
73	73	-1664.0626	-1588.892	-1593.9184	75.170596	-1663.1514	-1592.6383	-1586.8964
74	74	-3298.8756	-3301.0096	-3310.7332	-2.1340069	-3298.5858	-3305.5726	-3300.0758
75	75	-2693.8363	-2696.8288	-2701.4331	-2.9925068	-2687.7932	-2696.1909	-2690.3212
76	76	-3420.5215	-3422.4511	-3432.0546	-1.9296303	-3420.5665	-3429.475	-3422.892
77	77	-3827.7348	-3814.1517	-3821.3355	13.583075	-3824.818	-3818.5922	-3811.8326
78	78	-3570.2493	-3574.1749	-3585.7176	-3.9256105	-3566.5896	-3577.1001	-3569.6596
79	79	-2080.7255	-2071.5374	-2077.4777	9.1880827	-2076.5285	-2073.9311	-2067.9176
80	80	-2389.6026	-2386.682	-2392.5826	2.9206349	-2385.6051	-2388.7846	-2382.7584
81	81	-4428.4478	-4383.6821	-4389.5125	44.765705	-4429.6175	-4390.3966	-4384.5026
82	82	-2796.4434	-2798.2278	-2803.9139	-1.7844025	-2795.5943	-2801.5798	-2797.8299
83	83	-4116.0539	-4117.7102	-4129.3372	-1.6562546	-4114.9371	-4123.3365	-4117.2462
84	84	-4724.9798	-4723.0377	-4729.7928	1.9421384	-4722.8891	-4727.4416	-4721.03
85	85	-3888.894	-3889.314	-3897.7006	-0.42005532	-3888.1901	-3894.3865	-3888.486
86	86	-2056.4181	-2010.1658	-2014.7047	46.252277	-2051.1696	-2008.7682	-2002.3421
87	87	-3054.8326	-3048.6626	-3054.6236	6.169951	-3048.7616	-3049.6469	-3043.4517
88	88	-2597.9478	-2580.5354	-2586.4814	17.412378	-2597.1248	-2585.7658	-2579.8744
89	89	-2920.5375	-2916.2039	-2923.9738	4.3336921	-2916.8815	-2919.1921	-2913.0015
90	90	-3690.5989	-3692.5289	-3703.4524	-1.9299205	-3690.3189	-3698.8921	-3692.6336
91	91	-4140.2798	-4142.1862	-4155.1967	-1.9063798	-4139.8113	-4148.9988	-4142.1848
92	92	-2487.7219	-2467.8866	-2473.4487	19.835248	-2487.555	-2473.6538	-2467.5923
93	93	-2647.3709	-2627.6791	-2633.0763	19.691855	-2643.922	-2631.7567	-2625.5508
94	94	-1845.0886	-1810.9124	-1816.8142	34.176141	-1844.5218	-1816.4354	-1810.4987
95	95	-4037.9793	-4039.2447	-4048.8216	-1.2654239	-4038.4611	-4046.1007	-4040.199
96	96	-2986.737	-2988.0516	-2995.3545	-1.3145492	-2987.3781	-2994.6639	-2988.4789
97	97	-2304.3483	-2271.3833	-2277.9501	32.965073	-2301.2647	-2275.0403	-2268.8422
98	98	-3451.3862	-3424.5673	-3430.3264	26.818904	-3450.9327	-3429.9535	-3424.0388
99	99	-1488.8206	-1463.6045	-1468.1397	25.216113	-1477.7205	-1458.4154	-1455.3266
100	100	-3846.7773	-3848.5849	-3862.7274	-1.8075378	-3843.3205	-3852.3894	-3845.3439
101	101	-2669.6763	-2643.9317	-2647.976	25.744658	-2661.721	-2640.8332	-2633.6667
102	102	-2376.5536	-2343.8531	-2349.6494	32.700522	-2375.4628	-2349.0871	-2343.0986
103	103	-2782.6586	-2785.6026	-2792.63	-2.9440546	-2776.1157	-2785.7009	-2780.6615
104	104	-2626.8449	-2626.7807	-2633.2723	0.064205228	-2626.2044	-2631.9556	-2625.7879
105	105	-2943.968	-2942.831	-2949.0841	1.136979	-2944.5993	-2949.5014	-2943.6621
106	106	-3070.833	-3059.9826	-3065.9298	10.850383	-3069.6831	-3065.0147	-3059.1986
107	107	-3304.3321	-3273.2804	-3279.3005	31.051659	-3302.685	-3278.2992	-3272.5327
108	108	-2845.6572	-2846.5444	-2852.8993	-0.88724019	-2845.8578	-2852.8391	-2846.8373
109	109	-5540.3055	-5541.6044	-5553.5224	-1.2989851	-5541.1759	-5548.6069	-5542.7905
110	110	-1575.888	-1568.5914	-1574.3399	7.2966019	-1566.7058	-1563.401	-1558.5389
111	111	-908.99871	-876.76913	-883.11361	32.229582	-896.89406	-875.62848	-870.66408
112	112	-4503.0083	-4498.1262	-4504.1329	4.8821154	-4502.4045	-4501.7101	-4497.7587
113	113	-4021.0089	-4016.8117	-4023.0174	4.1971334	-4020.8436	-4022.8259	-4016.8885
114	114	-3052.4363	-3053.9456	-3060.4043	-1.5092482	-3051.7649	-3057.7362	-3053.3259
115	115	-4379.6509	-4381.3257	-4390.5792	-1.6747785	-4379.2468	-4385.4534	-4381.1573
116	116	-2831.163	-2829.9262	-2836.8102	1.2367754	-2830.8375	-2835.4249	-2829.3818
117	117	-2916.7072	-2902.8286	-2908.8485	13.878591	-2913.6592	-2905.6077	-2899.5198
118	118	-3803.3665	-3796.1817	-3802.5147	7.1848151	-3796.2448	-3796.8751	-3790.2826
119	119	-2135.2007	-2128.9986	-2135.079	6.2021113	-2133.3312	-2134.1988	-2128.2894
120	120	-3791.0257	-3792.922	-3803.7425	-1.8962194	-3791.4816	-3799.9401	-3793.9185
121	121	-4274.4624	-4242.2725	-4248.1255	32.189903	-4268.8914	-4243.2842	-4237.7915
122	122	-3115.523	-3118.7998	-3124.9281	-3.2767979	-3112.4581	-3121.9576	-3115.1449
123	123	-1547.764	-1543.5931	-1549.6178	4.1708292	-1544.013	-1545.4722	-1539.1624
124	124	-3892.2141	-3892.9816	-3906.2951	-0.76751451	-3882.4185	-3890.9609	-3882.8704
125	125	-4721.5119	-4723.4035	-4735.1659	-1.8915577	-4721.0585	-4729.4775	-4723.381
126	126	-2812.3573	-2805.1956	-2811.2653	7.1616556	-2810.9853	-2809.5288	-2803.6982
127	127	-2816.4795	-2751.683	-2756.6405	64.796509	-2816.1403	-2756.1422	-2750.4624
128	128	-2411.5362	-2403.6236	-2409.112	7.9126419	-2407.6797	-2405.0649	-2398.401
129	129	-5305.5815	-5295.0233	-5300.5169	10.558277	-5305.9412	-5300.7836	-5295.6277
130	130	-2988.9175	-2989.1939	-2996.0593	-0.27640386	-2987.7999	-2993.9409	-2988.0082
131	131	-3249.8641	-3236.9404	-3244.1836	12.923644	-3245.8724	-3239.8101	-3233.6521
132	132	-4070.9	-4072.9015	-4084.9978	-2.001593	-4069.6273	-4077.4565	-4072.0595
133	133	-3144.4714	-3139.663	-3145.9722	4.8084302	-3144.7155	-3145.8933	-3139.9543
134	134	-2775.9713	-2768.7511	-2774.8961	7.2201846	-2774.6382	-2771.2182	-2767.2239
135	135	-2383.2153	-2369.0053	-2374.8238	14.209953	-2381.2825	-2373.1681	-2367.4332
136	136	-1876.0243	-1878.6316	-1884.8416	-2.6073062	-1873.86	-1882.08	-1876.214
137	137	-3422.5708	-3370.9485	-3376.888	51.622339	-3423.0767	-3377.0979	-3371.1541
138	138	-3384.7547	-3384.6216	-3391.7541	0.1331263	-3383.4854	-3389.6274	-3383.0936
139	139	-3778.5439	-3779.525	-3787.7431	-0.98105023	-3776.7544	-3781.2626	-3776.3986
140	140	-4025.3565	-4027.1803	-4033.1572	-1.8238739	-4024.2543	-4032.465	-4026.57
141	141	-4093.8795	-4075.386	-4081.3116	18.493485	-4093.6729	-4081.7102	-4075.7994
142	142	-4566.9572	-4569.347	-4581.3237	-2.3897174	-4562.8566	-4569.2542	-4564.6022
