No.	ID	loglik_NUll	loglik_RES	loglik_all	log_ratio	loglik_Max1	loglik_Max2	loglik_Max3
0	0	-2314.7855	-2275.9353	-2291.4331	38.850188	-2310.8625	-2269.0904	-2269.7094
1	1	-3040.676	-2986.1428	-3001.4738	54.533246	-3036.9263	-2979.9292	-2979.9932
2	2	-1746.8846	-1716.3449	-1729.5658	30.53969	-1742.7402	-1705.7763	-1709.7025
3	3	-2690.2576	-2606.1299	-2621.4902	84.127686	-2657.0341	-2595.987	-2600.2452
4	4	-2807.4716	-2766.5005	-2782.1516	40.971088	-2803.6848	-2759.1443	-2760.4975
5	5	-2449.6166	-2399.4797	-2413.7439	50.136912	-2445.7249	-2391.237	-2392.8938
6	6	-1528.5265	-1453.5166	-1468.4623	75.009896	-1524.2854	-1443.3028	-1446.9119
7	7	-1890.5214	-1809.8514	-1825.4902	80.669975	-1886.4123	-1803.4615	-1803.4612
8	8	-4536.1457	-4527.3001	-4538.1313	8.8456419	-4532.5895	-4521.6078	-4521.4338
9	9	-2112.5442	-2036.6938	-2052.3301	75.850439	-2108.5166	-2028.5634	-2030.4265
10	10	-2117.9446	-2018.7398	-2033.1756	99.20476	-2082.9902	-2006.3606	-2012.5554
11	11	-3249.5694	-3185.3105	-3200.8046	64.258852	-3218.2237	-3177.5284	-3179.6158
12	12	-2556.7199	-2517.4702	-2533.1221	39.249625	-2546.4196	-2510.4727	-2511.3693
13	13	-2497.218	-2460.7801	-2476.5429	36.437958	-2492.9591	-2450.9937	-2453.3895
14	14	-1946.5339	-1881.1179	-1896.7402	65.416048	-1942.4442	-1872.4226	-1874.7137
15	15	-2010.642	-1979.0427	-1994.6692	31.599347	-2006.631	-1971.1542	-1972.6176
16	16	-2328.0067	-2276.1778	-2292.121	51.828863	-2324.0704	-2264.4781	-2269.9855
17	17	-2221.4082	-2129.2168	-2144.5179	92.191303	-2187.0681	-2119.2572	-2123.0651
18	18	-1857.3475	-1757.9947	-1773.6802	99.352806	-1822.5981	-1751.6861	-1751.6857
19	19	-1424.4151	-1294.5873	-1310.0179	129.82777	-1389.6597	-1285.7719	-1288.0253
20	20	-1535.9842	-1491.0469	-1505.7345	44.937262	-1531.7188	-1479.7039	-1484.361
21	21	-2404.9546	-2310.1349	-2325.4557	94.819675	-2370.8036	-2301.393	-2304.1753
22	22	-2243.71	-2201.4009	-2217.0382	42.309091	-2239.7594	-2194.575	-2195.1421
23	23	-2123.6145	-2105.6863	-2119.5856	17.928245	-2119.6362	-2088.7892	-2099.2153
24	24	-2462.2919	-2414.9175	-2430.5584	47.374375	-2458.4324	-2407.6228	-2408.8509
25	25	-2219.5402	-2179.3398	-2193.3887	40.200408	-2215.5877	-2170.9498	-2173.0534
26	26	-2160.7796	-2106.235	-2121.7724	54.544572	-2156.809	-2098.4201	-2099.9831
27	27	-1239.895	-1107.9603	-1123.6349	131.93469	-1205.0003	-1101.1533	-1101.1527
28	28	-1779.7931	-1690.6843	-1706.3219	89.108786	-1745.3434	-1684.3367	-1684.3363
29	29	-2047.5053	-2007.1361	-2022.2178	40.369236	-2043.4784	-1994.6297	-1999.6189
30	30	-2846.6364	-2798.3176	-2813.9907	48.318829	-2840.7001	-2791.1336	-2792.4204
31	31	-1479.9068	-1371.4497	-1387.109	108.45714	-1475.5761	-1364.8639	-1364.8636
32	32	-2472.0783	-2358.4006	-2374.0565	113.67777	-2438.5402	-2351.4412	-2351.4405
33	33	-2100.3085	-1998.3749	-2013.8799	101.93358	-2066.0237	-1989.8122	-1992.2016
34	34	-1754.3888	-1645.8712	-1661.3994	108.51761	-1719.6945	-1634.1429	-1639.5618
35	35	-1947.9827	-1859.0554	-1874.4409	88.927315	-1943.9256	-1847.3826	-1852.7497
36	36	-1854.0212	-1785.8952	-1800.5634	68.125949	-1849.9258	-1773.8972	-1779.477
37	37	-1709.2276	-1628.8768	-1644.3667	80.350763	-1705.0587	-1619.4613	-1622.4083
38	38	-1857.5703	-1772.0129	-1787.6778	85.557401	-1853.439	-1765.6575	-1765.6564
39	39	-1643.6893	-1611.3677	-1626.8247	32.321562	-1639.4974	-1600.5004	-1604.7012
40	40	-2054.1526	-1964.5744	-1980.2299	89.578203	-2050.1292	-1957.8676	-1958.3523
41	41	-1849.5398	-1830.7538	-1842.8956	18.78599	-1845.424	-1821.84	-1823.1145
42	42	-1502.9479	-1419.818	-1435.5016	83.129931	-1498.6344	-1413.1874	-1413.1872
43	43	-1951.6889	-1931.0887	-1946.2997	20.600194	-1947.6458	-1917.1355	-1924.5542
44	44	-1899.2773	-1809.4384	-1824.5765	89.8389	-1895.1906	-1799.2217	-1803.0721
45	45	-2505.8803	-2467.6915	-2482.5371	38.188724	-2501.9958	-2455.3491	-2461.5455
46	46	-2408.2026	-2341.3487	-2356.9985	66.853852	-2373.7535	-2335.1212	-2335.3253
47	47	-2591.8033	-2534.2539	-2549.9037	57.549465	-2587.9533	-2525.598	-2528.2359
48	48	-2544.7865	-2528.2394	-2543.0469	16.547041	-2540.929	-2521.36	-2521.989
49	49	-1789.8334	-1694.2057	-1709.8352	95.627723	-1785.6863	-1686.5543	-1687.808
50	50	-2178.4938	-2079.7318	-2095.394	98.76207	-2144.2923	-2073.6657	-2073.6656
51	51	-2909.2127	-2881.5145	-2896.032	27.698177	-2905.439	-2871.2625	-2875.4881
52	52	-2136.0802	-2082.1353	-2097.4473	53.944877	-2132.0858	-2073.2142	-2075.815
53	53	-3073.852	-3031.7789	-3047.6895	42.073025	-3070.1049	-3021.0629	-3025.8465
54	54	-2333.5132	-2244.1394	-2259.7854	89.37385	-2296.1823	-2238.035	-2238.0346
55	55	-1987.2131	-1848.6468	-1864.2611	138.56632	-1952.8201	-1842.5045	-1842.5035
56	56	-2364.0706	-2301.6167	-2315.4572	62.453898	-2360.1436	-2288.949	-2295.4966
57	57	-1942.0654	-1892.4866	-1908.0124	49.578776	-1937.9925	-1881.9691	-1886.0672
58	58	-1481.0478	-1356.4984	-1372.1436	124.54935	-1446.4398	-1349.9711	-1349.9705
59	59	-2185.9032	-2149.5445	-2165.1611	36.358758	-2181.9272	-2140.67	-2143.2273
60	60	-2038.5766	-2006.8704	-2020.1463	31.706267	-2034.5629	-1996.9181	-1998.5614
61	61	-2383.3374	-2304.3807	-2320.0345	78.956731	-2379.4094	-2295.3882	-2297.3186
62	62	-2372.1216	-2297.7693	-2313.3962	74.352222	-2337.7644	-2289.8668	-2289.8662
63	63	-1976.8668	-1919.7767	-1934.7049	57.090087	-1972.8314	-1909.1496	-1913.4415
64	64	-2033.5344	-1949.8157	-1966.5271	83.718701	-1999.1746	-1940.7404	-1941.8103
65	65	-2871.468	-2801.8825	-2817.54	69.585517	-2838.1285	-2796.0616	-2796.0618
66	66	-2059.5312	-2003.1906	-2018.609	56.340575	-2055.4982	-1994.4987	-1996.8505
67	67	-2753.2762	-2658.3901	-2674.0522	94.886063	-2719.2414	-2652.611	-2652.6116
68	68	-2987.4928	-2939.188	-2954.8564	48.304778	-2983.7345	-2933.2796	-2933.3039
69	69	-2710.2728	-2609.4516	-2625.1205	100.8212	-2676.0651	-2603.7071	-2603.708
70	70	-1980.2217	-1914.0798	-1929.7415	66.141842	-1976.1781	-1906.0965	-1907.7516
71	71	-2086.0299	-2052.5406	-2067.9112	33.489279	-2081.9983	-2042.3612	-2046.1589
72	72	-1602.3836	-1480.4275	-1496.0546	121.9561	-1568.0329	-1473.9818	-1473.9816
73	73	-3042.7671	-2992.9948	-3008.1959	49.772274	-3019.6634	-2985.7566	-2987.1502
74	74	-3736.9137	-3709.3853	-3724.9335	27.528389	-3726.8716	-3700.8474	-3703.6638
75	75	-2220.7611	-2162.7577	-2178.1864	58.00343	-2211.9601	-2153.841	-2156.5027
76	76	-2672.8216	-2608.4726	-2623.8672	64.349026	-2644.5318	-2600.1852	-2602.5469
77	77	-2811.305	-2781.4132	-2796.5072	29.891749	-2807.4866	-2769.5959	-2775.3601
78	78	-2150.537	-2081.2866	-2096.9288	69.250415	-2146.5635	-2075.076	-2075.0756
79	79	-2104.0325	-2031.2855	-2046.9007	72.747031	-2100.0365	-2023.9815	-2025.0578
80	80	-2971.632	-2944.2448	-2958.8393	27.387169	-2966.8717	-2936.3418	-2936.6602
81	81	-3835.2896	-3804.1853	-3819.8261	31.10436	-3831.146	-3795.5101	-3796.6147
82	82	-1411.4168	-1285.923	-1301.5638	125.49374	-1376.8199	-1278.0028	-1279.2993
83	83	-2640.2301	-2626.6723	-2639.5233	13.557823	-2636.4132	-2617.3928	-2618.8197
84	84	-2672.6484	-2623.7415	-2639.2442	48.90695	-2668.8485	-2616.0507	-2617.7168
85	85	-2258.1373	-2145.8403	-2161.3592	112.29702	-2223.8991	-2137.595	-2139.7818
86	86	-1869.7155	-1750.4732	-1766.1662	119.24227	-1835.1251	-1744.2706	-1744.2708
87	87	-2193.4668	-2092.1235	-2107.7642	101.3433	-2160.0145	-2085.79	-2086.0311
88	88	-1905.4325	-1861.9866	-1875.1037	43.445895	-1901.37	-1855.1464	-1855.5508
89	89	-2048.3205	-1955.2995	-1970.9226	93.021083	-2014.1212	-1948.9065	-1949.0503
