V1	V2	V3	V4	V5	V6	V7	V8	V9
1	0.817	0.188	0.748	0.571	0.531	0.036	0.077	0.007	0.552
2	0.826	0.141	0.65	0.577	0.451	0.079	0.045	0.047	0.837
3	0.466	0.49	0.903	0.28	0.339	0.156	0.001	0.251	0.807
4	0.162	0.789	0.383	0.392	0.548	0.043	0.015	0.028	0.397
5	0.953	0.27	0.418	0.18	0.551	0.074	0.011	0.051	0.507
6	0.866	0.474	0.557	0.284	0.382	0.32	0.144	0.056	0.464
7	0.881	0.793	0.241	0.407	0.73	0.023	0.001	0.044	0.511
8	0.759	0.162	0.328	0.391	0.055	0.039	0.001	0.084	0.411
9	0.503	0.132	0.454	0.417	0.291	0.16	0.04	0.034	0.614
10	0.31	0.962	0.585	0.212	0.23	0.193	0.079	0.008	0.89
11	0.766	0.926	0.727	0.226	0.726	0.179	0.183	0.008	0.689
12	0.644	0.247	0.528	0.997	0.527	0.043	0.019	0.127	0.418
13	0.913	0.291	0.045	0.125	0.379	0.059	0.079	0.057	0.505
14	0.988	0.631	0.139	0.311	0.71	0.066	0.004	0.007	0.506
15	0.283	0.266	0.376	0.299	0.539	0.135	0.007	0.163	0.503
16	0.496	0.094	0.606	0.587	0.779	0.001	0.002	0.017	0.447
17	0.775	0.396	0.492	0.056	0.599	0.057	0.009	0.712	0.436
18	0.564	0.119	0.271	0.084	0.323	0.102	0.025	0.16	0.667
19	0.979	0.826	0.379	0.387	0.778	0.103	0.011	0.171	0.55
20	0.608	0.178	0.305	0.44	0.576	0.375	0.016	0.049	0.627
21	0.755	0.354	0.949	0.511	0.824	0.108	0.527	0.222	0.969
22	0.859	0.527	0.582	0.975	0.127	0.076	0.024	0.06	0.843
23	0.85	0.132	0.489	0.384	0.204	0.004	0.017	0.133	0.555
24	0.703	0.334	0.289	0.147	0.526	0.139	0.002	0.047	0.833
25	0.875	0.713	0.525	0.608	0.471	0.031	0.001	0.247	0.463
26	0.546	0.278	0.324	0.347	0.366	0.049	0.039	0.288	0.151
27	0.217	0.427	0.039	0.345	0.542	0.039	0.001	0.032	0.467
28	0.365	0.324	0.222	0.595	0.382	0.088	0.014	0.197	0.46
29	0.715	0.409	0.297	0.632	0.815	0.066	0.005	0.078	0.502
30	0.389	0.094	0.737	0.329	0.281	0.286	0.003	0.043	0.647
31	0.503	0.519	0.137	0.418	0.305	0.062	0.031	0.043	0.434
32	0.152	0.219	0.574	0.237	0.661	0.047	0.051	0.032	0.609
33	0.364	0.439	0.413	0.292	0.663	0.34	0.001	0.68	0.662
34	0.768	0.059	0.393	0.59	0.22	0.37	0.005	0.085	0.987
35	0.484	0.34	0.114	0.152	0.752	0.048	0.002	0.025	0.48
36	0.384	0.514	0.213	0.519	0.817	0.021	0.007	0.105	0.191
37	0.564	0.354	0.571	0.182	0.438	0.011	0.152	0.62	0.417
38	0.422	0.213	0.516	0.955	0.214	0.038	0.26	0.064	0.894
39	0.202	0.352	0.303	0.303	0.821	0.071	0.001	0.025	0.861
40	0.509	0.368	0.243	0.337	0.974	0.019	0.02	0.036	0.504
41	0.686	0.681	0.473	0.357	0.796	0.243	0.001	0.25	0.37
42	0.728	0.303	0.755	0.732	0.535	0.002	0.057	0.169	0.326
43	0.913	0.849	0.212	0.4	0.453	0.13	0.96	0.15	0.467
44	0.991	0.046	0.734	0.333	0.338	0.01	0.028	0.505	0.449
45	0.221	0.273	0.379	0.365	0.647	0.09	0.029	0.898	0.864
46	0.293	0.342	0.636	0.133	0.8	0.162	0.007	0.041	0.917
47	0.9	0.048	0.679	0.603	0.637	0.007	0.002	0.077	0.312
48	0.287	0.52	0.13	0.805	0.848	0.041	0.001	0.066	0.812
49	0.976	0.657	0.243	0.608	0.696	0.117	0.218	0.353	0.425
50	0.413	0.403	0.19	0.259	0.964	0.033	0.041	0.276	0.506
51	0.448	0.219	0.548	0.337	0.462	0.016	0.004	0.069	0.312
52	0.376	0.212	0.87	0.379	0.883	0.103	0.01	0.004	0.437
53	0.948	0.671	0.36	0.786	0.397	0.04	0.043	0.03	0.434
54	0.283	0.211	0.331	0.133	0.752	0.021	0.019	0.044	0.923
55	0.471	0.304	0.377	0.552	0.378	0.003	0.047	0.362	0.42
56	0.427	0.387	0.24	0.648	0.429	0.311	0.009	0.627	0.495
57	0.531	0.442	0.319	0.343	0.437	0.05	0.006	0.083	0.598
58	0.974	0.213	0.493	0.673	0.952	0.038	0.009	0.012	0.427
59	0.447	0.386	0.263	0.155	0.984	0.039	0.018	0.003	0.96
60	0.734	0.47	0.246	0.414	0.43	0.168	0.064	0.085	0.613
61	0.72	0.467	0.309	0.718	0.796	0.101	0.003	0.086	0.286
62	0.441	0.187	0.362	0.385	0.913	0.04	0.019	0.057	0.798
63	0.634	0.376	0.373	0.904	0.709	0.01	0.041	0.193	0.646
64	0.456	0.288	0.568	0.612	0.53	0.017	0.014	0.044	0.342
65	0.366	0.484	0.207	0.332	0.558	0.212	0.038	0.022	0.858
66	0.267	0.413	0.456	0.13	0.783	0.078	0.33	0.267	0.663
67	0.428	0.185	0.4	0.382	0.685	0.013	0.02	0.474	0.692
68	0.861	0.568	0.051	0.217	0.307	0.018	0.001	0.391	0.678
69	0.7	0.201	0.158	0.673	0.815	0.096	0.016	0.043	0.372
70	0.727	0.365	0.256	0.653	0.713	0.022	0.011	0.335	0.292
71	0.69	0.223	0.21	0.345	0.628	0.022	0.088	0.005	0.702
72	0.89	0.382	0.93	0.418	0.659	0.034	0.001	0.004	0.353
73	0.559	0.285	0.357	0.296	0.537	0.255	0.001	0.114	0.585
74	0.701	0.705	0.368	0.58	0.521	0.361	0.001	0.047	0.867
75	0.948	0.607	0.102	0.336	0.529	0.034	0.017	0.055	0.48
76	0.657	0.856	0.388	0.21	0.823	0.03	0.002	0.052	0.454
77	0.276	0.684	0.217	0.126	0.407	0.08	0.006	0.535	0.325
78	0.853	0.527	0.643	0.403	0.697	0.01	0.072	0.97	0.425
79	0.963	0.323	0.346	0.321	0.925	0.101	0.004	0.04	0.349
80	0.321	0.703	0.472	0.682	0.892	0.029	0.078	0.307	0.371
81	0.985	0.23	0.363	0.417	0.594	0.086	0.095	0.008	0.489
82	0.672	0.079	0.457	0.515	0.149	0.044	0.008	0.097	0.455
83	0.241	0.356	0.246	0.329	0.481	0.379	0.02	0.092	0.827
84	0.859	0.293	0.191	0.23	0.754	0.045	0.015	0.067	0.611
85	0.24	0.297	0.422	0.726	0.944	0.137	0.001	0.079	0.475
86	0.839	0.147	0.503	0.204	0.76	0.063	0.006	0.026	0.816
87	0.216	0.429	0.786	0.407	0.195	0.015	0.002	0.043	0.648
88	0.542	0.706	0.199	0.172	0.276	0.293	0.022	0.267	0.439
89	0.222	0.606	0.446	0.196	0.439	0.228	0.001	0.046	0.87
90	0.683	0.47	0.061	0.988	0.876	0.081	0.121	0.005	0.5
91	0.544	0.261	0.615	0.45	0.406	0.44	0.014	0.021	0.317
92	0.777	0.473	0.89	0.373	0.564	0.046	0.007	0.083	0.48
93	0.517	0.223	0.456	0.264	0.479	0.21	0.004	0.037	0.406
94	0.97	0.333	0.723	0.372	0.655	0.036	0.052	0.438	0.7
95	0.765	0.121	0.493	0.725	0.568	0.008	0.023	0.099	0.899
96	0.584	0.567	0.486	0.609	0.4	0.031	0.091	0.082	0.403
97	0.835	0.4	0.455	0.579	0.763	0.008	0.02	0.408	0.557
98	0.398	0.883	0.265	0.347	0.771	0.205	0.018	0.025	0.652
99	0.47	0.38	0.076	0.374	0.406	0.065	0.078	0.003	0.85
100	0.694	0.335	0.276	0.937	0.508	0.004	0.005	0.039	0.584
101	0.853	1	0.096	0.451	0.611	0.003	0.016	0.091	0.247
102	0.58	0.2	0.314	0.288	0.967	0.248	0.009	0.034	0.4
103	0.262	0.32	0.388	0.367	0.441	0.078	0.006	0.063	0.518
104	0.473	0.576	0.209	0.31	0.909	0.007	0.09	0.013	0.586
105	0.091	0.171	0.948	0.998	0.189	0.142	0.002	0.51	0.509
106	0.75	0.321	0.222	0.938	0.993	0.637	0.009	0.111	0.508
107	0.624	0.554	0.191	0.547	0.19	0.083	0.012	0.078	0.866
108	0.496	0.245	0.375	0.814	0.443	0.377	0.008	0.101	0.62
109	0.598	0.584	0.705	0.518	0.901	0.003	0.03	0.089	0.361
110	0.857	0.39	0.425	0.433	0.683	0.008	0.005	0.077	0.355
111	0.701	0.171	0.279	0.617	0.176	0.122	0.041	0.107	0.56
112	0.283	0.184	0.501	0.44	0.581	0.044	0.021	0.081	0.444
113	0.429	0.274	0.187	0.239	0.884	0.035	0.003	0.194	0.761
114	0.398	0.184	0.625	0.151	0.359	0.001	0.024	0.022	0.457
115	0.613	0.867	0.772	0.56	0.813	0.046	0.154	0.072	0.771
116	0.438	0.121	0.56	0.996	0.582	0.176	0.023	0.004	0.363
117	0.377	0.299	0.993	0.745	0.748	0.296	0.004	0.282	0.34
118	0.897	0.894	0.292	0.78	0.758	0.064	0.138	0.143	0.429
119	0.247	0.215	0.316	0.83	0.415	0.012	0.011	0.014	0.861
120	0.615	0.358	0.512	0.914	0.85	0.087	0.075	0.055	0.659
121	0.616	0.277	0.271	0.298	0.798	0.012	0.015	0.028	0.527
122	0.415	0.177	0.628	0.251	0.782	0.285	0.109	0.222	0.683
123	0.236	0.172	0.417	0.681	0.686	0.005	0.002	0.06	0.402
124	0.342	0.283	0.431	0.44	0.387	0.273	0.012	0.068	0.273
125	0.809	0.559	0.241	0.232	0.866	0.045	0.008	0.037	0.507
126	0.889	0.166	0.271	0.109	0.963	0.74	0.011	0.282	0.586
127	0.9	0.088	0.142	0.788	0.669	0.128	0.006	0.086	0.647
128	0.301	0.606	0.456	0.462	0.28	0.006	0.001	0.002	0.766
129	0.412	0.166	0.864	0.179	0.282	0.012	0.001	0.149	0.396
130	0.425	0.273	0.406	0.313	0.805	0.12	0.004	0.1	0.435
131	0.441	0.217	0.277	0.417	0.557	0.003	0.001	0.143	0.594
132	0.479	0.123	0.311	0.681	0.915	0.011	0.006	0.173	0.63
133	0.773	0.107	0.466	0.663	0.404	0.167	0.002	0.597	0.498
134	0.301	0.289	0.543	0.761	0.971	0.212	0.001	0.142	0.508
135	0.932	0.417	0.331	0.463	0.776	0.038	0.129	0.345	0.434
136	0.299	0.147	0.197	0.893	0.767	0.075	0.001	0.186	0.745
137	0.522	0.089	0.062	0.364	0.895	0.041	0.004	0.012	0.4
138	0.222	0.263	0.447	0.041	0.543	0.128	0.406	0.208	0.55
139	0.497	0.272	0.119	0.673	0.898	0.045	0.128	0.009	0.586
140	0.201	0.556	0.472	0.296	0.647	0.04	0.001	0.159	0.929
141	0.316	0.718	0.119	0.11	0.434	0.258	0.131	0.015	0.992
142	0.787	0.421	0.244	0.236	0.215	0.004	0.001	0.424	0.563
143	0.865	0.439	0.277	0.651	0.974	0.142	0.016	0.131	0.427
144	0.878	0.799	0.246	0.163	0.566	0.051	0.008	0.062	0.483
145	0.752	0.786	0.109	0.425	0.744	0.025	0.008	0.033	0.943
146	0.352	0.269	0.703	0.386	0.449	0.103	0.006	0.067	0.853
147	0.555	0.246	0.247	0.601	0.662	0.084	0.003	0.399	0.633
148	0.83	0.133	0.223	0.731	0.799	0.007	0.067	0.202	0.42
149	0.195	0.344	0.246	0.516	0.55	0.025	0.013	0.3	0.644
150	0.729	0.328	0.133	0.444	0.828	0.026	0.005	0.077	0.407
