No.	ID	loglik_NUll	loglik_RES	loglik_all	log_ratio	loglik_Max1	loglik_Max2	loglik_Max3
0	0	-446.2478	-448.9762	-450.47307	-2.7283962	-442.76978	-443.18794	-443.18715
1	1	-688.79419	-690.78677	-692.73649	-1.9925848	-685.63036	-680.91539	-682.1319
2	2	-382.56042	-385.33276	-386.81663	-2.7723419	-378.87224	-379.28977	-379.28964
3	3	-630.04162	-633.46915	-634.90133	-3.4275361	-622.49907	-613.75855	-620.91588
4	4	-465.2428	-467.70917	-469.4793	-2.4663712	-461.78252	-460.38565	-460.38733
5	5	-321.82916	-323.84189	-326.0758	-2.0127308	-317.97534	-313.6361	-313.61224
6	6	-639.3371	-642.37451	-643.57838	-3.0374084	-636.10647	-631.01992	-632.51197
7	7	-532.28763	-534.9982	-536.48828	-2.7105669	-528.92269	-528.06399	-528.8752
8	8	-736.25524	-738.80108	-740.4933	-2.5458377	-733.16703	-730.55634	-732.01441
9	9	-577.28305	-579.85304	-581.52789	-2.5699806	-573.97373	-570.90305	-570.88752
10	10	-639.82136	-642.5807	-644.09049	-2.7593341	-636.59903	-634.2589	-635.44226
11	11	-511.70149	-514.42167	-515.91061	-2.7201714	-508.28945	-505.67336	-508.70785
12	12	-478.78415	-481.52051	-483.08559	-2.736362	-475.38392	-475.80137	-475.80187
13	13	-424.78087	-427.53427	-428.8408	-2.7533998	-421.2519	-417.65393	-420.84621
14	14	-485.89846	-488.64752	-490.15284	-2.7490667	-482.50521	-481.87269	-482.92265
15	15	-443.96195	-446.67586	-448.19925	-2.713908	-440.50033	-436.71533	-440.91803
16	16	-301.05556	-303.84637	-305.3186	-2.7908031	-297.18792	-295.287	-297.60931
17	17	-461.16353	-463.67366	-465.38931	-2.5101288	-457.69011	-454.92888	-456.0051
18	18	-251.97105	-254.01281	-256.04366	-2.0417671	-247.80679	-241.39504	-245.55355
19	19	-369.67777	-372.41675	-373.92926	-2.738979	-366.01035	-366.10804	-366.42784
20	20	-953.20346	-956.00533	-957.77511	-2.8018723	-950.34764	-943.04214	-949.3018
21	21	-391.31061	-394.01574	-395.52385	-2.7051321	-387.66203	-383.87871	-387.54746
22	22	-429.73709	-432.47552	-433.97378	-2.7384308	-426.19538	-426.61303	-426.61276
23	23	-818.13677	-820.87446	-822.36654	-2.7376855	-815.14361	-813.54549	-814.1616
24	24	-707.18065	-710.18309	-711.42187	-3.0024383	-704.06115	-701.45921	-702.22312
25	25	-388.79567	-391.53031	-393.04505	-2.7346371	-385.21279	-385.11872	-385.63046
26	26	-413.36959	-416.11686	-417.61157	-2.7472714	-409.80201	-408.66258	-410.22052
27	27	-640.8286	-643.57131	-645.08256	-2.7427098	-637.63819	-635.81409	-637.82574
28	28	-837.05425	-839.51714	-841.29667	-2.4628894	-834.07774	-828.71891	-830.97657
29	29	-808.80826	-811.36588	-813.04927	-2.5576134	-805.75662	-800.07627	-804.69634
30	30	-851.50276	-854.23134	-855.51099	-2.7285799	-847.40483	-834.43334	-847.98349
31	31	-521.49193	-524.17685	-525.67242	-2.6849215	-518.10214	-518.03813	-518.04745
32	32	-754.26487	-756.97795	-758.51218	-2.7130843	-751.14683	-751.40272	-751.56422
33	33	-755.21221	-757.96593	-759.48264	-2.7537198	-752.1603	-750.58347	-752.57848
34	34	-479.48182	-482.24286	-483.72513	-2.761049	-476.07339	-471.53136	-476.29475
35	35	-506.72876	-509.47032	-510.97508	-2.741563	-503.368	-501.07612	-503.78598
36	36	-553.28751	-554.96274	-557.2172	-1.6752369	-549.90151	-545.98456	-546.412
37	37	-551.04167	-553.74316	-555.27281	-2.7014827	-547.66201	-547.34392	-548.07963
38	38	-589.84972	-592.56393	-594.08756	-2.7142059	-586.57533	-585.26047	-586.99278
39	39	-478.44088	-481.47024	-482.69696	-3.0293665	-475.00676	-471.00756	-471.03218
40	40	-614.16546	-616.88991	-618.40562	-2.7244522	-610.93122	-610.9971	-611.34895
41	41	-454.30118	-457.02847	-458.55522	-2.7272879	-450.79842	-450.4475	-451.21578
42	42	-646.12602	-648.70627	-650.37485	-2.5802503	-642.88113	-641.92678	-641.91816
43	43	-342.1114	-344.83532	-346.37073	-2.7239121	-338.35122	-337.55786	-337.55468
44	44	-521.6894	-524.41413	-525.91974	-2.7247281	-518.30725	-514.86389	-518.72499
45	45	-424.8486	-427.58804	-429.11247	-2.7394487	-421.31023	-421.31508	-421.27152
46	46	-434.22239	-436.68627	-438.47228	-2.4638783	-430.6967	-428.74738	-428.73109
47	47	-744.08246	-746.83092	-748.32564	-2.7484585	-740.19763	-740.62709	-740.64209
48	48	-622.46877	-625.14769	-626.70953	-2.678917	-619.21661	-610.5449	-617.78925
49	49	-573.1649	-575.68938	-577.41864	-2.5244714	-569.86383	-568.79307	-568.78449
50	50	-347.68024	-350.29141	-351.9292	-2.6111724	-343.88929	-341.27052	-342.48808
51	51	-538.51459	-541.05719	-542.7534	-2.5426009	-535.17373	-534.01321	-534.0117
52	52	-641.56058	-644.30339	-645.81218	-2.7428133	-638.36335	-637.29438	-637.60757
53	53	-686.46979	-688.96818	-690.7302	-2.4983919	-683.30293	-680.21323	-681.90478
54	54	-541.65032	-544.37374	-545.87617	-2.7234193	-538.29543	-534.01917	-538.71308
55	55	-657.04172	-658.79226	-660.93808	-1.7505441	-653.87357	-647.68305	-650.55959
56	56	-570.15428	-572.18691	-574.26205	-2.0326308	-566.87005	-563.65059	-563.63336
57	57	-474.47413	-477.20673	-478.75212	-2.7325972	-471.00861	-471.42667	-471.42716
58	58	-857.98634	-860.73417	-861.27029	-2.7478267	-855.04705	-848.94559	-855.46461
59	59	-501.31255	-504.04856	-505.57883	-2.73601	-497.92219	-495.74097	-498.3406
60	60	-500.4608	-503.22613	-504.71486	-2.7653276	-497.11014	-496.92605	-497.52785
61	61	-394.54949	-397.3032	-398.80387	-2.7537077	-390.97698	-387.98784	-390.8104
62	62	-768.39483	-771.46713	-772.63205	-3.0723027	-765.33055	-762.86272	-762.81389
63	63	-437.11052	-439.85603	-441.37927	-2.7455089	-433.62062	-433.27691	-433.75471
64	64	-425.25649	-427.67856	-429.49273	-2.4220711	-421.7088	-419.50084	-419.31483
65	65	-697.09312	-699.81491	-701.33834	-2.7217883	-693.9523	-694.37081	-694.37022
66	66	-452.09388	-454.82371	-456.00332	-2.7298278	-448.544	-441.73574	-448.96403
67	67	-454.61344	-457.13472	-458.84358	-2.5212765	-451.14037	-448.57695	-448.56748
68	68	-582.93626	-585.50547	-586.43701	-2.5692063	-579.65693	-572.61228	-578.69314
69	69	-427.6071	-430.07691	-431.86257	-2.4698043	-424.10323	-422.67562	-422.67593
70	70	-608.76219	-611.4875	-613.01373	-2.725314	-605.51985	-604.50469	-605.9377
71	71	-567.16234	-569.88161	-571.38695	-2.7192678	-563.82344	-564.24171	-564.2409
72	72	-388.86005	-391.56447	-393.06715	-2.7044174	-385.20549	-384.93565	-385.6232
73	73	-438.5593	-441.2667	-442.77493	-2.7074079	-435.05309	-434.43386	-435.0522
74	74	-574.43545	-577.23379	-578.70134	-2.798344	-571.16699	-571.26427	-571.58483
75	75	-390.51961	-393.25817	-394.7692	-2.7385631	-386.86791	-385.90016	-385.63625
76	76	-585.00831	-587.71619	-589.24115	-2.7078852	-581.65883	-580.00588	-580.77554
77	77	-514.81659	-517.5687	-518.87759	-2.7521133	-511.45237	-503.39749	-511.87047
