No.	ID	loglik_NUll	loglik_RES	loglik_all	log_ratio	loglik_Max1	loglik_Max2	loglik_Max3
0	0	-1989.7174	-1988.3446	-1968.6415	1.3728196	-1970.9227	-1956.1994	-1970.4302
1	1	-1539.4353	-1538.7261	-1494.8949	0.70916484	-1521.1735	-1482.1021	-1520.055
2	2	-1371.8534	-1371.5458	-1324.7648	0.3075333	-1351.931	-1311.5729	-1352.735
3	3	-1712.5616	-1702.8532	-1626.0609	9.70845	-1694.2457	-1613.2458	-1684.4372
4	4	-1924.1653	-1918.8217	-1848.6608	5.3436329	-1906.3081	-1836.2009	-1900.6537
5	5	-1607.3642	-1606.9754	-1532.8217	0.38876514	-1588.6137	-1519.9957	-1588.2063
6	6	-1593.274	-1593.4289	-1553.4934	-0.1548704	-1573.5248	-1539.5039	-1573.5637
7	7	-1702.6106	-1697.7146	-1644.2923	4.8959302	-1684.549	-1629.2755	-1679.2553
8	8	-2438.5748	-2424.8638	-2376.7944	13.711076	-2420.2077	-2364.749	-2406.6861
9	9	-2181.3642	-2180.6841	-2140.7963	0.68002878	-2163.5687	-2128.5647	-2163.2945
10	10	-1807.9166	-1791.7591	-1724.36	16.157493	-1789.8896	-1711.7035	-1773.6373
11	11	-1292.7104	-1292.7615	-1237.0335	-0.051124894	-1273.738	-1223.8595	-1274.5603
12	12	-1768.7724	-1762.0415	-1687.1114	6.7309398	-1750.475	-1674.4359	-1743.7858
13	13	-1667.1953	-1667.0828	-1622.8392	0.11250284	-1647.1355	-1610.1153	-1647.9443
14	14	-2029.9343	-2023.7	-1955.0406	6.2343029	-2011.6213	-1942.6971	-2005.7544
15	15	-2026.0859	-2020.7776	-1973.0308	5.3082753	-2006.3867	-1958.7459	-1999.4472
16	16	-1464.9749	-1461.8725	-1433.0095	3.1024929	-1445.586	-1418.4714	-1446.4342
17	17	-1839.6089	-1828.8902	-1751.5022	10.718702	-1820.6603	-1738.8424	-1810.7335
18	18	-1949.254	-1948.5803	-1923.7278	0.67364422	-1929.9645	-1911.0094	-1930.5105
19	19	-1382.0741	-1380.8414	-1325.7508	1.2327047	-1363.4349	-1312.6891	-1362.2149
20	20	-1756.3324	-1756.1935	-1729.3788	0.13890342	-1737.3977	-1716.8433	-1738.1944
21	21	-1961.0656	-1959.5777	-1913.8777	1.4878157	-1943.4502	-1901.5149	-1941.7458
22	22	-1916.9198	-1915.7084	-1870.8115	1.2113388	-1897.7532	-1858.3729	-1898.0997
23	23	-1647.0574	-1644.8998	-1590.0358	2.157528	-1628.9781	-1577.251	-1626.5878
24	24	-1831.2314	-1830.6042	-1780.9397	0.62712398	-1811.714	-1767.2683	-1812.0769
25	25	-2241.4403	-2238.4697	-2164.0311	2.9706815	-2222.4844	-2151.889	-2216.9604
26	26	-2101.3493	-2099.1584	-2055.1243	2.1908097	-2083.4362	-2042.8624	-2081.2441
27	27	-2771.437	-2765.6024	-2751.2472	5.8345537	-2751.0849	-2739.1034	-2749.91
28	28	-1733.6017	-1729.6191	-1680.1563	3.9826157	-1714.9104	-1666.063	-1710.7155
29	29	-1586.5024	-1586.3676	-1541.49	0.13487176	-1568.0466	-1528.6564	-1568.8531
30	30	-2423.218	-2408.4777	-2329.6082	14.74022	-2405.538	-2317.5478	-2390.3387
31	31	-1652.5992	-1647.581	-1582.9359	5.0182855	-1633.7968	-1570.145	-1628.5042
32	32	-1487.7023	-1487.6308	-1457.4256	0.071448555	-1467.9143	-1443.7656	-1468.7281
33	33	-1391.4399	-1391.3635	-1330.9485	0.076401035	-1372.409	-1315.6005	-1373.2141
34	34	-2411.7347	-2396.7729	-2334.5365	14.961841	-2393.9583	-2322.5217	-2378.8912
35	35	-1440.6103	-1440.6147	-1396.571	-0.0044267133	-1421.9713	-1383.6318	-1421.322
36	36	-1423.6057	-1424.2682	-1391.2416	-0.66253274	-1404.3853	-1377.9148	-1404.5271
37	37	-1834.7446	-1833.3713	-1797.8709	1.3733624	-1816.9346	-1785.3871	-1815.2597
38	38	-1955.8907	-1940.1888	-1873.759	15.701884	-1937.9605	-1861.294	-1922.158
39	39	-1613.9846	-1613.4451	-1556.5595	0.53944181	-1595.4172	-1542.2398	-1595.7441
40	40	-1868.4369	-1865.8147	-1810.6164	2.6221897	-1849.5252	-1798.1647	-1847.1297
41	41	-2015.0982	-2012.9454	-1935.1659	2.1527991	-1995.4696	-1922.8029	-1994.9308
42	42	-1421.4973	-1422.2346	-1384.6866	-0.7372477	-1402.3438	-1371.704	-1403.1724
43	43	-1787.3019	-1787.2374	-1769.658	0.064471861	-1768.4852	-1753.3614	-1769.337
44	44	-1826.0294	-1821.6372	-1811.3597	4.3922587	-1822.7938	-1794.0402	-1815.3688
45	45	-1899.5732	-1899.6953	-1867.6621	-0.12205579	-1879.5699	-1855.2172	-1880.8095
46	46	-1768.9833	-1764.9747	-1710.2377	4.0086024	-1751.007	-1697.5815	-1746.6438
47	47	-1545.4634	-1545.2987	-1474.4694	0.16468327	-1526.3671	-1461.5415	-1527.176
48	48	-2153.4422	-2150.708	-2134.3471	2.734212	-2134.5993	-2118.2342	-2135.4084
49	49	-1827.4647	-1824.7703	-1808.8586	2.6944763	-1808.4517	-1794.2795	-1807.639
50	50	-1564.7975	-1565.2809	-1524.4124	-0.48345981	-1544.7813	-1511.6261	-1545.6032
51	51	-1921.2687	-1914.4518	-1839.3262	6.8168937	-1903.3692	-1826.8246	-1896.3161
52	52	-1719.6828	-1717.1276	-1653.9288	2.5552085	-1701.1079	-1641.2356	-1698.2401
53	53	-2298.7768	-2288.8197	-2241.7363	9.9570831	-2276.6328	-2229.6316	-2267.0725
54	54	-1696.4925	-1696.9655	-1651.6069	-0.47303994	-1676.6274	-1638.9904	-1677.0864
55	55	-1486.7735	-1486.9165	-1459.6195	-0.14298897	-1468.1065	-1446.2645	-1468.9131
56	56	-1798.0997	-1793.3652	-1728.3693	4.7345297	-1779.7115	-1715.7383	-1775.1938
57	57	-1996.1603	-1992.0292	-1965.515	4.1311515	-1978.097	-1952.8181	-1973.6891
58	58	-1957.8737	-1954.1208	-1917.4542	3.7528257	-1939.8595	-1905.0437	-1936.1462
59	59	-1955.4213	-1953.3797	-1929.5262	2.0416182	-1936.47	-1916.3386	-1936.2289
60	60	-1641.2149	-1639.4773	-1572.4994	1.7375759	-1622.3376	-1559.7574	-1620.2875
61	61	-1830.0775	-1830.6584	-1787.6085	-0.5809332	-1811.4742	-1773.8213	-1812.2817
62	62	-1605.1444	-1604.819	-1556.0754	0.32533051	-1585.4377	-1543.2641	-1586.3683
63	63	-1529.7503	-1528.4106	-1472.6506	1.3397072	-1511.6811	-1459.7545	-1510.0274
64	64	-1651.8639	-1650.8541	-1549.3095	1.0098144	-1632.2721	-1536.3669	-1632.2848
65	65	-1652.9148	-1653.3963	-1623.0281	-0.48153419	-1633.6322	-1610.1	-1634.4402
66	66	-1464.1679	-1462.5736	-1433.9705	1.5942216	-1445.1308	-1420.5736	-1456.5966
67	67	-1405.8615	-1406.0099	-1369.0799	-0.148385	-1386.1022	-1356.0925	-1386.9256
68	68	-1688.494	-1687.6895	-1666.5538	0.80457611	-1670.4183	-1653.7611	-1668.3979
69	69	-1755.0715	-1748.2027	-1721.6711	6.868822	-1735.2032	-1708.0649	-1736.3524
70	70	-1533.5965	-1531.8332	-1481.1787	1.7632862	-1515.5656	-1468.3162	-1513.6051
71	71	-2026.0754	-2016.924	-1967.0132	9.1514021	-2008.3169	-1954.5154	-1998.9529
72	72	-1542.734	-1542.3976	-1474.902	0.33634605	-1524.03	-1461.9799	-1524.8343
73	73	-1963.5757	-1958.3179	-1907.58	5.2577778	-1945.7557	-1895.1995	-1940.3114
74	74	-2293.3535	-2267.7322	-2036.2741	25.621323	-2274.9771	-2023.7774	-2249.4303
75	75	-1512.2991	-1505.951	-1440.101	6.3480991	-1493.2504	-1427.0424	-1487.3877
76	76	-1449.3233	-1438.3888	-1408.3288	10.934572	-1445.8763	-1395.3836	-1432.1323
77	77	-1883.349	-1879.8808	-1849.7756	3.4681713	-1865.0146	-1830.8951	-1865.0303
78	78	-1594.7453	-1594.68	-1566.5196	0.065333828	-1574.8585	-1553.826	-1574.8734
79	79	-1932.1015	-1930.5877	-1900.6366	1.5137997	-1912.7993	-1884.7126	-1909.3713
80	80	-1914.2108	-1905.3306	-1815.4271	8.8802316	-1896.1414	-1802.8916	-1887.0376
81	81	-2048.4214	-2048.6481	-2012.5997	-0.22675262	-2030.0601	-2000.2755	-2029.7571
82	82	-1861.3209	-1859.7721	-1813.4805	1.5488328	-1843.1942	-1801.0159	-1841.7208
