iter	nprior_a	nprior_b	cprior_a	cprior_b	prior_l_a	prior_l_b	prior_g_a	prior_g_b
0	4	0.5	1	0.2	1	2	1	1
0	3.80316	0.52102	1.21975	0.215121	1	2	0.912483	1.01105
1	3.72055	0.525178	1.2345	0.18747	0.794986	2.31725	0.699455	0.874005
2	3.23389	0.546193	1.36039	0.173753	0.683284	1.64235	0.5288	0.744786
3	3.1944	0.435776	1.08884	0.163329	0.683284	1.64235	0.435062	0.827419
4	3.93896	0.379527	1.08884	0.163329	0.683284	1.64235	0.435062	0.827419
5	4.22523	0.364412	1.00588	0.153439	0.715967	2.11679	0.408683	0.667188
6	4.377	0.368748	1.09567	0.157221	0.634768	1.62331	0.347686	0.491935
7	4.14877	0.436287	1.14701	0.151781	0.559358	2.03889	0.347686	0.491935
8	4.14877	0.436287	1.25518	0.135129	0.444253	1.48979	0.347686	0.491935
9	3.89603	0.443411	1.31488	0.131366	0.371373	1.56442	0.347686	0.491935
10	3.79861	0.503811	1.31488	0.131366	0.371373	1.56442	0.250714	0.454011
11	3.77831	0.497684	1.31488	0.131366	0.374657	1.5139	0.250714	0.454011
12	3.77831	0.497684	1.4391	0.153536	0.274391	1.73919	0.324078	0.441049
13	3.77831	0.497684	1.4391	0.153536	0.246444	1.36625	0.374612	0.44812
14	3.59856	0.556229	1.4391	0.153536	0.277504	1.69782	0.374612	0.44812
15	4.01015	0.546434	1.37414	0.144046	0.254793	1.82853	0.307223	0.329842
16	4.31926	0.520663	1.49328	0.146222	0.19136	1.38532	0.233856	0.264583
17	4.53254	0.438933	1.49328	0.146222	0.19136	1.38532	0.245743	0.27585
18	4.6887	0.405046	1.49328	0.146222	0.200651	1.74445	0.245743	0.27585
19	4.6887	0.405046	1.49594	0.131795	0.195756	1.32088	0.245743	0.27585
20	4.39476	0.481507	1.49594	0.131795	0.156524	1.51788	0.283469	0.211165
21	3.77904	0.57401	1.71067	0.148296	0.181388	1.49779	0.290628	0.157559
22	3.7104	0.602722	1.77157	0.148912	0.162176	1.58886	0.377332	0.150546
23	4.11299	0.559258	1.8343	0.146853	0.176629	1.68896	0.344456	0.147142
24	4.11299	0.559258	1.80103	0.155238	0.213045	1.19529	0.275353	0.158898
25	3.85729	0.489201	1.73523	0.145139	0.167076	0.951226	0.340407	0.17683
26	3.2699	0.603305	1.55258	0.129166	0.153249	1.22984	0.39562	0.222382
27	3.70755	0.538237	1.80024	0.115878	0.146543	0.966317	0.469667	0.242881
28	3.53392	0.573302	1.80209	0.110551	0.172472	1.10503	0.493032	0.219545
29	3.53392	0.573302	1.53731	0.100057	0.172472	1.10503	0.493032	0.219545
30	4.34611	0.572858	1.55283	0.0960382	0.1386	1.33148	0.455295	0.276498
31	4.34611	0.572858	1.54202	0.102415	0.1386	1.33148	0.455295	0.276498
32	4.41149	0.647027	1.54202	0.102415	0.132271	1.1383	0.398605	0.322292
33	4.14254	0.543344	1.47297	0.109444	0.168879	1.11971	0.3521	0.313325
34	4.49087	0.545048	1.48023	0.1193	0.134888	1.03331	0.290095	0.284243
35	4.49087	0.545048	1.29063	0.121221	0.141387	0.740388	0.251625	0.251591
36	3.85854	0.500609	1.39744	0.121336	0.141387	0.740388	0.31401	0.281688
37	3.85854	0.500609	1.34811	0.117285	0.116912	0.673232	0.290654	0.213819
38	4.19403	0.551669	1.23297	0.123622	0.134675	0.818286	0.29838	0.172002
39	4.19403	0.551669	1.22783	0.114796	0.117116	1.04934	0.29295	0.174701
40	3.77298	0.553613	1.22783	0.114796	0.15054	1.01236	0.343242	0.187301
