No.	ID	loglik_Null	loglik_Acc	loglik_Full	logBF1	logBF2	loglik_Max_M0	loglik_Max_M1	loglik_Max_M2
0	0	-1295.9014	-1241.3777	-1254.4229	54.523697	13.0452	-1276.6624	-1233.7714	-1235.1222
1	1	-1482.4564	-1424.3885	-1437.4665	58.067877	13.078	-1463.8801	-1417.9793	-1418.5901
2	2	-1783.41	-1743.2997	-1756.3921	40.110303	13.0924	-1764.3606	-1737.8309	-1737.8304
3	3	-1502.2227	-1468.1294	-1481.2585	34.093312	13.1290999999999	-1483.747	-1460.3023	-1460.4181
4	4	-1441.1232	-1425.2062	-1438.5596	15.917087	13.3534	-1437.6699	-1413.9818	-1414.734
5	5	-1741.9976	-1709.7047	-1722.5258	32.292911	12.8210999999999	-1724.9599	-1703.8666	-1703.9955
6	6	-1389.0747	-1287.6872	-1300.8007	101.38742	13.1134999999999	-1370.6097	-1281.8055	-1281.8063
7	7	-1348.3776	-1273.3143	-1286.5937	75.063366	13.2793999999999	-1329.68	-1266.9898	-1266.9869
8	8	-1136.0644	-1085.3002	-1098.5128	50.764263	13.2126000000001	-1117.165	-1078.8714	-1078.8786
9	9	-1207.1387	-1167.8134	-1180.9233	39.325281	13.1098999999999	-1203.555	-1157.685	-1157.685
10	10	-1132.4807	-1113.2519	-1124.7537	19.228827	11.5018	-1128.8641	-1098.0676	-1102.4248
11	11	-1051.762	-978.17579	-991.29793	73.586202	13.1221399999999	-1033.1057	-968.11558	-968.02467
12	12	-2119.6456	-2082.6114	-2095.705	37.03418	13.0936000000002	-2100.7802	-2076.8872	-2077.2559
13	13	-1853.6938	-1812.1257	-1823.522	41.568081	11.3962999999999	-1835.0423	-1806.0849	-1806.3135
14	14	-1326.3376	-1266.6183	-1279.5902	59.71923	12.9719	-1308.1648	-1259.4747	-1260.632
15	15	-987.06982	-909.18334	-922.41455	77.886478	13.2312099999999	-968.15464	-902.07318	-902.48094
16	16	-1465.5064	-1410.9038	-1424.1628	54.60254	13.259	-1441.4832	-1404.7322	-1404.8476
17	17	-1654.8711	-1618.8915	-1632.2406	35.979648	13.3491000000001	-1642.1329	-1608.2514	-1609.0487
18	18	-1661.5589	-1633.6752	-1646.6123	27.883689	12.9371000000001	-1643.2837	-1627.3775	-1627.3704
19	19	-1109.5418	-1045.9878	-1059.244	63.55402	13.2561999999998	-1090.4718	-1039.5278	-1039.5174
20	20	-2059.41	-2060.4596	-2061.625	-1.0495586	1.16539999999986	-2056.2814	-2048.3141	-2052.3932
21	21	-1232.4445	-1173.9027	-1187.1204	58.541726	13.2176999999999	-1214.3083	-1167.602	-1167.5984
22	22	-1369.2205	-1307.5106	-1320.6279	61.709936	13.1172999999999	-1351.0254	-1301.4601	-1301.6181
23	23	-1327.5148	-1256.9877	-1270.0658	70.527105	13.0781000000002	-1309.0985	-1251.038	-1251.0374
24	24	-1450.1747	-1386.9634	-1400.2007	63.211305	13.2373	-1432.0023	-1380.0796	-1380.0796
25	25	-1371.029	-1323.5953	-1336.6923	47.433742	13.097	-1358.9352	-1317.6183	-1317.6168
26	26	-1244.1364	-1162.85	-1175.9337	81.286382	13.0837000000001	-1225.5882	-1156.6654	-1156.6646
27	27	-1771.7311	-1718.4978	-1731.4548	53.233319	12.9569999999999	-1753.6436	-1711.6034	-1712.9071
28	28	-1318.6962	-1272.0935	-1281.646	46.602746	9.55250000000001	-1315.1616	-1265.3077	-1265.3051
29	29	-1106.7944	-1026.6379	-1039.7414	80.156403	13.1035000000002	-1088.1882	-1020.3505	-1020.3504
30	30	-1590.9674	-1551.9635	-1565.219	39.003947	13.2555	-1587.5963	-1545.6501	-1546.0105
31	31	-1705.8844	-1691.3103	-1700.309	14.574162	8.99869999999987	-1702.5917	-1678.5649	-1685.4731
32	32	-1413.8522	-1327.0154	-1340.138	86.836818	13.1225999999999	-1395.4296	-1321.1272	-1321.1256
33	33	-1527.2397	-1478.8814	-1492.1362	48.358291	13.2547999999999	-1509.146	-1472.8829	-1472.8836
34	34	-1389.5182	-1338.7457	-1352.0135	50.772459	13.2678000000001	-1371.0724	-1331.8955	-1332.5533
35	35	-1110.3294	-1021.1963	-1034.3234	89.133131	13.1271	-1091.2292	-1014.9434	-1014.9432
36	36	-1208.9673	-1143.6648	-1156.6167	65.302515	12.9519	-1189.0252	-1135.4889	-1137.2739
37	37	-1799.7645	-1772.3552	-1785.1298	27.409239	12.7746	-1782.395	-1763.6253	-1764.8163
38	38	-1650.8115	-1537.2609	-1550.357	113.55068	13.0961	-1632.5594	-1531.7412	-1531.742
39	39	-1537.5988	-1443.7256	-1456.8124	93.873205	13.0868	-1519.0383	-1438.0481	-1438.0491
40	40	-1252.3086	-1195.8808	-1209.012	56.427817	13.1312	-1233.955	-1189.865	-1189.8653
41	41	-1414.7447	-1363.9774	-1377.0921	50.767316	13.1147000000001	-1394.6078	-1357.3161	-1357.9796
42	42	-1777.1446	-1771.6186	-1777.1894	5.5259206	5.57079999999996	-1773.8919	-1762.2554	-1765.4621
43	43	-2017.174	-1991.7935	-2003.4817	25.3805	11.6882000000001	-2000.1554	-1985.209	-1986.1181
44	44	-1295.2951	-1248.6732	-1261.9012	46.621862	13.2280000000001	-1275.3146	-1241.9166	-1241.9079
45	45	-2257.5685	-2201.8663	-2214.9616	55.702155	13.0953	-2238.2294	-2196.7102	-2196.7106
46	46	-1392.0815	-1339.0856	-1352.1833	52.995828	13.0976999999998	-1373.2738	-1333.2005	-1333.1874
47	47	-1553.1973	-1472.9146	-1486.1838	80.282729	13.2692	-1534.9649	-1466.8929	-1466.8875
48	48	-1546.4287	-1512.1165	-1524.7627	34.312217	12.6461999999999	-1543.0286	-1506.0155	-1505.9983
49	49	-1666.2036	-1629.6839	-1642.3511	36.519724	12.6672000000001	-1647.8379	-1621.0301	-1623.8248
50	50	-1323.5748	-1263.3731	-1276.6051	60.201789	13.232	-1305.2823	-1256.3498	-1256.3482
51	51	-1638.7094	-1632.2277	-1638.9522	6.4816995	6.72450000000003	-1635.366	-1622.1862	-1626.303
52	52	-1499.2617	-1432.9684	-1445.9205	66.293285	12.9521	-1480.6451	-1425.3667	-1426.3731
53	53	-1126.4545	-1101.0555	-1114.201	25.399061	13.1455000000001	-1122.8331	-1090.3597	-1090.3577
54	54	-1497.7698	-1449.086	-1462.3119	48.683783	13.2258999999999	-1479.6912	-1443.0339	-1443.0363
55	55	-1658.0805	-1626.328	-1639.441	31.752473	13.1130000000001	-1640.1992	-1620.6507	-1620.6507
56	56	-1737.8165	-1656.9084	-1670.0126	80.908071	13.1042	-1719.0776	-1651.4359	-1651.4363
57	57	-1703.7828	-1647.4535	-1660.5144	56.329267	13.0608999999999	-1685.6461	-1641.8299	-1641.849
58	58	-1227.5027	-1165.275	-1178.5346	62.227674	13.2595999999999	-1208.5232	-1158.9045	-1158.9029
59	59	-1976.9058	-1948.9128	-1961.4604	27.992964	12.5475999999999	-1973.7237	-1936.3839	-1941.9905
60	60	-1433.4485	-1377.0444	-1390.2846	56.404068	13.2402	-1414.9487	-1370.0847	-1370.0665
61	61	-1899.305	-1866.6498	-1879.6975	32.655208	13.0477000000001	-1877.8475	-1858.0347	-1860.8942
62	62	-1439.795	-1409.7116	-1422.5663	30.083427	12.8546999999999	-1436.3479	-1400.917	-1403.1955
63	63	-1522.9393	-1491.4556	-1504.2721	31.48376	12.8164999999999	-1508.5181	-1482.8006	-1485.6247
64	64	-1895.5373	-1867.4671	-1877.9355	28.070176	10.4684	-1876.2719	-1861.0604	-1861.8671
65	65	-1285.1892	-1256.7141	-1268.3088	28.475087	11.5947000000001	-1281.6819	-1250.6644	-1250.662
66	66	-940.56214	-914.90991	-927.67315	25.652231	12.76324	-936.73593	-904.62399	-907.65927
67	67	-1966.4125	-1907.1538	-1920.2702	59.258674	13.1163999999999	-1948.349	-1901.8085	-1901.81
68	68	-1263.2086	-1224.3022	-1237.4248	38.906412	13.1225999999999	-1259.6161	-1218.2036	-1218.204
