ID	n_rate	c_rate	g_rate	l_rate	l2_rate	taeGut_0	taeGut_1	taeGut_2	taeGut_3	ficAlb_0	ficAlb_1	ficAlb_2	ficAlb_3	pseHum_0	pseHum_1	pseHum_2	pseHum_3	corBra_0	corBra_1	corBra_2	corBra_3	melUnd_0	melUnd_1	melUnd_2	melUnd_3	falPer_0	falPer_1	falPer_2	falPer_3	picPub_0	picPub_1	picPub_2	picPub_3	lepDis_0	lepDis_1	lepDis_2	lepDis_3	halLeu_0	halLeu_1	halLeu_2	halLeu_3	aptFor_0	aptFor_1	aptFor_2	aptFor_3	pygAde_0	pygAde_1	pygAde_2	pygAde_3	fulGla_0	fulGla_1	fulGla_2	fulGla_3	nipNip_0	nipNip_1	nipNip_2	nipNip_3	balReg_0	balReg_1	balReg_2	balReg_3	chaVoc_0	chaVoc_1	chaVoc_2	chaVoc_3	calAnn_0	calAnn_1	calAnn_2	calAnn_3	chaPel_0	chaPel_1	chaPel_2	chaPel_3	cucCan_0	cucCan_1	cucCan_2	cucCan_3	colLiv_0	colLiv_1	colLiv_2	colLiv_3	mesUni_0	mesUni_1	mesUni_2	mesUni_3	galGal_0	galGal_1	galGal_2	galGal_3	melGal_0	melGal_1	melGal_2	melGal_3	anaPla_0	anaPla_1	anaPla_2	anaPla_3	aptHaa_0	aptHaa_1	aptHaa_2	aptHaa_3	aptOwe_0	aptOwe_1	aptOwe_2	aptOwe_3	aptRow_0	aptRow_1	aptRow_2	aptRow_3	casCas_0	casCas_1	casCas_2	casCas_3	droNov_0	droNov_1	droNov_2	droNov_3	rheAme_0	rheAme_1	rheAme_2	rheAme_3	rhePen_0	rhePen_1	rhePen_2	rhePen_3	cryCin_0	cryCin_1	cryCin_2	cryCin_3	tinGut_0	tinGut_1	tinGut_2	tinGut_3	eudEle_0	eudEle_1	eudEle_2	eudEle_3	notPer_0	notPer_1	notPer_2	notPer_3	anoDid_0	anoDid_1	anoDid_2	anoDid_3	strCam_0	strCam_1	strCam_2	strCam_3	allMis_0	allMis_1	allMis_2	allMis_3	allSin_0	allSin_1	allSin_2	allSin_3	croPor_0	croPor_1	croPor_2	croPor_3	gavGan_0	gavGan_1	gavGan_2	gavGan_3	chrPic_0	chrPic_1	chrPic_2	chrPic_3	cheMyd_0	cheMyd_1	cheMyd_2	cheMyd_3	anoCar_0	anoCar_1	anoCar_2	anoCar_3	taeGut.ficAlb_0	taeGut.ficAlb_1	taeGut.ficAlb_2	taeGut.ficAlb_3	taeGut.pseHum_0	taeGut.pseHum_1	taeGut.pseHum_2	taeGut.pseHum_3	taeGut.corBra_0	taeGut.corBra_1	taeGut.corBra_2	taeGut.corBra_3	taeGut.melUnd_0	taeGut.melUnd_1	taeGut.melUnd_2	taeGut.melUnd_3	taeGut.falPer_0	taeGut.falPer_1	taeGut.falPer_2	taeGut.falPer_3	picPub.lepDis_0	picPub.lepDis_1	picPub.lepDis_2	picPub.lepDis_3	picPub.halLeu_0	picPub.halLeu_1	picPub.halLeu_2	picPub.halLeu_3	taeGut.picPub_0	taeGut.picPub_1	taeGut.picPub_2	taeGut.picPub_3	aptFor.pygAde_0	aptFor.pygAde_1	aptFor.pygAde_2	aptFor.pygAde_3	aptFor.fulGla_0	aptFor.fulGla_1	aptFor.fulGla_2	aptFor.fulGla_3	aptFor.nipNip_0	aptFor.nipNip_1	aptFor.nipNip_2	aptFor.nipNip_3	taeGut.aptFor_0	taeGut.aptFor_1	taeGut.aptFor_2	taeGut.aptFor_3	balReg.chaVoc_0	balReg.chaVoc_1	balReg.chaVoc_2	balReg.chaVoc_3	taeGut.balReg_0	taeGut.balReg_1	taeGut.balReg_2	taeGut.balReg_3	calAnn.chaPel_0	calAnn.chaPel_1	calAnn.chaPel_2	calAnn.chaPel_3	calAnn.cucCan_0	calAnn.cucCan_1	calAnn.cucCan_2	calAnn.cucCan_3	taeGut.calAnn_0	taeGut.calAnn_1	taeGut.calAnn_2	taeGut.calAnn_3	colLiv.mesUni_0	colLiv.mesUni_1	colLiv.mesUni_2	colLiv.mesUni_3	taeGut.colLiv_0	taeGut.colLiv_1	taeGut.colLiv_2	taeGut.colLiv_3	galGal.melGal_0	galGal.melGal_1	galGal.melGal_2	galGal.melGal_3	galGal.anaPla_0	galGal.anaPla_1	galGal.anaPla_2	galGal.anaPla_3	taeGut.galGal_0	taeGut.galGal_1	taeGut.galGal_2	taeGut.galGal_3	aptHaa.aptOwe_0	aptHaa.aptOwe_1	aptHaa.aptOwe_2	aptHaa.aptOwe_3	aptHaa.aptRow_0	aptHaa.aptRow_1	aptHaa.aptRow_2	aptHaa.aptRow_3	casCas.droNov_0	casCas.droNov_1	casCas.droNov_2	casCas.droNov_3	aptHaa.casCas_0	aptHaa.casCas_1	aptHaa.casCas_2	aptHaa.casCas_3	rheAme.rhePen_0	rheAme.rhePen_1	rheAme.rhePen_2	rheAme.rhePen_3	aptHaa.rheAme_0	aptHaa.rheAme_1	aptHaa.rheAme_2	aptHaa.rheAme_3	cryCin.tinGut_0	cryCin.tinGut_1	cryCin.tinGut_2	cryCin.tinGut_3	eudEle.notPer_0	eudEle.notPer_1	eudEle.notPer_2	eudEle.notPer_3	cryCin.eudEle_0	cryCin.eudEle_1	cryCin.eudEle_2	cryCin.eudEle_3	cryCin.anoDid_0	cryCin.anoDid_1	cryCin.anoDid_2	cryCin.anoDid_3	aptHaa.cryCin_0	aptHaa.cryCin_1	aptHaa.cryCin_2	aptHaa.cryCin_3	aptHaa.strCam_0	aptHaa.strCam_1	aptHaa.strCam_2	aptHaa.strCam_3	taeGut.aptHaa_0	taeGut.aptHaa_1	taeGut.aptHaa_2	taeGut.aptHaa_3	allMis.allSin_0	allMis.allSin_1	allMis.allSin_2	allMis.allSin_3	croPor.gavGan_0	croPor.gavGan_1	croPor.gavGan_2	croPor.gavGan_3	allMis.croPor_0	allMis.croPor_1	allMis.croPor_2	allMis.croPor_3	taeGut.allMis_0	taeGut.allMis_1	taeGut.allMis_2	taeGut.allMis_3	chrPic.cheMyd_0	chrPic.cheMyd_1	chrPic.cheMyd_2	chrPic.cheMyd_3	taeGut.chrPic_0	taeGut.chrPic_1	taeGut.chrPic_2	taeGut.chrPic_3	taeGut.anoCar_0	taeGut.anoCar_1	taeGut.anoCar_2	taeGut.anoCar_3
mCE12116	2.63889	0.250209	0.477415	0.0729738	0	0	0	0.813556	0.186444	0	0	0.832667	0.167333	0	0	0.0743333	0.925667	0	0	0.998	0.002	0	0	0.945	0.055	0	0	0.994111	0.00588889	0	0	1	0	0	0	1	0	0	0	0.969889	0.0301111	0	0	0.961556	0.0384444	0	0	0.474778	0.525222	0	0	0.975667	0.0243333	0	0	0.954111	0.0458889	0	0	0.997111	0.00288889	0	0	0.997556	0.00244444	0	0	1	0	0	0	0.997889	0.00211111	0	0	0.999889	0.000111111	0	0	0.999667	0.000333333	0	0	0.950889	0.0491111	0	0	0.998556	0.00144444	0	0	0.959889	0.0401111	0	0	0.999778	0.000222222	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	0	0	0.000222222	0.999778	0	0	0.000111111	0.999889	0	0	0.000222222	0.999778	0	0	0.000222222	0.999778	1	0	0	1	0	0	0	1	0	0.00177778	0.998222	0	0	0.002	0.998	0	0	0.00166667	0.998333	0	0	0.00144444	0.998556	0	0	0.299333	0.700667	0	0	0.272222	0.727778	0	0	0.000555556	0.999444	0	0	0	0.880556	0.119444	0	0	0.914778	0.0852222	0	0	0.999222	0.000777778	0	0	0.999222	0.000777778	0	0	0.999778	0.000222222	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.979889	0.0201111	0	0	0.992556	0.00744444	0	0	0.995667	0.00433333	0	0	1	0	0	0	0.999667	0.000333333	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.999778	0.000222222	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	0	0	0.000222222	0.999778	0	0	0.000222222	0.999778	0	0	0.000222222	0.999778	0	0	0.000333333	0.999667	0	0	0.000777778	0.999222	0	0	0.006	0.994	0	0	1	0	0	0.00322222	0.996778	0	0	0.00222222	0.997778	0	0	0.0106667	0.989333	0	0	0.0303333	0.969667	0	0	0.299333	0.700667	0	0	0.299333	0.700667	0	0	0.465333	0.534667	0
mCE12790	1.68746	0.131459	0.499794	0.0333408	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0
mCE19089	1.85584	0.254673	0.237563	0.0267831	0	0	0	0.969333	0.0306667	0	0	1	0	0	0	0.999889	0.000111111	0	0	0.997556	0.00244444	0	0	1	0	0	0	0.999889	0.000111111	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.998444	0.00155556	0	0	0.999222	0.000777778	0	0	0.987444	0.0125556	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.846889	0.153111	0	0	0.922556	0.0774444	0	0	0.942111	0.0578889	0	0	0.999222	0.000777778	0	0	0.999444	0.000555556	0	0	0.976667	0.0233333	0	0	0.984556	0.0154444	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.999556	0.000444444	0	0	0	1	0	0.312667	0.687333	0	0	0.154778	0.845222	0	0	0.892444	0.107556	0	0	0.816111	0.183889	0	0	0.998667	0.00133333	0	0	0.993667	0.00633333	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.936556	0.0634444	0	0	0.946778	0.0532222	0	0	0.999889	0.000111111	0	0	0.999889	0.000111111	0	0	0.999667	0.000333333	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.357778	0.642222	0	0	0.984556	0.0154444	0	0	0.998889	0.00111111	0	0	0.999111	0.000888889	0	0	1	0	0	0	1	0	0	1	0	0	0
mCE19537	0.677166	0.130341	0.498322	0.0535389	0	0	0	0.878	0.122	0	0	0.999333	0.000666667	0	0	0.930889	0.0691111	0	0	0.957333	0.0426667	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.992333	0.00766667	0	0	0.887	0.113	0	0	0.999778	0.000222222	0	0	0.988	0.012	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.998556	0.00144444	0	0	0.999333	0.000666667	0	0	0.999889	0.000111111	0	0	0.00888889	0.991111	0	0	0.00877778	0.991222	0	0	0.00511111	0.994889	0	0	0.0113333	0.988667	0	0	0.003	0.997	0	0	0	1	0	0	0	1	0	0	0.950667	0.0493333	0	0	0.894111	0.105889	0	0	0.995556	0.00444444	0	0	1	0	0	0	0.000222222	0.999778	0	0	0.987222	0.0127778	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0.999667	0.000333333	0	0	0.999889	0.000111111	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.999	0.001	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.00944444	0.990556	0	0	0.00955556	0.990444	0	0	0.0113333	0.988667	0	0	0.0236667	0.976333	0	0	0	1	0	0	0.0924444	0.907556	0	0	0.987	0.013	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0
mCE23883	2.04518	0.324928	0.584466	0.0739579	0	0	0	0.106889	0.893111	0	0	0.0101111	0.989889	0	0	0.409444	0.590556	0	0	0.915111	0.0848889	0	0	0.998778	0.00122222	0	0	0.999333	0.000666667	1	0	0.133	0.867	0	0	0.989556	0.0104444	0	0	0.949667	0.0503333	0	0	0.967222	0.0327778	0	0	0.975222	0.0247778	0	0	0.975556	0.0244444	0	0	0.990222	0.00977778	0	0	0.996556	0.00344444	0	0	0.987889	0.0121111	0	0	0.999889	0.000111111	0	0	0.999778	0.000222222	0	0	0.994778	0.00522222	0	0	0.998778	0.00122222	0	0	0.998667	0.00133333	0	0	0.971667	0.0283333	0	0	0.954778	0.0452222	0	0	0.997	0.003	0	0.000222222	0.221667	0.778111	0	0.000222222	0.287667	0.712111	0	0.000111111	0.335889	0.664	0	0	0.783444	0.216556	0	0.000111111	0.721667	0.278222	0	0.000111111	0.000333333	0.999556	0	0.000222222	0.000222222	0.999556	0	0.000111111	0.990444	0.00944444	0	0.000222222	0.984222	0.0155556	0	0	0.997444	0.00255556	0	0.000222222	0.991444	0.00833333	0	0.000222222	0.996778	0.003	0	0.00122222	0.868111	0.130667	0	0.0176667	0.982333	0	0	0.0236667	0.976333	0	0	0.0186667	0.981333	0	0	0.0188889	0.981111	0	0	0.0581111	0.941889	0	0	0.0895556	0.910444	0	1	0	0	0	0	0	0.133556	0.866444	0	0	0.428	0.572	0	0	0.920222	0.0797778	0	0	0.999222	0.000777778	0	0	0.999889	0.000111111	0	0	0.990222	0.00977778	0	0	0.994333	0.00566667	0	0	1	0	0	0	0.996333	0.00366667	0	0	0.998333	0.00166667	0	0	0.999333	0.000666667	0	0.000111111	0.999889	0	0	0	0.999667	0.000333333	0	0.000111111	0.999889	0	0	0	1	0	0	0	1	0	0	0.000111111	0.999889	0	0	0	0.999778	0.000222222	0	0.000111111	0.999889	0	0	0	1	0	0	0.000111111	0.999889	0	0	0.000333333	0.999667	0	0	0.000222222	0.305889	0.693889	0	0.000222222	0.351444	0.648333	0	0.000111111	0.804444	0.195444	0	0.000222222	0.806111	0.193667	0	0.000444444	0	0.999556	0	0.000444444	0.819778	0.179778	0	0.000333333	0.996778	0.00288889	0	0.000333333	0.997444	0.00222222	0	0.000777778	0.997222	0.002	0	0.000888889	0.997778	0.00133333	0	0.001	0.997778	0.00122222	0	0.00144444	0.998222	0.000333333	0	0.00355556	0.996444	0	0	0.03	0.97	0	0	0.0371111	0.962889	0	0	0.0432222	0.956778	0	0	0.137222	0.862778	0	0	0.215778	0.784222	0	0	0.479556	0.520444	0	1	0	0	0
mCE24514	0.835839	0.247374	0.595617	0.110488	0	0	0	0.875444	0.124556	0	0	0.990556	0.00944444	0	0	0.719333	0.280667	0	0	0.989111	0.0108889	0	0	0.985333	0.0146667	0	0	0.988778	0.0112222	0	0	0.0424444	0.957556	0	0	0.999778	0.000222222	0	0	0.995222	0.00477778	0	0	0.773111	0.226889	0	0	0.923111	0.0768889	0	0	0.986111	0.0138889	0	0	0.914	0.086	0	0	0.920111	0.0798889	0	0	0.999889	0.000111111	0	0	0.995667	0.00433333	0	0	0.997222	0.00277778	0	0	0.076	0.924	0	0	1	0	0	0	1	0	0	0	0.833333	0.166667	0	0	0.996444	0.00355556	0	0	0.998667	0.00133333	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.0423333	0.957667	0	0	0.296889	0.703111	0	0	0.549111	0.450889	0	0	0.62	0.38	0	0	0.852111	0.147889	0	0	0.993	0.007	0	0	0.0616667	0.938333	0	0	0.832889	0.167111	0	0	0.948778	0.0512222	0	0	0.0676667	0.932333	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.000111111	0.999889	0	0	0.000111111	0.999889	0	0	0.190667	0.809333	0	0	0	0.992667	0.00733333	0	0	0.994	0.006	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.999889	0.000111111	0	0	1	0	0	0	1	0	0	0	0.980111	0.0198889	0	0	0.997444	0.00255556	0	0	0.998778	0.00122222	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.999778	0.000222222	0	0	0.999778	0.000222222	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.999889	0.000111111	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0.312222	0.687778	0	0	0.335444	0.664556	0	0	0.655889	0.344111	0	0	0.716667	0.283333	0	0	0.998	0.002	0	0	0.840556	0.159444	0	0	0.999444	0.000555556	0	0	0.999889	0.000111111	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.00144444	0.998556	0	0	0.000111111	0.999889	0	0	0.302111	0.697889	0	0	0.536333	0.463667	0
mCE26013	2.41882	0.223076	0.497069	0.0489692	0	0	0	0.999889	0.000111111	0	0	1	0	0	0	0.999	0.001	0	0	0.999778	0.000222222	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.999889	0.000111111	0	0	0.998	0.002	0	0	0.998667	0.00133333	0	0	0.998556	0.00144444	0	0	1	0	0	0	1	0	0	0	0.999111	0.000888889	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.0841111	0.915889	0	0	0.0846667	0.915333	0	0	0.196	0.804	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0.000444444	0.999556	0	0	0.000222222	0.999778	0	0	0.000888889	0.999111	0	0	0.000555556	0.999444	0	0	0.000888889	0.999111	0	0	0.00188889	0.998111	0	0	0.964111	0.0358889	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.999889	0.000111111	0	0	0.999889	0.000111111	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.0878889	0.912111	0	0	0.199556	0.800444	0	0	0	1	0	0	0.202556	0.797444	0	0	0	1	0	0	0.231778	0.768222	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.000111111	0.999889	0	0	0.000555556	0.999444	0	0	0.001	0.999	0	0	0.00155556	0.998444	0	0	0.0201111	0.979889	0	0	0.00244444	0.997556	0	0	0.785667	0.214333	0	0	1	0	0
mCE26618	0.746008	0.235123	0.593168	0.087723	0	0	0	0.856333	0.143667	0	0	0.918778	0.0812222	0	0	0.800111	0.199889	0	0	0.988222	0.0117778	0	0	0.989222	0.0107778	0	0	0.110889	0.889111	0	0	0.812667	0.187333	0	0	0.781222	0.218778	0	0	0.612	0.388	0	0	0.937778	0.0622222	0	0	0.945556	0.0544444	0	0	0.877333	0.122667	0	0	0.977778	0.0222222	0	0	0.989556	0.0104444	0	0	0.963222	0.0367778	0	0	0.998222	0.00177778	0	0	0.974333	0.0256667	0	0	0.932556	0.0674444	0	0	0.994889	0.00511111	0	0	0.994556	0.00544444	0	0	0.949	0.051	0	0	0.839667	0.160333	0	0	0.908778	0.0912222	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	1	1	0	0	1	0	0	0.000222222	0.999778	0	0	0.000111111	0.999889	0	0	0.180444	0.819556	0	0	0.167222	0.832778	0	0	0.184667	0.815333	0	0	0.184889	0.815111	1	0	0.0224444	0.977556	1	0	0.0217778	0.978222	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.009	0.991	0	0	0	0.947667	0.0523333	0	0	0.974111	0.0258889	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.848667	0.151333	0	0	0.877444	0.122556	0	0	1	0	0	0	0.981333	0.0186667	0	0	0.989111	0.0108889	0	0	0.997	0.003	0	0	1	0	0	0	0.994111	0.00588889	0	0	1	0	0	0	0.999444	0.000555556	0	0	1	0	0	0	1	0	0	0	0.999667	0.000333333	0	0	1	0	0	0	0.992	0.008	0	0	0.994222	0.00577778	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0.000777778	0.999222	0	0	0.000222222	0.999778	0	0	0.0145556	0.985444	0	0	0.183333	0.816667	0	0	0.185	0.815	0	0	0.185111	0.814889	0	0	0.185111	0.814889	0	0	0.185222	0.814778	0	0	0.194778	0.805222	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.000111111	0.999889	0	0	0	1	0	0	0.00277778	0.997222	0	0	0.258556	0.741444	0
mCE32966	4.84061	0.370692	0.559999	0.0246572	0	0	0	0.999667	0.000333333	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.999667	0.000333333	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.993556	0.00644444	0	0	1	0	0	0	0.977	0.023	0	0	0.976	0.024	0	0	0.997222	0.00277778	0	0	0.992333	0.00766667	0	0	0.995333	0.00466667	0	0	0	1	0	0	0	1	0	0	0.998556	0.00144444	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.0286667	0.971333	0	0	0.0963333	0.903667	0	0	0.304111	0.695889	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.987889	0.0121111	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.00877778	0.991222	0	0	0.0965556	0.903444	0	0	0.211889	0.788111	0	0	0.631889	0.368111	0
mCE34587	0.954355	0.204342	0.594899	0.156047	0	0	0	0.914778	0.0852222	0	0	0.933222	0.0667778	0	0	0.909667	0.0903333	0	0	0.643778	0.356222	0	0	0.993778	0.00622222	0	0	0.982778	0.0172222	0	0	0.988111	0.0118889	0	0	0.866667	0.133333	0	0	0.941778	0.0582222	0	0	0.860111	0.139889	0	0	0.681111	0.318889	0	0	0.961667	0.0383333	0	0	0.984111	0.0158889	0	0	0.786333	0.213667	0	0	0.0235556	0.976444	0	0	0.154556	0.845444	0	0	0.0884444	0.911556	0	0	0.796556	0.203444	0	0	0.975556	0.0244444	0	0	0.965556	0.0344444	0	0	0.00411111	0.995889	0	0	0.005	0.995	0	0	0.981444	0.0185556	0	0	0.0312222	0.968778	0	0	0.0318889	0.968111	0	0	0.0338889	0.966111	0	0	0.0254444	0.974556	0	0	0.00211111	0.997889	0	0	0.00566667	0.994333	0	0	0.00588889	0.994111	0	0	0.170778	0.829222	0	0	0.154222	0.845778	1	0	0.008	0.992	0	0	0.132222	0.867778	0	0	0.00166667	0.998333	0	0	0	1	0	0.000111111	0.999889	0	0	0.000111111	0.999889	0	0	0.000444444	0.999556	0	0	0.000555556	0.999444	0	0	0.000111111	0.999889	0	0	0.000888889	0.999111	0	1	0	0	0	0	0	0.971333	0.0286667	0	0	0.983222	0.0167778	0	0	0.999889	0.000111111	0	0	1	0	0	0	1	0	0	0	0.992667	0.00733333	0	0	0.997	0.003	0	0	1	0	0	0	0.942333	0.0576667	0	0	0.989444	0.0105556	0	0	0.999	0.001	0	0	1	0	0	0	0.819444	0.180556	0	0	1	0	0	0	0.324556	0.675444	0	0	0.841222	0.158778	0	0	1	0	0	0	0.995889	0.00411111	0	0	1	0	0	0	0.00833333	0.991667	0	0	0.984556	0.0154444	0	0	1	0	0	0	0.0362222	0.963778	0	0	0.0406667	0.959333	0	0	0.0351111	0.964889	0	0	0.0541111	0.945889	0	0	0.00611111	0.993889	0	0	0.0876667	0.912333	0	0	0.199333	0.800667	0	0	0.149889	0.850111	0	0	0.229444	0.770556	0	0	0.244111	0.755889	0	0	0.271778	0.728222	0	0	0.648667	0.351333	0	0	1	0	0	0.000111111	0.999889	0	0	0.000555556	0.999444	0	0	0.000555556	0.999444	0	0	0.0144444	0.985556	0	0	0.00222222	0.997778	0	0	0.263222	0.736778	0	1	0	0	0
