ID	n_rate	c_rate	0_0	0_1	0_2	0_3	1_0	1_1	1_2	1_3	2_0	2_1	2_2	2_3	3_0	3_1	3_2	3_3	4_0	4_1	4_2	4_3	5_0	5_1	5_2	5_3	6_0	6_1	6_2	6_3	7_0	7_1	7_2	7_3	8_0	8_1	8_2	8_3	9_0	9_1	9_2	9_3	10_0	10_1	10_2	10_3	11_0	11_1	11_2	11_3	12_0	12_1	12_2	12_3	13_0	13_1	13_2	13_3	14_0	14_1	14_2	14_3	15_0	15_1	15_2	15_3	16_0	16_1	16_2	16_3	17_0	17_1	17_2	17_3	18_0	18_1	18_2	18_3	19_0	19_1	19_2	19_3	20_0	20_1	20_2	20_3	21_0	21_1	21_2	21_3	22_0	22_1	22_2	22_3	23_0	23_1	23_2	23_3	24_0	24_1	24_2	24_3	25_0	25_1	25_2	25_3	26_0	26_1	26_2	26_3	27_0	27_1	27_2	27_3	28_0	28_1	28_2	28_3	29_0	29_1	29_2	29_3	30_0	30_1	30_2	30_3	31_0	31_1	31_2	31_3	32_0	32_1	32_2	32_3	33_0	33_1	33_2	33_3	34_0	34_1	34_2	34_3	35_0	35_1	35_2	35_3	36_0	36_1	36_2	36_3	37_0	37_1	37_2	37_3	38_0	38_1	38_2	38_3	39_0	39_1	39_2	39_3	40_0	40_1	40_2	40_3	41_0	41_1	41_2	41_3	42_0	42_1	42_2	42_3	43_0	43_1	43_2	43_3	44_0	44_1	44_2	44_3	45_0	45_1	45_2	45_3	46_0	46_1	46_2	46_3	47_0	47_1	47_2	47_3	48_0	48_1	48_2	48_3	49_0	49_1	49_2	49_3	50_0	50_1	50_2	50_3	51_0	51_1	51_2	51_3	52_0	52_1	52_2	52_3	53_0	53_1	53_2	53_3	54_0	54_1	54_2	54_3	55_0	55_1	55_2	55_3	56_0	56_1	56_2	56_3	57_0	57_1	57_2	57_3	58_0	58_1	58_2	58_3	59_0	59_1	59_2	59_3	60_0	60_1	60_2	60_3	61_0	61_1	61_2	61_3	62_0	62_1	62_2	62_3	63_0	63_1	63_2	63_3	64_0	64_1	64_2	64_3	65_0	65_1	65_2	65_3	66_0	66_1	66_2	66_3	67_0	67_1	67_2	67_3	68_0	68_1	68_2	68_3	69_0	69_1	69_2	69_3	70_0	70_1	70_2	70_3	71_0	71_1	71_2	71_3	72_0	72_1	72_2	72_3	73_0	73_1	73_2	73_3	74_0	74_1	74_2	74_3	75_0	75_1	75_2	75_3	76_0	76_1	76_2	76_3	77_0	77_1	77_2	77_3	78_0	78_1	78_2	78_3	79_0	79_1	79_2	79_3	80_0	80_1	80_2	80_3	81_0	81_1	81_2	81_3	82_0	82_1	82_2	82_3	83_0	83_1	83_2	83_3	84_0	84_1	84_2	84_3
307	1.32175	0.148345	0	0	0.997333	0.00266667	0	0	1	0	0	0	0.999667	0.000333333	0	0	0.999	0.001	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.989	0.011	0	0	0.951	0.049	0	0	1	0	0	0	0.999333	0.000666667	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.999	0.001	0	0	0.989	0.011	0	0	0.998	0.002	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0.999667	0.000333333	0	0	0.999333	0.000666667	0	0	0.999667	0.000333333	0	0	0	1	0	0	0.000333333	0.999667	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.999667	0.000333333	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.00366667	0.996333	0	0	0	1	0	0	0.123667	0.876333	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0
115	1.4326	0.166349	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.996667	0.00333333	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.994	0.006	0	0	0.996333	0.00366667	0	0	1	0	0	0	0.998333	0.00166667	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.999333	0.000666667	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.0253333	0.974667	0	0	0	1	0	0	0.14	0.86	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0
234	1.0168	0.370587	0	0	0.973	0.027	0	0	0.988	0.012	0	0	0.96	0.04	0	0	0.979667	0.0203333	0	0	0.998667	0.00133333	0	0	0.998	0.002	0	0	0.983667	0.0163333	0	0	0.991	0.009	0	0	0.987	0.013	0	0	0.966333	0.0336667	0	0	0.944333	0.0556667	0	0	0.962	0.038	0	0	0.925333	0.0746667	0	0	0.984	0.016	0	0	0.968333	0.0316667	0	0	0.995333	0.00466667	0	0	0.997333	0.00266667	0	0	0.987333	0.0126667	0	0	0.998667	0.00133333	0	0	0.999	0.001	0	0	0.993333	0.00666667	0	0	0.918667	0.0813333	0	0	0.997	0.003	0	0	0.059	0.941	0	0	0.06	0.94	0	0	0.0553333	0.944667	0	0	0.0176667	0.982333	0	0	0.01	0.99	0	0	0.017	0.983	0	0	0.0236667	0.976333	0	0	0.993333	0.00666667	0	0	0.961667	0.0383333	0	0	0.992	0.008	0	0	0.995	0.005	0	0	0.721	0.279	0	0	0.826	0.174	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.000666667	0.999333	0	0	0	0.995	0.005	0	0	0.996667	0.00333333	0	0	0.998667	0.00133333	0	0	1	0	0	0	1	0	0	0	0.998	0.002	0	0	0.999667	0.000333333	0	0	1	0	0	0	0.998	0.002	0	0	0.998667	0.00133333	0	0	0.999667	0.000333333	0	0	1	0	0	0	0.992333	0.00766667	0	0	1	0	0	0	0.999333	0.000666667	0	0	0.999333	0.000666667	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.999667	0.000333333	0	0	1	0	0	0	1	0	0	0	0.0653333	0.934667	0	0	0.0676667	0.932333	0	0	0.0196667	0.980333	0	0	0.074	0.926	0	0	0.024	0.976	0	0	0.180333	0.819667	0	0	0.996	0.004	0	0	0.996333	0.00366667	0	0	0.997667	0.00233333	0	0	0.997667	0.00233333	0	0	0.997667	0.00233333	0	0	0.998333	0.00166667	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0
261	1.88514	0.158079	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.998667	0.00133333	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.996667	0.00333333	0	0	0.984333	0.0156667	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.999667	0.000333333	0	0	1	0	0	0	1	0	0	0	0.000333333	0.999667	0	0	0.000333333	0.999667	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.999333	0.000666667	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.000333333	0.999667	0	0	0.000333333	0.999667	0	0	0	1	0	0	0.0226667	0.977333	0	0	0	1	0	0	0.148333	0.851667	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0
273	1.72363	0.0850906	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.996667	0.00333333	0	0	0.998667	0.00133333	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.00233333	0.997667	0	0	0	1	0	0	0.037	0.963	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0
25	1.23979	0.181768	0	0	0.999	0.001	0	0	1	0	0	0	0.998333	0.00166667	0	0	0.976333	0.0236667	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.993333	0.00666667	0	0	0.989	0.011	0	0	0.943667	0.0563333	0	0	0.999333	0.000666667	0	0	0.999	0.001	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.999667	0.000333333	0	0	1	0	0	0	0.999667	0.000333333	0	0	0.999667	0.000333333	0	0	0.999	0.001	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.999667	0.000333333	0	0	0.999667	0.000333333	0	0	0.999	0.001	0	0	1	0	0	0	0.005	0.995	0	0	0.003	0.997	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.019	0.981	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0
135	1.76565	0.0888281	0	0	0.999	0.001	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.997	0.003	0	0	0.999	0.001	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.0153333	0.984667	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0
0	1.30727	0.159136	0	0	1	0	0	0	1	0	0	0	0.999667	0.000333333	0	0	0.999	0.001	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.996667	0.00333333	0	0	1	0	0	0	0.913333	0.0866667	0	0	0.721333	0.278667	0	0	0.996333	0.00366667	0	0	0.994333	0.00566667	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.999667	0.000333333	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.174	0.826	0	0	0.177667	0.822333	0	0	0.999667	0.000333333	0	0	1	0	0	0	1	0	0	0	0.988667	0.0113333	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.983	0.017	0	0	0.999	0.001	0	0	0.999333	0.000666667	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.00333333	0.996667	0	0	0.184667	0.815333	0	0	0.276333	0.723667	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0
296	1.29914	0.116653	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.909667	0.0903333	0	0	0.995	0.005	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.999	0.001	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.007	0.993	0	0	0.00666667	0.993333	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0.997667	0.00233333	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.999	0.001	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0.00766667	0.992333	0	0	0.01	0.99	0	0	0	1	0	0	0.072	0.928	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0
189	1.22565	0.13797	0	0	1	0	0	0	0.999667	0.000333333	0	0	0.984	0.016	0	0	0.994667	0.00533333	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.999333	0.000666667	0	0	0.987333	0.0126667	0	0	0.945667	0.0543333	0	0	0.999667	0.000333333	0	0	0.999667	0.000333333	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.996333	0.00366667	0	0	0.998667	0.00133333	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.996667	0.00333333	0	0	0.999667	0.000333333	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0.000666667	0.999333	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.00466667	0.995333	0	0	0	1	0	0	0.103333	0.896667	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0
