V1	V2	V3	V4	V5	V6	V7
1	0.847	0.775	0.987	0.824	0.177	0.777	0.897
2	0.786	0.646	0.712	0.939	0.867	0.563	0.756
3	0.935	0.739	0.751	0.909	0.115	0.875	0.713
4	0.698	0.923	0.508	0.456	0.003	0.9	0.668
5	0.588	0.72	0.558	0.898	0.866	0.59	0.886
6	0.702	0.6	0.394	0.53	0.606	0.834	0.968
7	0.62	0.788	0.054	0.91	0.03	0.934	0.265
8	0.765	0.825	0.281	0.616	0.104	0.259	0.734
9	0.706	0.507	0.671	0.801	0.944	0.783	0.677
10	0.947	0.944	0.65	0.872	0.284	0.674	0.976
11	0.918	0.988	0.063	0.09	0.002	0.672	0.288
12	0.748	0.803	0.849	0.896	0.467	0.893	0.874
13	0.577	0.97	0.948	0.882	0.458	0.797	0.954
14	0.788	0.62	0.035	0.67	0.611	0.988	0.645
15	0.928	0.814	0.144	0.497	0.177	0.964	0.523
16	0.591	0.993	0.561	0.525	0.686	0.866	0.846
17	0.579	0.542	0.012	0.913	0.727	0.325	0.827
18	0.834	0.666	0.903	0.068	0.001	0.761	0.485
19	0.562	0.54	0.384	0.001	0.102	0.443	0.644
20	0.75	0.914	0.02	0.001	0.001	0.681	0.209
21	0.964	0.949	0.038	0.183	0.045	0.032	0.599
22	0.634	0.859	0.004	0.184	0.013	0.662	0.487
23	0.622	0.675	0.695	0.931	0.704	0.889	0.783
24	0.43	0.724	0.959	0.82	0.555	0.996	0.88
25	0.428	0.662	0.215	0.429	0.573	0.77	0.056
26	0.111	0.698	0.838	0.817	0.59	0.446	0.94
27	0.318	0.669	0.27	0.522	0.077	0.208	0.582
28	0.269	0.013	0.001	0.001	0.001	0.334	0.458
29	0.68	0.898	0.07	0.055	0.001	0.142	0.524
30	0.701	0.462	0.919	0.34	0.094	0.56	0.585
31	0.543	0.756	0.567	0.731	0.508	0.937	0.917
32	0.994	0.806	0.001	0.486	0.005	0.397	0.641
33	0.529	0.782	0.316	0.029	0.001	0.291	0.361
34	0.659	0.799	0.025	0.084	0.135	0.677	0.615
35	0.445	0.894	0.001	0.001	0.001	0.811	0.404
36	0.691	0.46	0.093	0.372	0.13	0.01	0.36
37	0.688	0.909	0.005	0.007	0.425	0.414	0.442
38	0.722	0.863	0.001	0.193	0.053	0.355	0.011
39	0.421	0.725	0.16	0.083	0.001	0.281	0.276
40	0.945	0.79	0.064	0.641	0.058	0.871	0.745
41	0.665	0.763	0.586	0.004	0.001	0.397	0.152
42	0.764	0.521	0.831	0.798	0.63	0.962	0.905
43	0.744	0.589	0.002	0.001	0.032	0.013	0.614
44	0.743	0.693	0.316	0.804	0.728	0.856	0.612
45	0.723	0.929	0.311	0.031	0.003	0.46	0.998
46	0.527	0.724	0.592	0.52	0.594	0.593	0.756
47	0.754	0.721	0.528	0.246	0.229	0.832	0.938
48	0.35	0.696	0.351	0.882	0.329	0.398	0.709
49	0.597	0.804	0.813	0.749	0.966	0.851	0.761
50	0.792	0.905	0.088	0.193	0.001	0.765	0.342
51	0.517	0.487	0.164	0.005	0.238	0.52	0.704
52	0.634	0.723	0.843	0.88	0.479	0.352	0.894
53	0.693	0.542	0.029	0.977	0.195	0.73	0.761
54	0.727	0.482	0.811	0.926	0.512	0.803	0.864
55	0.471	0.747	0.074	0.001	0.211	0.498	0.726
56	0.731	0.657	0.001	0.001	0.041	0.153	0.345
57	0.987	0.834	0.031	0.801	0.508	0.369	0.668
58	0.23	0.911	0.448	0.091	0.001	0.544	0.742
59	0.733	0.924	0.055	0.005	0.001	0.278	0.216
60	0.761	0.121	0.981	0.527	0.052	0.383	0.748
61	0.415	0.988	0.175	0.909	0.276	0.793	0.784
62	0.831	0.566	0.553	0.914	0.47	0.554	0.862
63	0.684	0.775	0.168	0.041	0.469	0.293	0.892
64	0.66	0.633	0.202	0.804	0.039	0.496	0.91
65	0.711	0.961	0.281	0.311	0.001	0.864	0.664
66	0.246	0.712	0.156	0.546	0.195	0.595	0.714
67	0.178	0.813	0.677	0.041	0.357	0.457	1
68	0.686	0.707	0.114	0.603	0.084	0.692	0.643
69	0.68	0.649	0.593	0.793	0.857	0.531	0.529
70	0.671	0.925	0.001	0.145	0.327	0.72	0.758
71	0.401	0.862	0.293	0.659	0.001	0.354	0.599
72	0.687	0.74	0.925	0.502	0.534	0.955	0.673
73	0.684	0.819	0.016	0.145	0.021	0.232	0.533
74	0.613	0.979	0.902	0.762	0.833	0.596	0.914
75	0.602	0.594	0.796	0.91	0.807	0.936	0.906
76	0.73	0.715	0.252	0.735	0.034	1	0.858
77	0.904	0.753	0.92	0.879	0.398	0.554	0.999
78	0.558	0.815	0.559	0.727	0.695	0.981	0.942
79	0.468	0.89	0.431	0.114	0.312	0.901	0.916
80	0.532	0.742	0.589	0.041	0.122	0.673	0.163
81	0.487	0.688	0.904	0.883	0.26	0.932	0.959
82	0.592	0.514	0.921	0.945	0.774	0.935	0.84
83	0.681	0.568	0.338	0.007	0.208	0.188	0.34
84	0.741	0.641	0.911	0.941	0.914	0.968	0.981
85	0.775	0.92	0.506	0.99	0.176	0.724	0.885
86	0.874	0.998	0.111	0.269	0.001	0.255	0.298
87	0.21	0.999	0.001	0.15	0.001	0.272	0.271
88	0.466	0.699	0.008	0.207	0.182	0.06	0.316
89	0.605	0.83	0.783	0.717	0.162	0.375	0.673
90	0.738	0.867	0.54	0.786	0.003	0.453	0.768
91	0.622	0.746	0.719	0.121	0.131	0.121	0.636
92	0.763	0.708	0.776	0.935	0.687	0.595	0.795
93	0.764	0.633	0.257	0.621	0.394	0.391	0.672
94	0.679	0.746	0.862	0.991	0.979	0.865	0.958
95	0.506	0.972	0.023	0.917	0.001	0.805	0.816
96	0.74	0.55	0.885	0.96	0.923	0.803	0.783
97	0.922	0.869	0.107	0.008	0.19	0.212	0.988
98	0.831	0.602	0.837	0.635	0.014	0.888	0.767
99	0.725	0.891	0.563	0.001	0.214	0.659	0.059
100	0.862	0.656	0.466	0.403	0.074	0.252	0.513
101	0.619	0.815	0.003	0.011	0.058	0.027	0.591
102	0.621	0.827	0.526	0.645	0.012	0.368	0.882
103	0.731	0.577	0.196	0.717	0.001	0.501	0.747
104	0.709	0.881	0.289	0.1	0.054	0.252	0.025
105	0.614	0.799	0.002	0.022	0.001	0.684	0.139
106	0.364	0.724	0.569	0.015	0.305	0.132	0.737
107	0.698	0.86	0.941	0.709	0.369	0.346	0.95
108	0.531	0.621	0.523	0.935	0.368	0.737	0.693
109	0.628	0.999	0.619	0.67	0.155	0.113	0.705
110	0.844	0.69	0.9	0.382	0.669	0.815	0.863
111	0.93	0.874	0.511	0.293	0.436	0.51	0.796
112	0.409	0.667	0.473	0.784	0.658	0.876	0.676
113	0.492	0.754	0.003	0.67	0.507	0.616	0.504
114	0.723	0.932	0.941	0.83	0.81	0.903	0.846
115	0.575	0.659	0.811	0.861	0.323	0.909	0.792
116	0.657	0.606	0.25	0.646	0.427	0.969	0.941
117	0.743	0.667	0.946	0.838	0.937	0.905	0.772
118	0.719	0.838	0.933	0.949	0.602	0.979	0.708
119	0.539	0.885	0.863	0.641	0.499	0.95	0.849
120	0.584	0.847	0.069	0.062	0.042	0.135	0.47
121	0.805	0.917	0.455	0.02	0.103	0.272	0.536
122	0.755	0.901	0.392	0.099	0.275	0.172	0.607
123	0.567	0.919	0.771	0.719	0.243	0.578	0.821
124	0.774	0.791	0.127	0.72	0.404	0.484	0.619
125	0.592	0.869	0.051	0.027	0.001	0.046	0.111
126	0.812	0.72	0.661	0.061	0.045	0.165	0.882
127	0.751	0.787	0.003	0.005	0.001	0.104	0.619
128	0.832	0.534	0.917	0.828	0.685	0.839	0.374
129	0.752	0.633	0.044	0.621	0.028	0.37	0.472
130	0.794	0.694	0.044	0.74	0.096	0.751	0.821
131	0.366	0.642	0.716	0.426	0.877	0.9	0.809
132	0.579	0.702	0.17	0.328	0.092	0.901	0.575
133	0.681	0.275	0.002	0.001	0.001	0.408	0.93
134	0.866	0.791	0.038	0.002	0.001	0.465	0.194
135	0.641	0.956	0.434	0.892	0.293	0.473	0.938
136	0.186	0.854	0.001	0.001	0.004	0.328	0.761
137	0.606	0.642	0.753	0.916	0.479	0.089	0.784
138	0.089	0.962	0.161	0.004	0.005	0.518	0.975
139	0.774	0.83	0.003	0.005	0.016	0.858	0.925
