No.	ID	loglik_NUll	loglik_RES	loglik_all	log_ratio	loglik_Max1	loglik_Max2	loglik_Max3
0	0	-2296.5362	-2296.6037	-2306.185	-0.067525334	-2293.044	-2304.0668	-2294.1956
1	1	-2795.2393	-2795.9265	-2804.6226	-0.68719354	-2792.0226	-2801.781	-2793.1778
2	2	-1595.2309	-1595.7572	-1607.1401	-0.52632954	-1591.4857	-1603.9794	-1592.6406
3	3	-2259.0489	-2259.6511	-2271.1686	-0.60229779	-2255.5576	-2268.0518	-2256.7133
4	4	-2654.3018	-2655.0335	-2666.3833	-0.73168418	-2650.9571	-2661.3499	-2652.1121
5	5	-2190.0077	-2190.7193	-2200.9896	-0.71158593	-2186.4663	-2197.8032	-2187.6216
6	6	-1299.6678	-1300.401	-1311.6411	-0.73321401	-1295.7615	-1308.2552	-1296.9169
7	7	-1455.7784	-1456.289	-1467.9158	-0.51057522	-1452.2297	-1464.7233	-1453.3858
8	8	-4176.2696	-4176.9738	-4194.2247	-0.70413623	-4174.0564	-4179.8656	-4175.2143
9	9	-1662.1368	-1662.6229	-1674.3487	-0.486117	-1658.4091	-1670.9028	-1659.5644
10	10	-1676.9189	-1677.4413	-1688.9183	-0.52234999	-1673.2084	-1685.7019	-1674.3634
11	11	-2768.0577	-2768.7884	-2778.9068	-0.73077158	-2764.6984	-2775.0602	-2765.8534
12	12	-2429.6966	-2430.4152	-2440.7764	-0.71859211	-2426.2583	-2435.0863	-2427.4136
13	13	-2176.9861	-2177.7257	-2189.1437	-0.73961751	-2173.4909	-2185.9844	-2174.6461
14	14	-1782.0842	-1782.6158	-1794.2489	-0.53156668	-1778.4037	-1790.737	-1779.559
15	15	-1822.1876	-1822.9116	-1834.5194	-0.72401125	-1818.6959	-1831.1895	-1819.8513
16	16	-2233.7579	-2234.5015	-2245.5686	-0.74362749	-2230.2686	-2242.762	-2231.4236
17	17	-1670.4671	-1671.1999	-1682.6589	-0.73272273	-1666.7654	-1679.2592	-1667.9209
18	18	-1395.4773	-1396.2209	-1406.2258	-0.74361885	-1391.6456	-1402.9202	-1392.8007
19	19	-1111.4027	-1112.1295	-1123.4203	-0.72678871	-1107.3507	-1119.8448	-1108.5056
20	20	-1346.0691	-1346.5246	-1357.9305	-0.45543867	-1342.1754	-1354.669	-1343.3303
21	21	-2239.9685	-2240.5584	-2252.0462	-0.58985313	-2236.4514	-2248.9494	-2237.6063
22	22	-2094.3282	-2095.0689	-2106.2775	-0.74069306	-2090.9848	-2103.4784	-2092.1397
23	23	-2028.0289	-2028.7295	-2039.4022	-0.70058629	-2024.6144	-2036.3188	-2025.7699
24	24	-2062.842	-2063.4269	-2074.6164	-0.58484823	-2059.2715	-2070.5996	-2060.4264
25	25	-1935.4507	-1936.1743	-1947.4972	-0.7235531	-1931.8648	-1944.18	-1933.0198
26	26	-1814.6429	-1815.3666	-1826.7559	-0.72372231	-1810.9471	-1823.4406	-1812.1022
27	27	-892.21436	-892.9173	-904.42097	-0.70294358	-887.98831	-900.48197	-889.1432
28	28	-1427.2029	-1427.8938	-1438.734	-0.69090623	-1423.3316	-1434.6053	-1424.4869
29	29	-1745.2482	-1745.7992	-1757.3648	-0.5509562	-1741.5741	-1754.0676	-1742.7313
30	30	-2455.855	-2456.5842	-2467.9152	-0.7292782	-2452.4249	-2464.919	-2453.5803
31	31	-1023.3352	-1023.778	-1035.2885	-0.44278493	-1019.268	-1031.7613	-1020.4236
32	32	-2068.574	-2069.2957	-2080.412	-0.72169439	-2065.007	-2077.5018	-2066.1619
33	33	-1783.9985	-1784.7489	-1793.012	-0.75037079	-1780.346	-1789.4966	-1781.2514
34	34	-1245.2148	-1245.92	-1256.4686	-0.70520884	-1241.3024	-1252.9664	-1242.4576
35	35	-1740.4361	-1741.1478	-1752.1176	-0.71172346	-1736.775	-1747.9277	-1737.9302
36	36	-1486.2577	-1486.8812	-1498.4322	-0.62352297	-1482.4899	-1494.9838	-1483.6452
37	37	-1576.396	-1576.9494	-1588.5067	-0.55332518	-1572.8547	-1584.904	-1574.0106
38	38	-1437.8908	-1438.5936	-1450.0321	-0.70287362	-1434.0595	-1445.3655	-1435.2147
39	39	-1529.0104	-1528.103	-1539.6604	0.90735528	-1525.2314	-1535.7332	-1524.4062
40	40	-1707.7074	-1708.4061	-1719.6756	-0.69873057	-1704.2329	-1716.3148	-1705.3878
41	41	-1812.0695	-1811.6069	-1822.5054	0.46251748	-1808.387	-1819.7441	-1808.6587
42	42	-1093.2955	-1094.0024	-1105.3914	-0.7069223	-1089.2439	-1101.7372	-1090.3988
43	43	-1798.2315	-1798.9547	-1810.3537	-0.72313687	-1794.5943	-1807.088	-1795.7495
44	44	-1499.1234	-1499.8853	-1511.266	-0.76187345	-1495.3119	-1507.8054	-1496.4667
45	45	-2221.3457	-2222.0701	-2233.5417	-0.72435598	-2217.9958	-2228.5713	-2219.1515
46	46	-2122.9455	-2123.6996	-2133.9498	-0.75406412	-2119.677	-2130.643	-2120.8319
47	47	-2148.7275	-2149.323	-2160.9779	-0.59557121	-2145.4027	-2157.8971	-2146.5579
48	48	-2249.788	-2250.4678	-2261.5986	-0.67970642	-2246.2835	-2258.7805	-2247.4383
