No.	ID	loglik_NUll	loglik_RES	loglik_all	log_ratio	loglik_Max1	loglik_Max2	loglik_Max3
0	0	-2256.5866	-2233.1574	-2239.2298	23.429168	-2252.6409	-2224.044	-2225.6554
1	1	-2864.7265	-2853.0409	-2858.7264	11.685631	-2860.9806	-2840.7941	-2845.7125
2	2	-1617.3545	-1619.153	-1622.0161	-1.7985646	-1612.7515	-1611.1849	-1612.5714
3	3	-2400.6317	-2385.1779	-2391.2463	15.453747	-2396.7363	-2374.7956	-2377.6522
4	4	-2744.3636	-2728.5216	-2734.5963	15.84202	-2740.5683	-2721.0914	-2721.1935
5	5	-2162.2397	-2148.2407	-2154.2874	13.998929	-2158.2627	-2140.022	-2140.6279
6	6	-1458.4443	-1434.9004	-1440.9426	23.543826	-1454.1423	-1426.3008	-1426.9431
7	7	-1499.2641	-1481.4278	-1487.5127	17.836292	-1495.0196	-1471.608	-1473.4048
8	8	-4270.8042	-4272.1912	-4275.6552	-1.3869817	-4267.2412	-4261.2708	-4265.4641
9	9	-1717.8803	-1702.8531	-1708.9149	15.027259	-1713.7182	-1692.7174	-1694.9644
10	10	-1897.4608	-1890.0562	-1895.7317	7.4046724	-1893.3782	-1872.4801	-1882.3476
11	11	-2940.6883	-2934.5577	-2940.2905	6.1306014	-2936.9439	-2923.7048	-2927.1674
12	12	-2531.623	-2524.8722	-2531.879	6.7507965	-2527.7484	-2513.6196	-2516.9768
13	13	-2293.4294	-2280.2642	-2286.2975	13.165244	-2288.3374	-2269.3357	-2271.1458
14	14	-1668.6181	-1661.6791	-1667.7489	6.9389799	-1664.4381	-1652.9861	-1653.6763
15	15	-2041.4076	-2035.5	-2041.7415	5.9075623	-2037.3864	-2027.426	-2027.8442
16	16	-2119.6391	-2117.6756	-2123.4003	1.9634695	-2115.6619	-2109.3715	-2109.8075
17	17	-1733.4804	-1706.9156	-1712.9748	26.564743	-1729.3303	-1699.1587	-1699.1577
18	18	-1663.7239	-1640.9449	-1647.0222	22.779008	-1659.5313	-1631.2317	-1633.1084
19	19	-1387.6119	-1328.8776	-1334.9208	58.734306	-1383.2849	-1320.5256	-1321.0497
20	20	-1347.985	-1334.7659	-1340.9349	13.219119	-1343.2817	-1324.7571	-1325.751
21	21	-2326.5522	-2294.386	-2300.4326	32.166249	-2307.4208	-2287.11	-2287.1103
22	22	-2178.0339	-2179.123	-2182.6899	-1.0890607	-2174.0886	-2167.9805	-2171.5095
23	23	-1965.6523	-1962.6039	-1968.6647	3.0483209	-1961.6026	-1948.4962	-1954.701
24	24	-2138.6447	-2122.3431	-2128.4306	16.301618	-2134.3682	-2113.8606	-2114.0574
25	25	-2032.7961	-2026.7795	-2032.8365	6.0166196	-2028.7937	-2016.865	-2019.0153
26	26	-2034.4664	-2021.0385	-2027.1235	13.427903	-2030.4498	-2012.3639	-2013.334
27	27	-1106.6711	-1055.669	-1061.7252	51.002025	-1102.1801	-1047.5608	-1047.5612
28	28	-1735.817	-1713.7971	-1719.8566	22.019922	-1731.651	-1703.5185	-1705.9873
29	29	-1854.9638	-1845.8485	-1851.9597	9.1152592	-1850.6094	-1835.5703	-1837.3491
30	30	-2436.1145	-2422.6804	-2429.4128	13.434128	-2432.2634	-2411.6982	-2414.7609
31	31	-1116.5296	-1097.4135	-1103.4641	19.116062	-1112.0433	-1087.9116	-1089.1206
32	32	-2264.448	-2247.0086	-2253.1316	17.439331	-2259.1732	-2233.8898	-2237.7814
33	33	-1819.132	-1784.4191	-1790.5007	34.712928	-1815.0216	-1776.775	-1776.7705
34	34	-1471.9336	-1420.3699	-1426.439	51.56369	-1453.0382	-1412.613	-1412.6134
35	35	-1656.7362	-1630.2278	-1639.2678	26.508357	-1652.5425	-1618.6125	-1621.4546
36	36	-1622.4846	-1606.3253	-1612.4035	16.15936	-1618.2846	-1597.8637	-1598.4252
37	37	-1502.9579	-1476.9596	-1483.0592	25.998238	-1498.682	-1468.8361	-1469.0768
38	38	-1482.397	-1470.882	-1476.9845	11.514978	-1478.105	-1461.3215	-1462.8348
39	39	-1691.7135	-1684.5346	-1690.8884	7.1788821	-1687.5395	-1673.437	-1676.6562
40	40	-1804.397	-1776.7857	-1782.832	27.611269	-1800.2735	-1768.388	-1769.0477
41	41	-1837.5774	-1830.2476	-1836.3223	7.329817	-1833.4875	-1819.6014	-1822.355
42	42	-1174.3437	-1166.6317	-1172.6904	7.7120007	-1169.9248	-1158.2758	-1158.2886
43	43	-1890.7878	-1881.7536	-1887.9062	9.0341293	-1886.2289	-1873.1307	-1873.1312
44	44	-1656.3972	-1630.8182	-1636.8726	25.578939	-1652.1743	-1622.4517	-1622.9482
45	45	-2483.2246	-2443.0701	-2449.1329	40.154525	-2479.3477	-2434.7551	-2435.8089
46	46	-2352.2126	-2321.1753	-2327.2442	31.037272	-2348.2993	-2308.922	-2313.4881
47	47	-2284.3916	-2263.7542	-2269.832	20.637366	-2280.4418	-2254.6005	-2256.2762
48	48	-2430.3737	-2428.1692	-2433.6812	2.2045273	-2426.5035	-2420.2209	-2421.0564
49	49	-1690.5698	-1651.6709	-1657.6083	38.898848	-1686.3477	-1640.4959	-1643.9645
50	50	-1875.0727	-1850.4406	-1856.5156	24.632097	-1871.0082	-1842.3282	-1842.7994
51	51	-2655.3617	-2640.7214	-2648.531	14.640362	-2650.8661	-2630.0236	-2631.1191
52	52	-1964.6681	-1965.0754	-1969.3362	-0.40730534	-1960.6451	-1956.9127	-1957.2448
