No.	ID	loglik_NUll	loglik_RES	loglik_all	log_ratio	loglik_Max1	loglik_Max2	loglik_Max3
0	0	-967.19796	-968.50361	-974.1691	-1.3056533	-963.89578	-971.78711	-965.896
1	1	-1401.802	-1402.6795	-1408.6361	-0.8774662	-1398.8265	-1406.6771	-1400.7839
2	2	-842.3343	-843.92921	-849.81736	-1.5949051	-838.89626	-846.78726	-840.89447
3	3	-1342.4607	-1344.0591	-1350.0432	-1.5983954	-1339.4329	-1347.3229	-1341.4303
4	4	-867.8659	-869.44238	-875.36902	-1.5764839	-864.4778	-872.36757	-866.47548
5	5	-705.07171	-706.631	-712.60114	-1.5592828	-701.52735	-709.41832	-703.5249
6	6	-1248.638	-1250.0653	-1256.0906	-1.427293	-1245.5791	-1253.4704	-1247.5772
7	7	-1071.9617	-1073.2203	-1079.18	-1.2585957	-1068.7736	-1076.6652	-1070.7726
8	8	-1431.5267	-1432.7539	-1438.7312	-1.2272535	-1428.5418	-1436.3036	-1430.541
9	9	-1158.7353	-1160.339	-1166.3079	-1.6037061	-1155.618	-1163.5082	-1157.6157
10	10	-1350.5317	-1352.0815	-1358.0448	-1.549794	-1347.5264	-1355.4182	-1349.524
11	11	-1030.3749	-1031.75	-1037.688	-1.3751019	-1027.1373	-1035.0275	-1029.1347
12	12	-937.37268	-938.69049	-944.8382	-1.3178104	-934.0468	-941.93738	-936.04438
13	13	-660.37447	-661.9343	-667.8822	-1.5598263	-656.73167	-664.62301	-658.72907
14	14	-881.60331	-883.18833	-889.13123	-1.5850196	-878.195	-886.08501	-880.19257
15	15	-927.10523	-928.67573	-934.65856	-1.5705051	-923.8001	-931.6904	-925.79807
16	16	-661.20955	-662.48273	-668.41876	-1.2731741	-657.59406	-665.4842	-659.59188
17	17	-796.20396	-797.78544	-803.73472	-1.5814723	-792.74894	-800.63909	-794.74683
18	18	-431.56987	-433.11164	-439.05867	-1.5417697	-427.47048	-435.36088	-429.46821
19	19	-907.57432	-908.86315	-914.80879	-1.2888318	-904.22126	-912.11174	-906.22015
20	20	-1787.7026	-1789.1441	-1794.502	-1.44152	-1784.9223	-1792.6332	-1786.9203
21	21	-819.90807	-821.47886	-827.37589	-1.5707911	-816.46493	-824.07976	-817.92436
22	22	-907.70387	-908.90467	-914.8856	-1.2007914	-904.34917	-912.23963	-906.34761
23	23	-1608.6496	-1609.7832	-1615.6081	-1.1336842	-1605.7152	-1613.6069	-1607.7129
24	24	-1411.5783	-1412.9891	-1415.5699	-1.4108013	-1408.6012	-1413.9593	-1410.5995
25	25	-678.16099	-679.72059	-685.67219	-1.5596017	-674.57543	-682.46758	-676.57287
26	26	-822.37919	-823.20908	-829.12919	-0.82989169	-818.91623	-826.53732	-820.68261
27	27	-1209.7807	-1211.3449	-1217.3	-1.5642165	-1206.675	-1214.5652	-1208.6723
28	28	-1590.9921	-1592.2735	-1598.4271	-1.2813322	-1588.1299	-1595.2645	-1590.1275
29	29	-1843.414	-1844.6856	-1850.8831	-1.271589	-1840.5834	-1848.4733	-1842.5831
30	30	-1499.5041	-1501.0694	-1507.0025	-1.5652733	-1496.5743	-1504.4648	-1498.5728
31	31	-1061.9203	-1063.326	-1069.2805	-1.4057518	-1058.7082	-1066.5983	-1060.7065
32	32	-1434.6073	-1435.4172	-1441.345	-0.80993441	-1431.6457	-1439.3067	-1433.4266
33	33	-1409.4163	-1410.146	-1416.2719	-0.72965964	-1406.4412	-1413.9276	-1408.0944
34	34	-955.65561	-957.20833	-963.17546	-1.5527206	-952.36012	-960.25066	-954.35766
35	35	-993.26704	-994.85792	-1000.8005	-1.5908789	-989.9962	-997.8879	-991.99394
36	36	-1147.2422	-1148.8285	-1154.7024	-1.5863345	-1144.0996	-1151.9905	-1146.0972
37	37	-906.65625	-907.72781	-913.68122	-1.071558	-903.30629	-911.19778	-905.30362
38	38	-1120.9583	-1122.356	-1128.3324	-1.3977632	-1117.7972	-1125.6871	-1119.7946
39	39	-961.8826	-963.25532	-969.19367	-1.3727257	-958.56068	-966.45086	-960.5582
40	40	-1090.2554	-1091.6727	-1097.7826	-1.4172733	-1087.0616	-1094.9522	-1089.0591
41	41	-1014.1892	-1014.4335	-1020.4248	-0.2443606	-1010.9338	-1017.5019	-1011.5918
42	42	-1291.5657	-1293.1066	-1299.1072	-1.5409062	-1288.4869	-1296.3383	-1290.4801
43	43	-775.0158	-776.57214	-782.52612	-1.5563411	-771.5607	-779.45096	-773.55848
44	44	-1081.5935	-1082.641	-1088.5278	-1.0475517	-1078.37	-1086.2599	-1080.2149
45	45	-901.01635	-902.60567	-908.2277	-1.589322	-897.65955	-905.54994	-899.65733
46	46	-975.92226	-977.21413	-982.07181	-1.2918706	-972.65281	-979.46456	-974.65112
47	47	-1611.5043	-1613.0486	-1619.4972	-1.5442802	-1609.156	-1617.0478	-1611.154
48	48	-1343.5393	-1345.1095	-1351.0284	-1.5701582	-1340.4938	-1348.3841	-1342.4913
49	49	-1344.5987	-1345.98	-1352.1403	-1.3812374	-1341.5624	-1349.4569	-1343.5602
50	50	-605.36326	-606.58101	-612.51331	-1.2177509	-601.65855	-609.54863	-603.65623
51	51	-1248.1738	-1249.3191	-1255.2509	-1.1453642	-1245.0671	-1252.9576	-1247.066
52	52	-1355.6455	-1357.1854	-1363.0967	-1.5399005	-1352.6003	-1360.4909	-1354.5977
53	53	-1303.3262	-1304.2386	-1310.2048	-0.91241922	-1300.2626	-1308.1012	-1302.2075
54	54	-1094.3297	-1095.6712	-1101.6377	-1.3414468	-1091.1597	-1099.0533	-1093.1571
55	55	-1228.0452	-1229.6122	-1235.531	-1.5669861	-1224.9508	-1232.8413	-1226.9487
56	56	-1187.9171	-1189.482	-1192.0751	-1.5648989	-1184.8159	-1188.7237	-1186.8136
57	57	-968.95722	-970.03969	-975.96814	-1.0824758	-965.66306	-972.1929	-966.38861
58	58	-1468.482	-1470.0388	-1475.9319	-1.5568309	-1465.5064	-1473.3963	-1467.504
59	59	-1075.2607	-1076.599	-1082.5287	-1.3383668	-1072.0653	-1079.9552	-1074.0635
60	60	-1031.7167	-1033.0594	-1038.4047	-1.3427148	-1028.4804	-1034.8584	-1030.4791
61	61	-597.24491	-598.81707	-604.74355	-1.5721551	-593.47822	-601.36814	-595.47557
62	62	-1548.4669	-1550.0623	-1556.075	-1.595442	-1545.544	-1553.4345	-1547.5419
63	63	-966.23505	-966.4379	-972.39699	-0.20285229	-962.94009	-969.93372	-964.04726
64	64	-897.55231	-899.11236	-905.05327	-1.5600458	-894.20147	-902.09301	-896.19962
65	65	-1457.1865	-1458.7703	-1464.7389	-1.5838083	-1454.2157	-1462.107	-1456.2134
66	66	-1016.7347	-1018.3114	-1020.8881	-1.5766641	-1013.4746	-1017.2905	-1015.4722
67	67	-839.03811	-840.57714	-846.50421	-1.5390218	-835.61588	-843.44213	-837.6136
68	68	-1101.6527	-1102.7935	-1108.9047	-1.1408718	-1098.4484	-1106.3383	-1100.446
69	69	-788.52299	-790.08102	-796.00152	-1.5580285	-785.05538	-792.9464	-787.05363
70	70	-1173.9323	-1175.3811	-1181.2619	-1.4487751	-1170.7926	-1178.6825	-1172.7902
71	71	-962.84825	-964.24034	-970.16982	-1.3920902	-959.58061	-967.47063	-961.57798
72	72	-765.68211	-767.25692	-773.21024	-1.5748039	-762.19863	-770.08857	-764.19596
73	73	-963.92452	-965.25849	-971.22458	-1.3339734	-960.6234	-968.51459	-962.62082
74	74	-1047.6677	-1048.0431	-1054.0063	-0.37539366	-1044.434	-1051.1613	-1045.2695
75	75	-784.54881	-786.13772	-792.06539	-1.5889056	-781.07386	-788.96516	-783.07123
76	76	-1066.0584	-1067.2124	-1073.1843	-1.1539609	-1062.8435	-1070.7333	-1064.841
77	77	-1050.956	-1052.3184	-1058.23	-1.3623427	-1047.7334	-1054.9117	-1049.7311
78	78	-834.92689	-836.20153	-842.15691	-1.2746363	-831.5179	-839.40806	-833.51535
