No.	ID	loglik_NUll	loglik_RES	loglik_all	log_ratio	loglik_Max1	loglik_Max2	loglik_Max3
0	0	-2411.3335	-2414.0565	-2174.5396	-2.7229689	-2407.4178	-2148.4112	-2407.8353
1	1	-2600.2819	-2602.2532	-2550.3159	-1.9713808	-2596.4117	-2519.2403	-2593.2138
2	2	-2524.4743	-2527.2178	-2359.6986	-2.7435514	-2520.5981	-2333.6519	-2521.016
3	3	-3690.78	-3693.4985	-3631.8038	-2.7184844	-3687.2101	-3605.5462	-3686.9714
4	4	-2860.1951	-2862.9289	-2736.1078	-2.733844	-2856.4185	-2710.1617	-2856.836
5	5	-3563.3056	-3566.0441	-3481.7287	-2.7384397	-3559.6783	-3454.2046	-3558.887
6	6	-2458.2557	-2461.0083	-2259.0289	-2.7525965	-2454.3672	-2232.9206	-2454.7857
7	7	-2956.1622	-2958.9135	-2905.3993	-2.7513665	-2952.4413	-2877.8809	-2952.0856
8	8	-3613.273	-3616.0392	-3479.5632	-2.7662479	-3577.9851	-3454.1337	-3578.4052
9	9	-3031.2926	-3033.9376	-2897.7428	-2.6450348	-3027.5454	-2870.9507	-3027.0675
10	10	-3773.1292	-3775.8711	-3684.8364	-2.7419091	-3769.5549	-3658.2225	-3769.418
11	11	-3102.5477	-3105.2866	-2979.876	-2.7389566	-3098.8049	-2953.2438	-3098.4995
12	12	-3160.9935	-3163.6997	-3038.1817	-2.70616	-3157.2678	-3010.0835	-3155.9902
13	13	-3747.5833	-3749.9746	-3668.9245	-2.3913375	-3743.991	-3641.2079	-3741.9757
14	14	-2549.6642	-2552.3771	-2339.483	-2.7129195	-2545.7784	-2313.4727	-2546.1958
15	15	-3105.5449	-3108.2843	-3065.0253	-2.7394121	-3101.8322	-3039.1522	-3102.25
16	16	-3185.6601	-3188.1951	-2996.4871	-2.5350003	-3149.3554	-2970.8441	-3149.7744
17	17	-3177.5785	-3180.2965	-3028.1856	-2.7179972	-3173.8704	-3002.4731	-3174.2885
18	18	-3176.9729	-3179.1051	-3035.2784	-2.1321801	-3173.2536	-3007.4937	-3171.1267
19	19	-2204.6042	-2207.363	-2068.3373	-2.7587825	-2200.6093	-2042.0734	-2201.0268
20	20	-4352.2027	-4354.9558	-4319.1984	-2.7531094	-4348.7846	-4292.5468	-4347.7014
21	21	-2458.2244	-2460.9653	-2265.0044	-2.7409572	-2454.3215	-2238.9119	-2454.7391
22	22	-2875.9345	-2878.6773	-2785.1187	-2.7427484	-2872.1842	-2756.4802	-2870.4564
23	23	-3371.7888	-3374.4835	-3328.305	-2.6947271	-3368.1232	-3305.3223	-3368.5409
24	24	-1727.2878	-1730.6375	-1589.576	-3.3496569	-1723.0588	-1562.1234	-1723.4769
25	25	-3339.6111	-3342.3424	-3247.1788	-2.7312666	-3335.9292	-3221.0664	-3336.347
26	26	-2175.2517	-2177.8539	-1929.0385	-2.6022154	-2171.217	-1900.9561	-2170.4048
27	27	-2006.4998	-2009.2494	-1735.2094	-2.7495693	-2002.4071	-1708.6792	-2002.8255
28	28	-2810.9335	-2813.6318	-2663.5107	-2.6982978	-2807.128	-2637.6139	-2807.5457
29	29	-4239.6037	-4242.3474	-4188.9627	-2.7437228	-4236.1662	-4163.3843	-4236.5838
30	30	-2892.2487	-2894.9849	-2782.461	-2.7361801	-2888.4865	-2756.5609	-2888.9046
31	31	-2509.7726	-2512.5267	-2411.7986	-2.7540933	-2505.9134	-2384.9835	-2506.3312
32	32	-3071.4772	-3073.9871	-2898.4209	-2.5099336	-3035.8251	-2872.7247	-3036.2628
33	33	-2508.6872	-2511.416	-2350.0149	-2.728819	-2504.7824	-2323.8905	-2505.1999
34	34	-2376.586	-2379.3175	-2152.9687	-2.7314148	-2372.6641	-2126.8414	-2373.082
35	35	-3762.161	-3764.8953	-3701.52	-2.7342377	-3758.6064	-3674.5338	-3758.2975
36	36	-3660.8438	-3663.5786	-3615.7485	-2.7347716	-3657.278	-3589.3268	-3657.0221
37	37	-2519.2173	-2521.9269	-2438.8665	-2.709656	-2515.2895	-2412.6918	-2515.7075
38	38	-2277.2278	-2308.8505	-2078.5494	-31.622718	-2241.1999	-2052.3778	-2302.5841
39	39	-2695.5258	-2698.2784	-2480.8507	-2.7526197	-2691.6952	-2451.4886	-2690.0809
40	40	-2165.0175	-2167.7856	-2032.4904	-2.7681404	-2161.0267	-2006.1595	-2161.4441
41	41	-2805.7762	-2808.5281	-2721.2107	-2.7518544	-2801.9933	-2694.5278	-2802.4109
42	42	-2352.1094	-2354.8588	-2095.0366	-2.74948	-2348.1759	-2068.5238	-2348.5934
43	43	-2757.2285	-2759.9863	-2612.7685	-2.7578066	-2753.4452	-2586.8319	-2753.8627
44	44	-2741.4386	-2744.1711	-2504.8004	-2.7324702	-2737.6377	-2478.8688	-2738.0553
45	45	-3490.8834	-3493.6179	-3427.5566	-2.7344635	-3487.2379	-3400.8915	-3486.9135
46	46	-2577.7225	-2580.4526	-2510.9717	-2.730134	-2573.8773	-2482.3143	-2573.341
47	47	-2767.0735	-2769.8131	-2542.1358	-2.7395992	-2763.2952	-2516.2445	-2714.9841
48	48	-2591.7249	-2594.4722	-2427.5326	-2.7472184	-2587.878	-2401.4846	-2588.2954
49	49	-3009.2579	-3011.816	-2804.5357	-2.5581639	-2973.4885	-2777.485	-2972.1679
50	50	-3262.6854	-3265.4309	-3213.5642	-2.7455149	-3259.0094	-3186.8396	-3258.8535
51	51	-2922.6452	-2925.4092	-2872.4802	-2.7639647	-2918.8978	-2846.4624	-2919.3156
52	52	-2739.6349	-2742.3757	-2627.003	-2.7407925	-2735.8168	-2599.5947	-2735.9757
53	53	-2884.086	-2886.2609	-2768.3567	-2.1748956	-2880.297	-2740.6852	-2878.0497
54	54	-2705.1286	-2707.8313	-2628.5127	-2.7027364	-2701.3054	-2602.5045	-2701.7229
55	55	-2361.5712	-2364.3177	-2173.1042	-2.7464716	-2357.6501	-2146.9591	-2358.0683
56	56	-3243.3536	-3246.0577	-3212.5785	-2.7041434	-3239.6756	-3189.514	-3240.0934
57	57	-3234.7541	-3237.1587	-3113.8388	-2.4045889	-3231.049	-3086.0939	-3229.3144
58	58	-2792.7157	-2813.6462	-2579.7731	-20.930512	-2747.4605	-2553.8931	-2807.5468
59	59	-3267.1338	-3269.8525	-3178.2826	-2.7187075	-3263.4305	-3150.4838	-3262.2786
60	60	-2287.7679	-2290.509	-2240.9885	-2.7411285	-2283.8302	-2214.7089	-2284.2476
61	61	-2518.6874	-2521.4578	-2378.1673	-2.7704806	-2514.8154	-2352.0389	-2515.233
62	62	-2573.6952	-2576.4394	-2355.0364	-2.7441358	-2569.8564	-2329.0623	-2570.2739
63	63	-3514.5469	-3517.2757	-3397.7268	-2.7288298	-3510.9182	-3371.4237	-3510.7562
64	64	-2744.9699	-2747.5901	-2546.1969	-2.620232	-2741.1559	-2518.9193	-2740.5215
65	65	-2462.5408	-2465.2856	-2185.7138	-2.7447437	-2458.6377	-2159.571	-2459.0553
66	66	-3459.8303	-3459.0079	-3275.9653	0.82244128	-3422.1799	-3248.7023	-3419.2427
67	67	-2673.7343	-2676.4841	-2505.0031	-2.7498329	-2669.9293	-2478.9804	-2670.347
68	68	-3209.8491	-3212.0164	-3077.6442	-2.1672718	-3170.751	-3051.9758	-3171.1699
69	69	-3548.867	-3551.5981	-3456.1733	-2.7310653	-3545.2549	-3430.0524	-3545.5535
70	70	-3695.5198	-3698.2705	-3699.7419	-2.7507167	-3691.9453	-3682.4028	-3690.5585
71	71	-2804.3186	-2807.0287	-2668.4291	-2.7100916	-2800.5292	-2642.532	-2800.9471
72	72	-2809.3902	-2812.1155	-2699.4177	-2.7252433	-2805.6094	-2672.4559	-2805.1694
73	73	-4779.4635	-4782.2127	-4753.2332	-2.7491863	-4756.1395	-4724.5606	-4776.5536
74	74	-2391.5666	-2394.3014	-2181.1727	-2.7348122	-2387.6313	-2155.0362	-2388.0495
75	75	-2739.676	-2742.4195	-2550.561	-2.7435144	-2735.8825	-2524.585	-2736.3001
76	76	-2939.6443	-2942.3762	-2755.8864	-2.7319733	-2935.8771	-2728.4787	-2935.1512
77	77	-3448.9797	-3451.6878	-3368.9942	-2.7081019	-3445.3505	-3343.0485	-3445.7681
78	78	-2853.0174	-2855.7452	-2787.8343	-2.7278189	-2849.232	-2761.8984	-2849.6513
79	79	-3037.4135	-3040.1316	-2917.3605	-2.7181041	-3033.6716	-2891.5656	-3034.0892
80	80	-2901.8428	-2904.5628	-2754.2254	-2.7200164	-2898.0555	-2728.1641	-2898.473
81	81	-2729.9829	-2732.4881	-2492.7345	-2.5051892	-2694.2777	-2466.8311	-2694.7019
82	82	-3614.8276	-3617.2295	-3542.4698	-2.4018193	-3611.2265	-3513.726	-3609.1
83	83	-3326.73	-3329.476	-3209.4505	-2.7460085	-3323.086	-3182.9974	-3323.1864
84	84	-2855.8954	-2858.6237	-2701.032	-2.7283113	-2852.1325	-2675.1805	-2852.5501
85	85	-2664.5957	-2667.3417	-2540.2983	-2.7459451	-2660.7729	-2514.1446	-2661.1903
86	86	-2634.0085	-2636.6387	-2370.6264	-2.6301903	-2630.1758	-2343.2944	-2629.6302
87	87	-2753.5299	-2756.2569	-2663.3278	-2.7269363	-2749.7158	-2637.519	-2750.1336
88	88	-2135.5762	-2138.3267	-2003.4029	-2.7504556	-2131.5497	-1976.3828	-2131.9676
89	89	-2743.7961	-2746.5054	-2638.9789	-2.7092815	-2739.9796	-2612.9354	-2740.3971
90	90	-3347.3838	-3350.1404	-3219.7836	-2.75664	-3343.7293	-3194.1589	-3344.147
91	91	-3745.9474	-3748.4837	-3627.2311	-2.536321	-3710.6641	-3601.5133	-3710.7157
92	92	-2749.2454	-2752.0041	-2568.0918	-2.7587359	-2745.4519	-2542.1591	-2745.87
93	93	-2686.9796	-2689.728	-2486.7919	-2.7483887	-2683.1713	-2460.8615	-2683.5887
94	94	-3372.6134	-3375.3638	-3287.8688	-2.7504364	-3368.9297	-3261.2905	-3368.816
95	95	-2399.9913	-2402.7328	-2308.9306	-2.7414191	-2396.0853	-2282.737	-2396.5028
96	96	-2469.0468	-2471.7641	-2229.8336	-2.7172355	-2465.1533	-2203.7865	-2465.5713
97	97	-2916.9058	-2919.4541	-2675.9439	-2.5482929	-2877.4201	-2650.1248	-2877.8377
98	98	-3135.092	-3137.7991	-3110.6291	-2.707018	-3131.3916	-3083.446	-3131.2258
99	99	-3047.6968	-3050.4451	-2877.7407	-2.7482723	-3043.9619	-2851.9836	-3044.3795
100	100	-3503.5948	-3506.3199	-3407.049	-2.7251714	-3499.9567	-3381.4506	-3500.3743
101	101	-3450.0399	-3452.7639	-3454.015	-2.7239792	-3446.4057	-3430.8376	-3446.5975
102	102	-2890.4358	-2893.1504	-2740.4252	-2.7146311	-2886.6629	-2713.5305	-2886.2395
103	103	-4014.3155	-4017.2947	-3916.842	-2.9792539	-3979.0826	-3891.5068	-3979.5026
104	104	-2805.8947	-2808.6499	-2658.1912	-2.7551843	-2802.1321	-2631.1844	-2802.4443
