No.	ID	loglik_NUll	loglik_RES	loglik_all	log_ratio	loglik_Max1	loglik_Max2	loglik_Max3
0	0	-1295.2921	-1240.7421	-1253.616	54.549959	-1276.0156	-1233.153	-1234.4425
1	1	-1481.5058	-1423.191	-1436.2719	58.314777	-1463.0647	-1416.7836	-1417.3585
2	2	-1782.8214	-1742.4723	-1755.5494	40.349107	-1763.6861	-1736.9273	-1736.9263
3	3	-1501.3851	-1467.4766	-1480.5487	33.908486	-1482.8906	-1459.2946	-1459.3214
4	4	-1440.5464	-1425.4787	-1438.9241	15.067696	-1437.0763	-1413.9098	-1414.2064
5	5	-1741.4764	-1709.1576	-1722.0248	32.318764	-1724.2932	-1703.4935	-1703.4719
6	6	-1389.039	-1287.1205	-1300.2319	101.91843	-1370.5743	-1281.208	-1281.2081
7	7	-1348.0318	-1272.3314	-1285.6003	75.700474	-1329.292	-1265.967	-1265.9663
8	8	-1136.05	-1084.9039	-1098.1323	51.146113	-1117.1836	-1078.4508	-1078.452
9	9	-1206.2615	-1167.3383	-1180.3769	38.92323	-1202.697	-1157.1793	-1157.182
10	10	-1131.6411	-1113.9882	-1125.3807	17.652903	-1127.9957	-1100.1843	-1102.7693
11	11	-1052.1553	-978.53929	-991.63052	73.616034	-1033.5111	-968.13865	-968.07354
12	12	-2119.887	-2082.6008	-2095.6968	37.28617	-2100.949	-2076.8156	-2077.2069
13	13	-1853.3105	-1811.5715	-1822.9186	41.738974	-1834.5858	-1805.6767	-1805.692
14	14	-1325.5936	-1265.7805	-1278.72	59.813077	-1307.449	-1258.6563	-1259.7594
15	15	-987.72525	-910.073	-923.26936	77.652254	-968.97725	-903.00851	-903.34767
16	16	-1464.7191	-1409.6917	-1422.9295	55.027429	-1441.7464	-1403.5559	-1403.5897
17	17	-1654.8109	-1618.3313	-1631.3282	36.479618	-1641.4165	-1607.5788	-1608.2329
18	18	-1660.9035	-1633.154	-1646.0563	27.749434	-1642.5998	-1626.8167	-1626.753
19	19	-1109.5616	-1045.9324	-1059.1669	63.629211	-1090.505	-1039.4177	-1039.416
20	20	-2060.8358	-2062.9749	-2063.9112	-2.1390965	-2057.6984	-2050.6778	-2053.6627
21	21	-1231.961	-1173.2083	-1186.4454	58.752677	-1213.7959	-1166.8829	-1166.8812
22	22	-1368.5634	-1306.4776	-1319.5907	62.085876	-1350.3514	-1300.5369	-1300.5421
23	23	-1327.011	-1255.9894	-1269.1144	71.021601	-1308.5921	-1250.0328	-1250.0319
24	24	-1449.3419	-1385.935	-1399.171	63.40687	-1431.1361	-1379.0385	-1378.9989
25	25	-1370.3072	-1322.9503	-1336.0491	47.356971	-1358.0998	-1316.9616	-1316.9609
26	26	-1244.2966	-1162.2125	-1175.4483	82.084035	-1225.7412	-1156.1308	-1156.115
27	27	-1770.9975	-1717.414	-1730.4043	53.583535	-1752.9148	-1710.5392	-1711.8095
28	28	-1317.9346	-1271.3236	-1280.8153	46.611051	-1314.3641	-1264.4397	-1264.4411
29	29	-1107.3668	-1026.7886	-1039.9016	80.578208	-1088.7874	-1020.491	-1020.4903
30	30	-1590.666	-1551.3365	-1564.5806	39.329549	-1587.285	-1545.1536	-1545.334
31	31	-1706.0439	-1691.6707	-1701.5239	14.373229	-1702.7114	-1679.9999	-1685.6406
32	32	-1413.3469	-1326.0235	-1339.1252	87.323447	-1394.9376	-1320.0994	-1320.0997
33	33	-1526.4046	-1477.6838	-1490.9186	48.720838	-1508.2797	-1471.6024	-1471.602
34	34	-1388.8003	-1337.7519	-1350.9936	51.048396	-1370.337	-1331.0656	-1331.5062
35	35	-1111.312	-1021.4359	-1034.5671	89.876164	-1092.2773	-1015.1752	-1015.1764
36	36	-1208.5165	-1143.0407	-1156.0517	65.47585	-1188.5592	-1135.032	-1136.6354
37	37	-1799.3266	-1771.8119	-1784.4171	27.514779	-1781.9259	-1762.9913	-1764.1453
38	38	-1650.0166	-1536.3888	-1549.4889	113.62781	-1631.7464	-1530.818	-1530.818
39	39	-1536.8095	-1442.5514	-1455.6363	94.258119	-1518.2441	-1436.8312	-1436.831
40	40	-1251.8226	-1195.1406	-1208.2572	56.681914	-1233.4359	-1189.1118	-1189.113
41	41	-1413.9269	-1362.9293	-1376.0185	50.99765	-1393.7704	-1356.4192	-1356.8267
42	42	-1777.612	-1772.8308	-1780.7417	4.7811851	-1774.3669	-1763.5805	-1766.593
43	43	-2017.9854	-1992.1163	-2003.9993	25.869141	-2000.4872	-1985.3734	-1986.2746
44	44	-1294.5606	-1248.0877	-1261.3397	46.472906	-1274.5359	-1241.3462	-1241.2836
45	45	-2258.0389	-2202.0842	-2215.2082	55.954643	-2238.4903	-2196.8911	-2196.8912
46	46	-1391.315	-1337.9632	-1351.0485	53.35185	-1372.4951	-1332.0282	-1332.0137
47	47	-1552.4079	-1471.6676	-1484.9583	80.740234	-1534.1342	-1465.6081	-1465.6089
48	48	-1546.0519	-1511.4523	-1524.1548	34.599642	-1542.6393	-1505.4289	-1505.4292
49	49	-1665.4557	-1628.7827	-1641.4528	36.673036	-1647.0762	-1620.0783	-1622.8539
50	50	-1322.9566	-1262.4412	-1275.6763	60.515422	-1304.6258	-1255.4171	-1255.3747
51	51	-1638.5799	-1633.1874	-1643.1305	5.3924848	-1635.2228	-1622.2931	-1627.2466
52	52	-1498.4255	-1431.7242	-1444.7308	66.701333	-1479.7846	-1424.0831	-1425.101
53	53	-1125.5998	-1101.622	-1114.5528	23.977874	-1121.9647	-1090.1512	-1090.1645
54	54	-1496.9222	-1448.1448	-1461.3971	48.777383	-1478.8237	-1442.0655	-1442.0667
55	55	-1657.3489	-1625.6855	-1638.7145	31.66335	-1639.4558	-1619.9345	-1619.9342
56	56	-1736.9205	-1655.7427	-1668.8411	81.177853	-1718.2139	-1650.2129	-1650.2153
57	57	-1703.05	-1646.3287	-1659.4463	56.721223	-1684.887	-1640.6849	-1640.7057
58	58	-1227.364	-1164.4428	-1177.701	62.92119	-1208.3825	-1158.0248	-1158.0253
59	59	-1977.8039	-1949.0388	-1961.6117	28.765067	-1974.6	-1936.5001	-1941.9573
60	60	-1432.6428	-1375.8594	-1389.1285	56.783411	-1414.146	-1368.9193	-1368.8603
61	61	-1899.4857	-1866.5564	-1879.627	32.929211	-1877.7466	-1858.0376	-1860.7496
62	62	-1439.2538	-1409.348	-1422.2978	29.905848	-1435.8072	-1400.8156	-1402.7762
63	63	-1522.5726	-1491.0236	-1503.8325	31.549029	-1507.8338	-1483.209	-1485.1638
64	64	-1895.9876	-1867.4652	-1877.6869	28.522353	-1875.8313	-1861.2592	-1861.8285
65	65	-1284.4059	-1256.6505	-1267.9745	27.755315	-1280.8865	-1250.5752	-1250.5723
66	66	-939.93909	-916.6466	-929.48198	23.292486	-936.11643	-907.11094	-909.42077
67	67	-1966.0778	-1906.4704	-1919.5764	59.607434	-1947.9237	-1901.0609	-1901.0615
68	68	-1262.3368	-1224.0774	-1237.1989	38.25941	-1258.7793	-1217.9647	-1217.9617
69	69	-1192.9712	-1152.0824	-1163.5344	40.888771	-1189.3573	-1145.7664	-1145.7348
70	70	-1480.65	-1435.0648	-1447.8932	45.585213	-1465.9149	-1427.8809	-1429.0796
71	71	-1652.9638	-1596.7776	-1609.8998	56.186192	-1634.3425	-1591.1803	-1591.1816
72	72	-1949.3477	-1896.7163	-1909.9705	52.631426	-1931.5968	-1890.0096	-1889.9703
73	73	-1318.5871	-1233.2632	-1246.3534	85.323905	-1300.1532	-1227.212	-1227.216
74	74	-1397.5918	-1331.0945	-1344.1727	66.497388	-1379.0139	-1325.1614	-1325.1603
75	75	-1431.5619	-1386.0767	-1397.1496	45.485285	-1412.7571	-1376.8929	-1376.8837
76	76	-1426.7362	-1378.5879	-1391.6929	48.148281	-1407.8271	-1372.7196	-1372.7169
77	77	-1171.7767	-1117.2823	-1130.3877	54.494326	-1152.3434	-1111.0837	-1111.0817
78	78	-1436.3873	-1357.338	-1370.4124	79.049275	-1417.8164	-1351.5421	-1351.5435
79	79	-1933.0896	-1888.0803	-1901.1879	45.009254	-1914.2733	-1882.6175	-1882.6167
80	80	-1857.3874	-1803.4381	-1816.5489	53.94925	-1838.6789	-1797.9581	-1797.9583
81	81	-1291.9534	-1225.7305	-1238.9587	66.222897	-1273.1854	-1219.4057	-1219.3927
82	82	-1173.1505	-1127.2579	-1140.4749	45.892635	-1154.3499	-1120.3238	-1120.316
83	83	-1120.387	-1053.0696	-1066.3843	67.317373	-1100.8427	-1045.7397	-1045.6933
84	84	-1081.8172	-1025.1525	-1038.2546	56.664688	-1062.8018	-1018.9231	-1018.9216
85	85	-1208.1899	-1146.2384	-1159.3239	61.951426	-1188.7396	-1140.1159	-1140.1162
86	86	-1169.5689	-1052.8112	-1066.0972	116.75763	-1150.8819	-1046.0272	-1046.0203
87	87	-1492.7171	-1450.7881	-1464.0352	41.929029	-1473.6416	-1444.1995	-1444.1884
88	88	-1360.0637	-1278.539	-1291.8034	81.524701	-1341.629	-1272.2404	-1272.2397
89	89	-1530.1383	-1481.2144	-1490.5395	48.923844	-1526.705	-1470.8655	-1475.1942
90	90	-899.22406	-827.06818	-840.34875	72.155881	-879.34765	-819.63935	-819.63927
91	91	-1326.4552	-1265.2621	-1278.5101	61.193014	-1307.681	-1258.0501	-1258.0492
92	92	-1063.0803	-986.22062	-999.43801	76.859656	-1044.0581	-979.57904	-979.58606
93	93	-1091.8617	-1032.2404	-1045.5014	59.621377	-1088.1873	-1025.0632	-1025.0636
94	94	-1548.1451	-1486.9002	-1500.1614	61.244892	-1529.9851	-1480.8016	-1480.8038
95	95	-1765.1656	-1721.7421	-1734.697	43.423425	-1745.4988	-1714.5479	-1716.1503
96	96	-1234.539	-1193.7674	-1205.3026	40.771644	-1230.9847	-1187.6524	-1187.6504
97	97	-1678.2358	-1640.2898	-1653.5413	37.946	-1660.1702	-1633.0713	-1632.9728
98	98	-1552.1845	-1519.1514	-1530.437	33.03311	-1532.5627	-1510.8321	-1513.2974
99	99	-1345.9059	-1263.2488	-1276.5004	82.657101	-1327.1551	-1256.8989	-1256.8798
100	100	-1216.4421	-1160.6065	-1173.7248	55.835537	-1197.6325	-1154.5243	-1154.5244
101	101	-1400.4651	-1338.6688	-1351.9547	61.796276	-1382.1922	-1331.4909	-1331.4633
102	102	-1358.6371	-1268.0476	-1281.3203	90.589507	-1339.9724	-1261.6793	-1261.6786
103	103	-1987.4826	-1961.4402	-1973.5821	26.042394	-1968.775	-1955.7392	-1955.9696
104	104	-1325.8446	-1273.9495	-1287.1802	51.895157	-1307.3336	-1267.7102	-1267.7117
105	105	-1554.251	-1510.5513	-1523.774	43.699738	-1535.7354	-1504.5224	-1504.5186
106	106	-1373.5089	-1339.9213	-1352.0632	33.587624	-1369.9714	-1330.554	-1333.9422
107	107	-1181.9776	-1126.5087	-1139.0825	55.468854	-1163.2316	-1120.0784	-1120.0772
108	108	-1857.9325	-1820.6702	-1833.7578	37.26234	-1834.2857	-1814.9988	-1814.9137
