# GREAT version 3.0.0	Species assembly: hg19	"Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 500000 bp max extension, curated regulatory domains excluded"										
# Ontology	 Term Name 	 Hyper Rank 	 Hyper Raw P-Value 	  Hyper FDR Q-Val  	 Hyper Fold Enrichment 	 Hyper Foreground Region Hits 	 Hyper Total Regions 	 Hyper Region Set Coverage 	 Hyper Foreground Gene Hits 	 Hyper Background Gene Hits 	 Total Genes Annotated	Genes
GO Biological Process	protein polyglutamylation	1	4.15E-19	2.60E-15	12.48354	24	194	0.01225741	3	4	7	TTLL7
GO Biological Process	peptidyl-glutamic acid modification	2	1.88E-14	5.87E-11	7.033842	26	373	0.01327886	5	15	22	TTLL7
GO Biological Process	cerebellum morphogenesis	3	4.62E-10	9.62E-07	3.049036	42	1390	0.02145046	10	31	36	"DAB1, GAS1, GLI2, PROX1, SKOR2"
GO Biological Process	"complement activation, alternative pathway"	4	1.40E-09	2.18221E-06	8.614147	14	164	0.007150153	2	7	13	C8B
GO Biological Process	hindbrain morphogenesis	6	9.42E-09	9.81427E-06	2.744923	42	1544	0.02145046	10	35	40	"DAB1, GAS1, GLI2, PROX1, SKOR2"
GO Biological Process	regulation of protein processing	7	1.34E-08	1.19275E-05	4.586754	21	462	0.01072523	5	31	51	
GO Biological Process	regulation of complement activation	8	2.31E-08	1.80067E-05	6.925099	14	204	0.007150153	2	14	27	
GO Biological Process	regulation of protein activation cascade	9	3.13E-08	2.17009E-05	6.759426	14	209	0.007150153	2	15	28	
GO Biological Process	hindbrain radial glia guided cell migration	11	1.17E-07	6.65431E-05	4.645408	18	391	0.009193054	2	5	7	
GO Biological Process	"complement activation, classical pathway"	12	1.67E-07	8.68005E-05	5.464364	15	277	0.007660878	3	17	31	
GO Biological Process	humoral immune response mediated by circulating immunoglobulin	13	2.00E-07	9.63059E-05	5.386579	15	281	0.007660878	3	19	35	
GO Biological Process	cytolysis	14	4.80E-07	0.00021424	5.028667	15	301	0.007660878	3	15	20	
GO Biological Process	dendrite development	15	5.67E-07	0.000236231	2.148784	51	2395	0.02604699	18	60	70	
GO Biological Process	regulation of humoral immune response	16	8.83E-07	0.000344724	4.789964	15	316	0.007660878	3	25	45	
GO Biological Process	protein sumoylation	17	8.95E-07	0.000328906	3.431204	22	647	0.01123596	6	23	28	
GO Biological Process	middle ear morphogenesis	18	9.25E-07	0.000321008	2.579618	34	1330	0.01736466	10	22	22	
GO Biological Process	complement activation	19	9.93E-07	0.000326484	4.744918	15	319	0.007660878	3	23	44	
GO Biological Process	secretory granule organization	20	1.2444E-06	0.00038875	5.906844	12	205	0.006128703	3	9	15	
