#chr	start	end	name	null_scale	alt_scale	alt_subscale	lnlratio	pval
0	0	200	1	0.74028	0.59240	7.08434	37.36084	0.00000
1	200	400	2	0.92334	0.71642	8.15714	55.08053	0.00000
2	400	600	3	1.32255	1.13864	4.95122	34.54935	0.00000
3	600	800	4	1.00217	0.83858	5.73557	34.87524	0.00000
4	800	1000	5	0.90593	0.79671	4.27895	19.41743	0.00000
5	1000	1200	6	1.24150	1.14238	3.06010	12.69051	0.00000
6	1200	1400	7	0.87095	0.59297	13.19053	90.81005	0.00000
7	1400	1600	8	0.82030	0.57699	11.66952	76.22629	0.00000
8	1600	1800	9	0.63923	0.49249	8.36314	40.84263	0.00000
9	1800	2000	10	0.68514	0.56865	5.93378	26.44152	0.00000
10	2000	2200	11	0.62342	0.56626	3.43737	8.73166	0.00001
11	2200	2400	12	0.52748	0.37259	11.43728	49.22266	0.00000
12	2400	2600	13	1.63752	1.44493	4.17753	32.34965	0.00000
13	2600	2800	14	1.33950	1.19667	3.82342	22.28008	0.00000
14	2800	3000	15	0.78206	0.65107	5.86851	29.67058	0.00000
15	3000	3200	16	0.46890	0.33297	11.07025	43.23804	0.00000
16	3200	3400	17	0.93516	0.74286	7.48160	48.27052	0.00000
17	3400	3600	18	1.14177	0.99363	4.57923	26.96863	0.00000
18	3600	3800	19	1.20508	1.07867	3.79121	19.56517	0.00000
19	3800	4000	20	0.58491	0.45418	8.01849	35.47198	0.00000
20	4000	4200	21	1.59148	1.53293	1.85591	3.78893	0.00295
21	4200	4400	22	0.71731	0.57997	6.79461	33.08561	0.00000
22	4400	4600	23	0.81732	0.64475	7.65625	44.45804	0.00000
23	4600	4800	24	0.78539	0.55808	11.12979	71.03054	0.00000
24	4800	5000	25	0.90682	0.72187	7.26994	46.04999	0.00000
25	5000	5200	26	0.80254	0.70228	4.49204	18.54949	0.00000
26	5200	5400	27	0.71538	0.45162	15.78044	96.12097	0.00000
27	5400	5600	28	1.18107	1.03602	4.37642	25.41190	0.00000
28	5600	5800	29	0.76578	0.65048	5.26522	23.95527	0.00000
