# GREAT version 3.0.0	Species assembly: hg19	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 500000 bp max extension, curated regulatory domains excluded
AAGAB	VCE113360 (-57129)
AASS	VCE325182|VCE325183 (-126608)
AATF	VCE135626 (-767), VCE135633|VCE135634 (+24187), VCE135772|VCE135773|VCE135774 (+253156)
ABCA5	VCE140520 (-77053)
ABCC3	VCE137753 (-21184), VCE137756 (-6997)
ABCC8	VCE51017 (+42115)
ABCG8	VCE165203 (+74152)
ABRA	VCE342087 (-411012), VCE342038 (-52768)
ACN9	VCE321909 (+317885), VCE321915|VCE321916|VCE321917 (+328535)
ACP6	VCE20025 (+109602), VCE20021|VCE20022|VCE20023|VCE20024 (+116667)
ACSL4	VCE382232 (-2503)
ACTC1	VCE107806 (-104883)
ACTL7B	VCE359569|VCE359570 (+136103), VCE359563|VCE359564 (+168056), VCE359540|VCE359541|VCE359542|VCE359543 (+243769), VCE359512 (+413555), VCE359504 (+441376), VCE359502|VCE359503 (+445226)
ACTL8	VCE1725 (-42819), VCE1758|VCE1759|VCE1760 (+277083)
ACTN4	VCE157828 (+36106)
ACTR3	VCE175327 (+189149)
ADAM11	VCE136676 (+1509), VCE136677 (+1820), VCE136678 (+10034)
ADAM28	VCE331083 (-285079), VCE331102|VCE331103|VCE331104|VCE331105 (-153814)
ADAMTS18	VCE129546|VCE129547 (-181199), VCE129521|VCE129522|VCE129523 (+9998)
ADAMTS6	VCE265596|VCE265597|VCE265598|VCE265599|VCE265600|VCE265601|VCE265602 (+414658)
ADAMTS9	VCE218467 (+125501)
ADAT2	VCE303945|VCE303946 (+179243), VCE303921 (+284674)
ADCK1	VCE102255 (+83453), VCE102337|VCE102338 (+419636)
ADCY5	VCE227684 (-8233), VCE227682|VCE227683 (+5619), VCE227679|VCE227680 (+24875)
ADD3	VCE45108|VCE45109 (+160742)
ADK	VCE39497 (+31480), VCE39638|VCE39639 (+451676)
ADNP	VCE201416|VCE201417 (+1633)
ADPGK	VCE114269 (-103803)
ADRA1B	VCE280400 (-355875)
ADRA2A	VCE45247 (+171167)
ADRB2	VCE278670 (+3263)
AEBP2	VCE66721 (-207005)
AFF3	VCE173687|VCE173688 (+206163)
