# GREAT version 3.0.0	Species assembly: hg19	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 500000 bp max extension, curated regulatory domains excluded
VCE749	VAMP3 (-255003)
VCE1029	PEX14 (+40403), CASZ1 (+281358)
VCE1138	CASZ1 (+89298), PEX14 (+232463)
VCE1238|VCE1239|VCE1240|VCE1241	TARDBP (-147369), CASZ1 (-68625)
VCE1284|VCE1285	EXOSC10 (-59026), ANGPTL7 (-30434)
VCE1286	EXOSC10 (-69206), ANGPTL7 (-20254)
VCE1725	ACTL8 (-42819), ARHGEF10L (+172659)
VCE1758|VCE1759|VCE1760	IGSF21 (-75349), ACTL8 (+277083)
VCE1792	KLHDC7A (-235592), IGSF21 (+137592)
VCE2475	SEPN1 (-104024), MAN1C1 (+78684)
VCE2667	SFN (+9446), GPN2 (+17709)
VCE2862	WASF2 (-100070), AHDC1 (+13404)
VCE3026|VCE3027	PTPRU (+114452)
VCE3203|VCE3204	BAI2 (-7001), SPOCD1 (+45015)
VCE3404|VCE3405	HMGB4 (-158961), ZSCAN20 (+228894)
VCE3440|VCE3441|VCE3442	HMGB4 (+37925), CSMD2 (+267417)
VCE3574	GJB5 (-257016), C1orf94 (+320361)
VCE3611	GJB5 (-62337)
VCE3777|VCE3778|VCE3779|VCE3780	PSMB2 (+18165), TFAP2E (+50309)
VCE3807	PSMB2 (-87635), CLSPN (+40449)
VCE3967|VCE3968	CSF3R (-272525), GRIK3 (+278322)
VCE3974	CSF3R (-294236), GRIK3 (+256611)
VCE3980	CSF3R (-304774), GRIK3 (+246073)
VCE3993|VCE3994|VCE3995	CSF3R (-361894), GRIK3 (+188953)
VCE3998	CSF3R (-370582), GRIK3 (+180265)
VCE4020	CSF3R (-439872), GRIK3 (+110975)
VCE4030|VCE4031	CSF3R (-459131), GRIK3 (+91716)
VCE4039	CSF3R (-494858), GRIK3 (+55989)
VCE4048	GRIK3 (+21905)
VCE4079	ZC3H12A (-374549), GRIK3 (-65878)
VCE4091	ZC3H12A (-302762), GRIK3 (-137665)
VCE4132	GRIK3 (-271674), ZC3H12A (-168753)
VCE4271	POU3F1 (-39278)
VCE4299	POU3F1 (-82672)
VCE4359|VCE4360|VCE4361	POU3F1 (-249432)
VCE4459|VCE4460	RRAGC (+221564)
VCE4467|VCE4468	RRAGC (+189939)
VCE4475	RRAGC (+165511)
VCE4493|VCE4494|VCE4495	RRAGC (+132094)
VCE4647|VCE4648|VCE4649	TRIT1 (-3510)
VCE4818	SLFNL1 (-22698), SCMH1 (+115497)
VCE5371|VCE5372	RNF220 (+31408), TMEM53 (+237953)
VCE5373|VCE5374	RNF220 (+31833), TMEM53 (+237528)
VCE5375|VCE5376	RNF220 (+32374), TMEM53 (+236987)
VCE5473|VCE5474	TMEM53 (+32950), RNF220 (+236411)
VCE5478|VCE5479	TMEM53 (+28137), RNF220 (+241224)
VCE5541|VCE5542|VCE5543|VCE5544	PTCH2 (-121464), EIF2B3 (+22083)
VCE5734|VCE5735	DMBX1 (-53808), FAAH (+58924)
VCE6093	SPATA6 (-64876), BEND5 (+239869)
VCE6131	SPATA6 (-193891), BEND5 (+110854)
VCE6138	SPATA6 (-223268), BEND5 (+81477)
VCE6145|VCE6146	SPATA6 (-258622), BEND5 (+46123)
VCE6179|VCE6180|VCE6181|VCE6182	BEND5 (-64907)
VCE6252|VCE6253	BEND5 (-275269)
VCE6357	AGBL4 (+355392)
VCE6426|VCE6427	ELAVL4 (-1926)
VCE6540|VCE6541	DMRTA2 (+114248), ELAVL4 (+202960)
VCE6592	DMRTA2 (-56162), FAF1 (+480601)
VCE6593	DMRTA2 (-56565), FAF1 (+480198)
VCE6644|VCE6645|VCE6646	DMRTA2 (-210150), FAF1 (+326613)
VCE6677|VCE6678	DMRTA2 (-276636), FAF1 (+260127)
VCE6717|VCE6718	C1orf185 (-124709), CDKN2C (+16780)
VCE7053	GLIS1 (+113672), DMRTB1 (+161133)
VCE7195|VCE7196|VCE7197	SSBP3 (-1395)
VCE7352|VCE7353	NONE
VCE7536	C8B (+27712), C8A (+83497)
VCE7623	C8B (-287962), DAB1 (+170079)
VCE7624|VCE7625|VCE7626	C8B (-290008), DAB1 (+168033)
VCE7627	C8B (-292639), DAB1 (+165402)
VCE7628	C8B (-293012), DAB1 (+165029)
VCE7629|VCE7630	C8B (-299406), DAB1 (+158635)
VCE7633	C8B (-308125), DAB1 (+149916)
VCE7634|VCE7635	C8B (-309314), DAB1 (+148727)
