#chr	start	end	name	null_scale	alt_scale	alt_subscale	lnlratio	pval
0	0	200	1	0.22473	0.22412	1.15199	0.06495	0.35927
1	200	400	2	0.32362	0.32362	1.00000	0.00000	0.49999
2	400	600	3	0.14279	0.14268	1.04383	0.00317	0.46825
3	600	800	4	0.24572	0.24156	1.95870	2.28514	0.01627
4	800	1000	5	0.30305	0.30254	1.09221	0.03289	0.39880
5	1000	1200	6	0.21626	0.21406	1.57854	0.78608	0.10495
6	1200	1400	7	0.12035	0.11921	1.54339	0.39960	0.18567
7	1400	1600	8	0.12435	0.12196	2.11750	1.51993	0.04062
8	1600	1800	9	0.59724	0.59724	1.00000	0.00000	0.49999
9	1800	2000	10	0.15229	0.15044	1.69611	0.80369	0.10243
10	2000	2200	11	0.17557	0.17332	1.73408	0.99226	0.07946
11	2200	2400	12	0.34171	0.33877	1.47603	0.84621	0.09664
12	2400	2600	13	0.26775	0.26454	1.67297	1.29439	0.05381
13	2600	2800	14	0.23004	0.22950	1.12905	0.04697	0.37961
14	2800	3000	15	0.14782	0.14652	1.50209	0.42414	0.17852
15	3000	3200	16	0.19617	0.19302	1.91615	1.66673	0.03394
16	3200	3400	17	0.20668	0.20668	1.00000	0.00000	0.49998
17	3400	3600	18	0.15607	0.15356	1.92282	1.35275	0.05000
18	3600	3800	19	0.14489	0.13803	3.84063	8.19183	0.00003
19	3800	4000	20	0.10633	0.10305	2.81704	3.03119	0.00690
20	4000	4200	21	0.10888	0.10478	3.24099	4.22305	0.00183
21	4200	4400	22	0.24019	0.23710	1.72680	1.33700	0.05100
22	4400	4600	23	0.22010	0.22010	1.00000	0.00000	0.49999
23	4600	4800	24	0.18585	0.18585	1.00000	0.00000	0.49998
24	4800	5000	25	0.21052	0.20828	1.60515	0.84313	0.09705
25	5000	5200	26	0.19955	0.19905	1.14169	0.04743	0.37904
26	5200	5400	27	0.19354	0.19303	1.14705	0.05027	0.37559
27	5400	5600	28	0.07738	0.07353	4.01116	4.93472	0.00084
28	5600	5800	29	0.15158	0.14692	2.81255	4.14881	0.00198
29	5800	6000	30	0.17132	0.17132	1.00000	0.00000	0.50000
30	6000	6200	31	0.25754	0.25754	1.00000	0.00000	0.50000
31	6200	6400	32	0.07874	0.07752	1.89638	0.65209	0.12673
32	6400	6600	33	0.22571	0.22460	1.27484	0.19866	0.26424
33	6600	6800	34	0.16799	0.16638	1.54372	0.55715	0.14557
34	6800	7000	35	0.12055	0.11942	1.53638	0.39698	0.18645
35	7000	7200	36	0.14427	0.14274	1.60653	0.56815	0.14322
36	7200	7400	37	0.14234	0.14087	1.59331	0.54551	0.14812
37	7400	7600	38	0.12499	0.12323	1.80825	0.84977	0.09617
38	7600	7800	39	0.12012	0.11963	1.23457	0.08017	0.34442
39	7800	8000	40	0.14944	0.14879	1.24668	0.10831	0.32081
40	8000	8200	41	0.16293	0.16122	1.59800	0.64027	0.12890
41	8200	8400	42	0.17034	0.16941	1.30949	0.19508	0.26611
42	8400	8600	43	0.08744	0.08744	1.00000	0.00000	0.49997
43	8600	8800	44	0.17837	0.17824	1.04108	0.00347	0.46678
44	8800	9000	45	0.13976	0.13572	2.69550	3.51517	0.00401
45	9000	9200	46	0.25702	0.25569	1.28885	0.26165	0.23472
46	9200	9400	47	0.23613	0.23444	1.40268	0.44802	0.17192
47	9400	9600	48	0.23143	0.23027	1.27991	0.21995	0.25359
48	9600	9800	49	0.25600	0.25183	1.92494	2.19395	0.01810
49	9800	10000	50	0.14269	0.13923	2.40650	2.56993	0.01169
50	10000	10200	51	0.17569	0.17569	1.00000	0.00000	0.49998
51	10200	10400	52	0.29305	0.28981	1.62548	1.17683	0.06249
52	10400	10600	53	0.19117	0.19061	1.16646	0.06568	0.35851
53	10600	10800	54	0.32517	0.32498	1.03186	0.00371	0.46566
54	10800	11000	55	0.20175	0.20076	1.27387	0.18519	0.27140
55	11000	11200	56	0.14114	0.14102	1.05102	0.00432	0.46298
56	11200	11400	57	0.20999	0.20775	1.60762	0.84835	0.09636
57	11400	11600	58	0.15527	0.15203	2.20992	2.14716	0.01912
58	11600	11800	59	0.07634	0.07505	1.98632	0.74057	0.11180
59	11800	12000	60	0.22310	0.22310	1.00000	0.00000	0.50000
60	12000	12200	61	0.22501	0.21881	2.59171	4.90407	0.00087
61	12200	12400	62	0.18549	0.18073	2.49045	3.65087	0.00344
62	12400	12600	63	0.21889	0.21682	1.53233	0.69553	0.11911
63	12600	12800	64	0.16220	0.16116	1.36494	0.25774	0.23639
64	12800	13000	65	0.16224	0.15985	1.84246	1.20323	0.06042
65	13000	13200	66	0.31562	0.31562	1.00000	0.00000	0.49999
66	13200	13400	67	0.18069	0.17728	2.07984	2.06811	0.02099
67	13400	13600	68	0.25087	0.25062	1.05364	0.00885	0.44708
68	13600	13800	69	0.28834	0.28661	1.33571	0.37144	0.19437
69	13800	14000	70	0.23937	0.23622	1.74412	1.38204	0.04820
70	14000	14200	71	0.15439	0.15320	1.43561	0.34515	0.20303
