#chr	start	end	name	null_scale	alt_scale	alt_subscale	lnlratio	pval
0	0	200	1	0.26947	0.26756	1.39463	0.47970	0.16367
1	200	400	2	0.36698	0.35705	2.56308	7.58312	0.00005
2	400	600	3	0.18718	0.18452	1.81256	1.28242	0.05463
3	600	800	4	0.35100	0.34056	2.71746	8.46174	0.00002
4	800	1000	5	0.38040	0.37615	1.62414	1.54601	0.03934
5	1000	1200	6	0.30507	0.29759	2.40240	5.35029	0.00054
6	1200	1400	7	0.16648	0.16009	3.27919	6.64138	0.00013
7	1400	1600	8	0.20365	0.19782	2.67776	4.81830	0.00095
8	1600	1800	9	0.63603	0.63603	1.00000	0.00000	0.49999
9	1800	2000	10	0.23139	0.22788	1.86558	1.71088	0.03217
10	2000	2200	11	0.25882	0.24400	4.54708	19.04640	0.00000
11	2200	2400	12	0.41134	0.40632	1.67929	1.87464	0.02642
12	2400	2600	13	0.28876	0.28359	2.02160	2.85527	0.00843
13	2600	2800	14	0.30862	0.30350	1.94193	2.61041	0.01116
14	2800	3000	15	0.20396	0.19811	2.67823	4.83251	0.00094
15	3000	3200	16	0.21900	0.21687	1.55134	0.73181	0.11318
16	3200	3400	17	0.25344	0.25196	1.33023	0.32929	0.20853
17	3400	3600	18	0.23184	0.22133	3.70832	11.92257	0.00000
18	3600	3800	19	0.21638	0.21078	2.52015	4.28839	0.00170
19	3800	4000	20	0.18572	0.17374	5.03078	17.25538	0.00000
20	4000	4200	21	0.16161	0.15787	2.35966	2.72040	0.00984
21	4200	4400	22	0.31463	0.30564	2.65146	7.08959	0.00008
22	4400	4600	23	0.29655	0.28971	2.32931	4.75755	0.00102
23	4600	4800	24	0.23502	0.22796	2.75500	5.91852	0.00029
24	4800	5000	25	0.28950	0.27576	3.86054	15.60423	0.00000
25	5000	5200	26	0.26724	0.26314	1.87521	2.02025	0.02221
26	5200	5400	27	0.25379	0.24670	2.63503	5.69987	0.00037
27	5400	5600	28	0.15921	0.15272	3.46937	7.09208	0.00008
28	5600	5800	29	0.20856	0.20060	3.28913	8.05661	0.00003
29	5800	6000	30	0.20316	0.19805	2.46975	3.86451	0.00272
30	6000	6200	31	0.34349	0.33602	2.24093	4.85936	0.00091
31	6200	6400	32	0.13491	0.13065	2.86789	3.88205	0.00266
32	6400	6600	33	0.33389	0.32215	3.06915	10.76332	0.00000
33	6600	6800	34	0.26902	0.25731	3.60396	12.38738	0.00000
34	6800	7000	35	0.21495	0.20737	3.09822	7.39924	0.00006
35	7000	7200	36	0.22296	0.21337	3.61443	10.21785	0.00000
36	7200	7400	37	0.20280	0.19626	2.90500	5.92060	0.00029
37	7400	7600	38	0.21534	0.19889	5.88332	25.23316	0.00000
38	7600	7800	39	0.20681	0.19730	3.78913	11.02818	0.00000
39	7800	8000	40	0.18491	0.18218	1.84776	1.34905	0.05023
40	8000	8200	41	0.26204	0.24650	4.69765	20.85744	0.00000
41	8200	8400	42	0.20400	0.20165	1.65851	0.95329	0.08367
42	8400	8600	43	0.13467	0.12853	3.74843	7.35706	0.00006
43	8600	8800	44	0.19475	0.19162	1.91865	1.66886	0.03385
44	8800	9000	45	0.20371	0.19957	2.18085	2.59609	0.01134
45	9000	9200	46	0.29581	0.28948	2.23236	4.11215	0.00207
46	9200	9400	47	0.30572	0.30141	1.79994	1.93097	0.02470
47	9400	9600	48	0.29546	0.29038	1.97788	2.59629	0.01134
48	9600	9800	49	0.27020	0.26695	1.68184	1.32456	0.05180
49	9800	10000	50	0.23526	0.22594	3.37605	9.77872	0.00000
50	10000	10200	51	0.25508	0.24872	2.45170	4.46513	0.00140
51	10200	10400	52	0.35507	0.34775	2.16957	4.35666	0.00158
52	10400	10600	53	0.23548	0.23161	1.94467	2.07741	0.02076
53	10600	10800	54	0.34611	0.34276	1.53907	1.08582	0.07029
54	10800	11000	55	0.27142	0.26541	2.27648	4.01851	0.00229
55	11000	11200	56	0.25757	0.24188	4.76127	20.50877	0.00000
56	11200	11400	57	0.28009	0.27122	2.83883	7.54613	0.00005
57	11400	11600	58	0.24866	0.24118	2.76909	6.28189	0.00020
58	11600	11800	59	0.16587	0.15496	5.11644	15.77386	0.00000
59	11800	12000	60	0.25736	0.24897	2.91345	7.49306	0.00005
60	12000	12200	61	0.26523	0.25424	3.46061	11.65527	0.00000
61	12200	12400	62	0.25566	0.25053	2.15201	3.12570	0.00620
62	12400	12600	63	0.28344	0.27896	1.90660	2.28384	0.01629
63	12600	12800	64	0.22450	0.22042	2.04588	2.36760	0.01478
64	12800	13000	65	0.22272	0.21806	2.22032	3.09237	0.00644
65	13000	13200	66	0.37306	0.35882	3.26985	13.47915	0.00000
66	13200	13400	67	0.24672	0.24447	1.51562	0.73171	0.11319
67	13400	13600	68	0.35901	0.34694	2.95832	10.46566	0.00000
68	13600	13800	69	0.38704	0.37452	2.86261	10.76211	0.00000
69	13800	14000	70	0.33578	0.32738	2.43809	6.03666	0.00026
70	14000	14200	71	0.22816	0.22137	2.75777	5.78191	0.00034
71	14200	14400	72	0.22272	0.21369	3.41011	9.45708	0.00001
72	14400	14600	73	0.17523	0.16838	3.34280	7.26951	0.00007
73	14600	14800	74	0.33590	0.33102	1.81516	2.26981	0.01656
74	14800	15000	75	0.48895	0.48302	1.66609	2.22534	0.01744
75	15000	15200	76	0.24425	0.23989	2.02395	2.48831	0.01285
76	15200	15400	77	0.33157	0.32645	1.87864	2.50454	0.01261
77	15400	15600	78	0.32722	0.32043	2.17820	4.19171	0.00189
78	15600	15800	79	0.25372	0.24864	2.15724	3.12641	0.00620
79	15800	16000	80	0.26986	0.25613	4.09524	16.83561	0.00000
80	16000	16200	81	0.38044	0.37605	1.64616	1.63372	0.03533
81	16200	16400	82	0.48330	0.48168	1.18067	0.18390	0.27210
82	16400	16600	83	0.16299	0.15296	4.89558	13.60689	0.00000
83	16600	16800	84	0.31444	0.30861	2.05212	3.37175	0.00470
84	16800	17000	85	0.34118	0.33905	1.34846	0.46609	0.16715
