#chr	start	end	name	null_scale	alt_scale	alt_subscale	lnlratio	pval
0	0	400	1	0.36204	0.36204	1.00000	0.00000	0.50000
1	400	800	2	0.37166	0.35511	2.08812	8.56832	0.00002
2	800	1200	3	0.38064	0.37104	1.59702	2.99712	0.00718
3	1200	1600	4	0.60289	0.59974	1.11749	0.21396	0.25650
4	1600	2000	5	0.50783	0.49131	1.76411	6.14352	0.00023
5	2000	2400	6	0.36287	0.36287	1.00000	0.00000	0.49999
6	2400	2800	7	0.54067	0.53703	1.15456	0.31601	0.21331
7	2800	3200	8	0.30685	0.30248	1.33511	0.85964	0.09489
8	3200	3600	9	0.58299	0.57948	1.13475	0.26794	0.23207
9	3600	4000	10	0.48760	0.48760	1.00000	0.00000	0.49999
10	4000	4400	11	0.02217	0.02024	3.31027	1.86518	0.02672
11	4400	4800	12	0.20969	0.20237	1.85282	3.23810	0.00547
12	4800	5200	13	0.55415	0.54742	1.28092	1.05389	0.07328
13	5200	5600	14	0.52350	0.52350	1.00000	0.00000	0.49999
14	5600	6000	15	0.35311	0.35311	1.00000	0.00000	0.49999
15	6000	6400	16	0.30566	0.30038	1.40754	1.23559	0.05798
16	6400	6800	17	0.39960	0.39218	1.43309	1.77866	0.02964
17	6800	7200	18	0.38210	0.38067	1.08744	0.07615	0.34817
18	7200	7600	19	0.53590	0.53236	1.14942	0.30437	0.21763
19	7600	8000	20	0.19458	0.18505	2.23242	5.62797	0.00040
20	8000	8400	21	0.50081	0.49576	1.23164	0.65974	0.12534
21	8400	8800	22	0.24776	0.24218	1.53872	1.66876	0.03386
22	8800	9200	23	0.28149	0.28055	1.07842	0.04621	0.38057
23	9200	9600	24	0.39268	0.38409	1.51516	2.40554	0.01414
24	9600	10000	25	0.48681	0.47140	1.74988	5.70167	0.00037
25	10000	10400	26	0.17016	0.15985	2.53728	7.29165	0.00007
26	10400	10800	27	0.29095	0.29095	1.00000	0.00000	1.00000
27	10800	11200	28	0.17974	0.17801	1.22881	0.24510	0.24192
28	11200	11600	29	0.17552	0.16908	1.90193	3.00274	0.00713
29	11600	12000	30	0.13454	0.13164	1.52572	0.88489	0.09170
30	12000	12400	31	0.34232	0.33386	1.58881	2.68061	0.01029
31	12400	12800	32	0.48098	0.47895	1.09704	0.11696	0.31432
32	12800	13200	33	0.26871	0.26407	1.40768	1.08555	0.07031
33	13200	13600	34	0.41260	0.41260	1.00000	0.00000	1.00000
34	13600	14000	35	0.35910	0.35721	1.12138	0.13615	0.30090
35	14000	14400	36	0.18666	0.18019	1.84945	2.85565	0.00843
36	14400	14800	37	0.17115	0.16905	1.29420	0.37651	0.19276
37	14800	15200	38	0.15692	0.15433	1.39887	0.60713	0.13525
38	15200	15600	39	0.33279	0.32760	1.36606	1.08136	0.07070
39	15600	16000	40	0.77828	0.76999	1.23535	1.03541	0.07507
40	16000	16400	41	0.44365	0.43965	1.20814	0.48560	0.16219
41	16400	16800	42	0.28674	0.28431	1.19836	0.29220	0.22230
