#chr	start	end	name	null_scale	alt_scale	alt_subscale	lnlratio	pval
0	0	200	1	0.22053	0.20734	4.65651	17.97662	0.00000
1	200	400	2	0.33280	0.31830	3.56901	15.76450	0.00000
2	400	600	3	0.15351	0.14419	4.78214	13.38669	0.00000
3	600	800	4	0.24404	0.21927	7.61934	47.21965	0.00000
4	800	1000	5	0.26835	0.25431	4.13569	17.73927	0.00000
5	1000	1200	6	0.23231	0.21499	5.65602	27.66266	0.00000
6	1200	1400	7	0.13018	0.12044	5.69425	15.75676	0.00000
7	1400	1600	8	0.13469	0.12122	7.52623	25.62592	0.00000
8	1600	1800	9	0.59227	0.58392	1.76199	3.45766	0.00427
9	1800	2000	10	0.17867	0.16258	6.77610	29.32386	0.00000
10	2000	2200	11	0.18978	0.16853	8.43480	42.01723	0.00000
11	2200	2400	12	0.35774	0.33835	4.24430	23.92706	0.00000
12	2400	2600	13	0.24764	0.23916	3.00526	7.92018	0.00003
13	2600	2800	14	0.23809	0.22484	4.38473	17.59344	0.00000
14	2800	3000	15	0.17896	0.16734	5.01448	17.09046	0.00000
15	3000	3200	16	0.19617	0.18297	5.17380	19.93712	0.00000
16	3200	3400	17	0.19883	0.18758	4.42774	15.01227	0.00000
17	3400	3600	18	0.18275	0.16039	9.22209	47.79967	0.00000
18	3600	3800	19	0.13388	0.10924	14.45491	66.60649	0.00000
19	3800	4000	20	0.10678	0.08100	20.20828	79.89929	0.00000
20	4000	4200	21	0.10713	0.09770	6.62103	16.92601	0.00000
21	4200	4400	22	0.23745	0.21488	7.19719	40.83882	0.00000
22	4400	4600	23	0.21809	0.20429	4.90511	19.74401	0.00000
23	4600	4800	24	0.20663	0.19955	3.00647	6.65426	0.00013
24	4800	5000	25	0.23248	0.21353	6.18644	31.77280	0.00000
25	5000	5200	26	0.19095	0.18090	4.17823	12.86144	0.00000
26	5200	5400	27	0.19768	0.18072	6.44891	29.07135	0.00000
27	5400	5600	28	0.07118	0.04948	27.66525	75.15916	0.00000
28	5600	5800	29	0.14286	0.12227	10.90374	48.85464	0.00000
29	5800	6000	30	0.15943	0.14630	6.22122	22.62440	0.00000
30	6000	6200	31	0.28269	0.25941	6.25708	38.18914	0.00000
31	6200	6400	32	0.09352	0.07789	12.83591	39.88513	0.00000
32	6400	6600	33	0.22740	0.20135	8.70402	53.05519	0.00000
33	6600	6800	34	0.17782	0.15553	9.41509	48.43237	0.00000
34	6800	7000	35	0.11770	0.09760	13.23996	52.94197	0.00000
35	7000	7200	36	0.15866	0.14000	8.84991	39.17667	0.00000
36	7200	7400	37	0.16448	0.14744	7.73733	33.51973	0.00000
37	7400	7600	38	0.16381	0.14461	8.87131	40.46304	0.00000
38	7600	7800	39	0.13109	0.11626	8.47605	31.00829	0.00000
39	7800	8000	40	0.15470	0.14203	6.19020	21.59325	0.00000
40	8000	8200	41	0.16873	0.14739	9.58983	46.26062	0.00000
41	8200	8400	42	0.16639	0.16060	3.04809	5.56545	0.00042
42	8400	8600	43	0.09117	0.07811	10.97279	30.80363	0.00000
43	8600	8800	44	0.16820	0.16386	2.50561	3.38540	0.00463
44	8800	9000	45	0.14897	0.12871	10.32916	47.32299	0.00000
45	9000	9200	46	0.23273	0.21323	6.32671	33.38672	0.00000
46	9200	9400	47	0.22824	0.21060	5.86008	28.59150	0.00000
47	9400	9600	48	0.23859	0.22670	4.02260	14.70962	0.00000
48	9600	9800	49	0.25069	0.23876	3.84896	14.00101	0.00000
49	9800	10000	50	0.14992	0.13055	9.84305	43.14338	0.00000
50	10000	10200	51	0.14823	0.13094	8.68581	36.32524	0.00000
51	10200	10400	52	0.30688	0.29598	3.08123	10.38279	0.00000
52	10400	10600	53	0.19370	0.17868	5.89433	24.30175	0.00000
53	10600	10800	54	0.31600	0.30745	2.54896	6.63498	0.00013
54	10800	11000	55	0.22016	0.19463	8.75555	51.93196	0.00000
55	11000	11200	56	0.15739	0.12822	14.80702	78.92340	0.00000
56	11200	11400	57	0.21678	0.20103	5.51849	24.59757	0.00000
57	11400	11600	58	0.16336	0.14121	10.33484	51.35461	0.00000
58	11600	11800	59	0.09609	0.08073	12.22917	38.84635	0.00000
59	11800	12000	60	0.21793	0.20486	4.68024	18.04476	0.00000
60	12000	12200	61	0.20849	0.19446	5.16317	20.75477	0.00000
61	12200	12400	62	0.21365	0.19391	6.90178	35.84098	0.00000
62	12400	12600	63	0.22368	0.19509	9.77592	62.28388	0.00000
63	12600	12800	64	0.16718	0.15391	6.01436	22.04344	0.00000
64	12800	13000	65	0.16598	0.14691	8.58818	39.51160	0.00000
65	13000	13200	66	0.29966	0.27928	5.28394	30.19572	0.00000
66	13200	13400	67	0.17681	0.15888	7.70899	34.37289	0.00000
67	13400	13600	68	0.28248	0.25074	8.64234	62.89171	0.00000
68	13600	13800	69	0.31282	0.29721	3.99084	18.83953	0.00000
69	13800	14000	70	0.24271	0.21412	8.91294	59.89840	0.00000
70	14000	14200	71	0.16194	0.14240	9.11559	42.17729	0.00000
71	14200	14400	72	0.18465	0.17267	4.96357	17.65721	0.00000
72	14400	14600	73	0.11446	0.09196	15.64518	62.68353	0.00000
73	14600	14800	74	0.30766	0.28998	4.49167	23.34351	0.00000
74	14800	15000	75	0.48978	0.47602	2.59809	10.14455	0.00000
75	15000	15200	76	0.19872	0.17868	7.59628	38.12335	0.00000
76	15200	15400	77	0.28362	0.26815	4.29051	19.75171	0.00000
77	15400	15600	78	0.30725	0.29546	3.25294	11.62280	0.00000
78	15600	15800	79	0.17418	0.15497	8.24971	38.55519	0.00000
79	15800	16000	80	0.19850	0.17962	7.11520	35.59176	0.00000
80	16000	16200	81	0.32619	0.30710	4.53132	24.88422	0.00000
81	16200	16400	82	0.46389	0.44607	3.23034	16.95823	0.00000
82	16400	16600	83	0.07677	0.05995	17.76138	50.44136	0.00000
83	16600	16800	84	0.25584	0.24463	3.60228	12.37080	0.00000
84	16800	17000	85	0.25727	0.24760	3.22002	9.69435	0.00001
85	17000	17200	86	0.17123	0.14747	10.58120	54.43513	0.00000
86	17200	17400	87	0.14372	0.11247	17.99031	91.16938	0.00000
87	17400	17600	88	0.20273	0.18087	8.11849	43.83103	0.00000
88	17600	17800	89	0.19076	0.17954	4.56937	15.59085	0.00000
89	17800	18000	90	0.16988	0.15146	8.17966	36.43525	0.00000
90	18000	18200	91	0.17997	0.15899	8.78757	43.88201	0.00000
91	18200	18400	92	0.28442	0.27386	3.17795	10.41974	0.00000
92	18400	18600	93	0.16990	0.14863	9.50450	45.74705	0.00000
93	18600	18800	94	0.19558	0.18973	2.75109	5.08749	0.00071
94	18800	19000	95	0.11473	0.10044	9.30171	31.71250	0.00000
95	19000	19200	96	0.33568	0.32511	2.82721	9.01114	0.00001
96	19200	19400	97	0.18774	0.16817	7.81944	38.23437	0.00000
97	19400	19600	98	0.26454	0.24699	5.09408	25.44833	0.00000
98	19600	19800	99	0.13722	0.11629	11.65742	50.80189	0.00000
99	19800	20000	100	0.19706	0.18166	5.90959	24.90180	0.00000
100	20000	20200	101	0.07409	0.05696	18.82514	51.74694	0.00000
101	20200	20400	102	0.21304	0.19442	6.56272	31.86184	0.00000
102	20400	20600	103	0.18706	0.16906	7.24043	33.67491	0.00000
103	20600	20800	104	0.16512	0.14169	10.77241	53.93206	0.00000
104	20800	21000	105	0.09503	0.07974	12.32939	39.02598	0.00000
105	21000	21200	106	0.13522	0.11348	12.51401	54.25275	0.00000
106	21200	21400	107	0.19254	0.17894	5.45918	20.96154	0.00000
107	21400	21600	108	0.30502	0.28570	4.89042	27.10516	0.00000
108	21600	21800	109	0.21956	0.19765	7.56744	41.56881	0.00000
109	21800	22000	110	0.23339	0.21513	5.90957	29.70695	0.00000
110	22000	22200	111	0.10178	0.08456	13.10370	44.56783	0.00000
111	22200	22400	112	0.18163	0.17680	2.56102	3.84365	0.00278
112	22400	22600	113	0.32492	0.30265	5.28528	32.28280	0.00000
113	22600	22800	114	0.42568	0.41293	2.72112	10.21942	0.00000
114	22800	23000	115	0.37785	0.36278	3.31728	15.29800	0.00000
115	23000	23200	116	0.34014	0.31811	4.98869	30.75264	0.00000
116	23200	23400	117	0.38943	0.37582	3.03617	12.17006	0.00000
117	23400	23600	118	0.28976	0.28074	2.80703	7.82516	0.00004
118	23600	23800	119	0.21994	0.20400	5.55453	24.62988	0.00000
119	23800	24000	120	0.13444	0.11764	9.43048	37.05120	0.00000
120	24000	24200	121	0.10478	0.09154	9.49436	29.45888	0.00000
121	24200	24400	122	0.23144	0.21107	6.61696	35.55628	0.00000
122	24400	24600	123	0.12074	0.11313	4.87534	11.32462	0.00000
123	24600	24800	124	0.10153	0.09235	6.73835	15.98912	0.00000
124	24800	25000	125	0.12716	0.10126	16.39697	72.60741	0.00000
125	25000	25200	126	0.15535	0.14182	6.55188	23.60390	0.00000
126	25200	25400	127	0.09217	0.07166	18.17256	59.91073	0.00000
127	25400	25600	128	0.30161	0.28493	4.35472	21.39529	0.00000
128	25600	25800	129	0.11703	0.09966	11.34559	41.52465	0.00000
129	25800	26000	130	0.19276	0.17801	5.82178	23.96563	0.00000
130	26000	26200	131	0.22756	0.21122	5.50478	25.32659	0.00000
131	26200	26400	132	0.18716	0.16519	8.85884	46.50075	0.00000
132	26400	26600	133	0.10443	0.07582	24.08697	95.62524	0.00000
133	26600	26800	134	0.10925	0.08605	17.07115	66.88136	0.00000
134	26800	27000	135	0.19329	0.18801	2.59737	4.26407	0.00175
135	27000	27200	136	0.06358	0.04241	31.19614	76.50002	0.00000
136	27200	27400	137	0.16351	0.15711	3.33342	6.81941	0.00011
137	27400	27600	138	0.15880	0.13891	9.39160	43.30231	0.00000
138	27600	27800	139	0.15419	0.13358	10.12938	46.62757	0.00000
139	27800	28000	140	0.13644	0.12439	6.66003	21.99675	0.00000
140	28000	28200	141	0.33766	0.32991	2.31440	5.21163	0.00062
141	28200	28400	142	0.11422	0.09550	12.65776	47.16235	0.00000
142	28400	28600	143	0.14042	0.12973	5.77848	17.73714	0.00000
143	28600	28800	144	0.17778	0.16344	6.04153	23.89005	0.00000
144	28800	29000	145	0.35489	0.34178	3.15149	12.48565	0.00000
145	29000	29200	146	0.14042	0.12745	6.95816	23.74826	0.00000
146	29200	29400	147	0.27399	0.26204	3.58342	13.27582	0.00000
147	29400	29600	148	0.32613	0.31199	3.56435	15.30117	0.00000
148	29600	29800	149	0.17169	0.15780	6.08756	23.13065	0.00000
149	29800	30000	150	0.05244	0.03053	44.30195	87.90552	0.00000
150	30000	30200	151	0.19241	0.17848	5.46583	21.91872	0.00000
151	30200	30400	152	0.14791	0.13244	7.92194	30.64457	0.00000
152	30400	30600	153	0.21429	0.20407	3.85408	12.27724	0.00000
153	30600	30800	154	0.24726	0.22673	6.26095	35.00200	0.00000
154	30800	31000	155	0.08661	0.06190	25.29630	83.07863	0.00000
155	31000	31200	156	0.38679	0.36605	4.24308	25.28370	0.00000
156	31200	31400	157	0.07952	0.06242	17.16746	49.62815	0.00000
157	31400	31600	158	0.27915	0.25825	5.67334	32.92247	0.00000
158	31600	31800	159	0.26896	0.25125	5.09542	25.92385	0.00000
159	31800	32000	160	0.22718	0.21302	4.81903	20.17052	0.00000
160	32000	32200	161	0.24662	0.23080	4.94484	22.83335	0.00000
161	32200	32400	162	0.19925	0.19000	3.78824	10.66271	0.00000
162	32400	32600	163	0.12279	0.09804	16.32254	70.26208	0.00000
163	32600	32800	164	0.31098	0.29184	4.78482	26.54383	0.00000
164	32800	33000	165	0.26710	0.25291	4.20916	17.83893	0.00000
165	33000	33200	166	0.25690	0.23613	6.08670	34.04050	0.00000
166	33200	33400	167	0.07732	0.06009	18.24378	50.86062	0.00000
167	33400	33600	168	0.15787	0.14853	4.63412	12.86190	0.00000
168	33600	33800	169	0.09356	0.08153	9.62497	27.26319	0.00000
169	33800	34000	170	0.22829	0.19709	10.56155	70.01561	0.00000
170	34000	34200	171	0.18807	0.16919	7.54252	36.14478	0.00000
171	34200	34400	172	0.11285	0.09892	9.28444	30.27486	0.00000
172	34400	34600	173	0.17844	0.16285	6.59612	27.72581	0.00000
173	34600	34800	174	0.17394	0.15794	6.92390	28.77504	0.00000
174	34800	35000	175	0.29031	0.27643	3.87861	16.38539	0.00000
175	35000	35200	176	0.13692	0.11618	11.62671	50.65682	0.00000
176	35200	35400	177	0.18831	0.17273	6.25840	26.43945	0.00000
177	35400	35600	178	0.12915	0.11173	10.20050	40.29207	0.00000
178	35600	35800	179	0.12692	0.11543	6.81658	21.30729	0.00000
179	35800	36000	180	0.29632	0.28065	4.19921	19.97196	0.00000
180	36000	36200	181	0.14271	0.12171	11.25643	49.81587	0.00000
181	36200	36400	182	0.23507	0.22519	3.50431	10.83530	0.00000
182	36400	36600	183	0.17059	0.16351	3.47108	7.70951	0.00004
183	36600	36800	184	0.09559	0.08082	11.81698	36.60547	0.00000
184	36800	37000	185	0.24044	0.22387	5.29324	25.24344	0.00000
185	37000	37200	186	0.37610	0.36768	2.27735	5.52909	0.00044
186	37200	37400	187	0.35579	0.34366	2.97971	10.69458	0.00000
187	37400	37600	188	0.34500	0.32975	3.61582	16.38466	0.00000
188	37600	37800	189	0.38815	0.38147	1.96980	3.50938	0.00403
189	37800	38000	190	0.14426	0.12547	9.82595	41.97343	0.00000
190	38000	38200	191	0.07011	0.05896	12.14038	28.32306	0.00000
191	38200	38400	192	0.24359	0.23107	4.08063	15.52105	0.00000
192	38400	38600	193	0.18159	0.16378	7.31863	33.14969	0.00000
193	38600	38800	194	0.41131	0.38422	5.03197	37.49600	0.00000
194	38800	39000	195	0.12633	0.11255	8.24221	27.72737	0.00000
195	39000	39200	196	0.11228	0.08063	25.22901	103.42209	0.00000
196	39200	39400	197	0.20646	0.18690	7.10826	36.62603	0.00000
197	39400	39600	198	0.20550	0.18299	8.26629	44.36644	0.00000
198	39600	39800	199	0.18413	0.17677	3.38162	7.92333	0.00003
199	39800	40000	200	0.10664	0.09875	5.63701	13.03758	0.00000
200	40000	40200	201	0.19914	0.18408	5.69630	24.48689	0.00000
201	40200	40400	202	0.10588	0.09329	8.87743	27.09762	0.00000
202	40400	40600	203	0.32035	0.29771	5.38178	33.73089	0.00000
203	40600	40800	204	0.12368	0.11666	4.46137	9.68554	0.00001
204	40800	41000	205	0.28737	0.26875	4.94436	26.68102	0.00000
205	41000	41200	206	0.16134	0.13950	10.28499	49.79770	0.00000
206	41200	41400	207	0.15385	0.14265	5.53631	17.93552	0.00000
207	41400	41600	208	0.22742	0.21028	5.76906	27.29713	0.00000
208	41600	41800	209	0.41161	0.39209	3.83270	21.36512	0.00000
209	41800	42000	210	0.14385	0.12388	10.50764	46.44780	0.00000
210	42000	42200	211	0.24574	0.22836	5.36521	27.00958	0.00000
211	42200	42400	212	0.34778	0.33328	3.42404	14.63368	0.00000
212	42400	42600	213	0.32486	0.30791	4.15452	20.58984	0.00000
213	42600	42800	214	0.14889	0.12679	11.41973	52.92286	0.00000
214	42800	43000	215	0.32692	0.31698	2.75048	8.01761	0.00003
215	43000	43200	216	0.21318	0.19989	4.84731	18.72331	0.00000
216	43200	43400	217	0.24885	0.23238	5.11549	24.51279	0.00000
217	43400	43600	218	0.20760	0.19646	4.26371	14.45760	0.00000
218	43600	43800	219	0.19175	0.18167	4.20768	12.95372	0.00000
219	43800	44000	220	0.15121	0.11980	16.96231	91.33449	0.00000
220	44000	44200	221	0.24121	0.22509	5.11043	23.64412	0.00000
221	44200	44400	222	0.11904	0.10137	11.36752	42.80646	0.00000
222	44400	44600	223	0.30662	0.29034	4.19207	20.34535	0.00000
223	44600	44800	224	0.35049	0.34456	1.95608	3.11456	0.00628
224	44800	45000	225	0.20733	0.18608	7.76982	41.11977	0.00000
225	45000	45200	226	0.19916	0.16675	12.74730	78.74258	0.00000
226	45200	45400	227	0.19949	0.17899	7.70021	39.95887	0.00000
227	45400	45600	228	0.14120	0.12557	8.26887	31.61582	0.00000
228	45600	45800	229	0.23831	0.22904	3.29082	9.51648	0.00001
229	45800	46000	230	0.07741	0.06308	14.38173	39.07686	0.00000
230	46000	46200	231	0.19804	0.18218	6.05900	26.76548	0.00000
231	46200	46400	232	0.33137	0.31949	3.09519	11.28973	0.00000
232	46400	46600	233	0.27945	0.25618	6.30483	39.87342	0.00000
233	46600	46800	234	0.33582	0.32476	2.90016	9.85051	0.00000
234	46800	47000	235	0.09313	0.07768	12.75023	39.74469	0.00000
235	47000	47200	236	0.08877	0.07793	9.10380	23.80930	0.00000
236	47200	47400	237	0.25660	0.25298	1.79889	1.66698	0.03393
237	47400	47600	238	0.33797	0.32752	2.79924	8.97538	0.00001
